workload_id,kind,tokens,vision_tokens,vision_fraction,clean_ttft_ms,affected_base_ms,attention_ms,moe_ms,O1_ms,O2_ms,O3_ms,O4_ms,O2_fraction,O3_boundary,O4_fraction,O1_ttft_gain_pct,O2_ttft_gain_pct,O3_ttft_gain_pct,O4_ttft_gain_pct
W1_text,text-only control,2363,0,0.0,127.15291976928711,98.14435189962387,33.014815866947174,65.1295360326767,76.65377249013454,76.65377249013454,,76.65377249013454,0.330089,,0.330089,16.90136526041475,16.90136526041475,,16.90136526041475
W2_standard,standard single-image,248,228,0.9193548387096774,123.16465377807617,93.87945610284805,30.264815986156464,63.61464011669159,73.70651908074656,73.78941185772419,91.92688732954763,73.78941185772419,0.330645,232.0,0.330089,16.378836300266823,16.3115338929325,1.5853320846568995,16.3115338929325
W3_vision_heavy,high-resolution vision-heavy,2363,2340,0.9902666102412188,242.31219291687012,98.81198382377625,33.47503995895386,65.33694386482239,77.24632139877903,77.26095332652393,98.5428235363365,77.26095332652393,0.330089,2344.0,0.330089,8.899949344437541,8.893910883240535,0.11107996019502275,8.893910883240535
W4_multi_image,multi-image multimodal,511,488,0.9549902152641878,130.2192211151123,94.94751989841461,30.28411191701889,64.66340798139572,74.79660069260112,74.83143719138465,78.4127503781636,74.83143719138465,0.330724,232.0,0.330089,15.47461199142046,15.447859797324062,12.697641238104527,15.447859797324062
