run,start_kst,end_kst,wall_seconds,live_4gpu_minutes,gpu_hours,purpose
baseline_r0,2026-09-10T21:46:41.314144+09:00,2026-09-10T21:52:58.136791+09:00,376.822647,6.280377,0.418692,clean and instrumented baseline
baseline_r1,2026-09-10T21:54:51.629981+09:00,2026-09-10T21:58:51.028248+09:00,239.398267,3.989971,0.265998,stage flush validation
baseline_r2,2026-09-10T22:00:45.758156+09:00,2026-09-10T22:03:21.623112+09:00,155.864956,2.597749,0.173183,four-rank timing validation
N0_stock,2026-09-10T22:11:56.928020+09:00,2026-09-10T22:14:20.240770+09:00,143.312750,2.388546,0.159236,unsplit physical control
N2_concurrent,2026-09-10T22:17:09.328883+09:00,2026-09-10T22:21:05.131396+09:00,235.802513,3.930042,0.262003,naive two-stream split
N1_sequential,2026-09-10T22:21:51.686306+09:00,2026-09-10T22:23:58.875319+09:00,127.189013,2.119817,0.141321,sequential split-tax control
split_scaling,2026-09-10T22:35:33.917850+09:00,2026-09-10T22:44:19.362651+09:00,525.444801,8.757413,0.583828,empirical split grid
TOTAL,,,1803.834947,30.063916,2.004261,
