workload_id,request_id,iteration,warmup,instrumented,wave,driver_dp_rank,driver_wall_ms,prompt_tokens,output_tokens,arrival_time,queued_ts,scheduled_ts,first_token_ts,first_token_latency_s,scheduled_to_first_token_ms,source_run,flush,ttft_ms
W1_text,W1_text,2,False,False,14,0,3449.931701,2363,[14374],1789044506.1206183,3731809.503016549,3731809.503024516,3731809.615135846,0.12862300872802734,112.11133003234863,baseline,,128.62300872802734
W4_multi_image,W4_multi_image,4,False,False,15,0,3445.945438,511,[785],1789044509.5749488,3731812.955692314,3731812.955700826,3731813.081691797,0.14086079597473145,125.99097099155188,baseline,,140.86079597473145
W1_text,W1_text,6,False,False,18,0,3410.9028,2363,[14374],1789044519.9213865,3731823.303646035,3731823.303654472,3731823.415448835,0.12809324264526367,111.79436324164271,baseline,,128.09324264526367
W4_multi_image,W4_multi_image,2,False,False,21,0,3470.530789,511,[785],1789044530.4034588,3731833.783452666,3731833.783461277,3731833.905186231,0.13589096069335938,121.72495387494564,baseline,,135.89096069335938
W1_text,W1_text,9,False,False,22,0,3470.110144,2363,[14374],1789044533.8720806,3731837.254494126,3731837.254502498,3731837.378426359,0.1403789520263672,123.9238609559834,baseline,,140.3789520263672
W3_vision_heavy,W3_vision_heavy,4,False,False,24,0,3609.685216,2363,[1986],1789044540.9850876,3731844.383785116,3731844.383795042,3731844.612380412,0.2615962028503418,228.5853698849678,baseline,,261.5962028503418
W1_text,W1_text,3,False,False,26,0,3465.929462,2363,[14374],1789044548.0905597,3731851.472909211,3731851.472917501,3731851.584607135,0.128143310546875,111.68963415548205,baseline,,128.143310546875
W1_text,W1_text,4,False,False,28,0,3483.041405,2363,[14374],1789044555.0344245,3731858.416821877,3731858.416829387,3731858.528695659,0.12829828262329102,111.86627158895135,baseline,,128.29828262329102
W3_vision_heavy,W3_vision_heavy,1,False,False,36,0,3624.170785,2363,[1986],1789044583.2934499,3731886.691302547,3731886.6913132,3731886.90831256,0.24899005889892578,216.9993598945439,baseline,,248.99005889892578
W3_vision_heavy,W3_vision_heavy,6,False,False,38,0,3617.982039,2363,[1986],1789044590.5306213,3731893.92871908,3731893.928728493,3731894.147542841,0.25107359886169434,218.8143478706479,baseline,,251.07359886169434
W2_standard,W2_standard,3,False,False,39,0,3479.956263,248,[2124],1789044594.1398013,3731897.516016095,3731897.516024349,3731897.633207116,0.12743401527404785,117.1827670186758,baseline,,127.43401527404785
W2_standard,W2_standard,7,False,False,40,0,3471.925416,248,[2124],1789044597.620805,3731900.997181646,3731900.997190063,3731901.111225388,0.12452340126037598,114.03532512485981,baseline,,124.52340126037598
W1_text,W1_text,1,False,False,41,0,3492.074363,2363,[14374],1789044601.0922596,3731904.475016916,3731904.475024422,3731904.587013133,0.12880873680114746,111.9887107051909,baseline,,128.80873680114746
W3_vision_heavy,W3_vision_heavy,8,False,False,42,0,3648.436013,2363,[1986],1789044604.596511,3731907.996821299,3731907.996830213,3731908.239207403,0.27675318717956543,242.37718991935253,baseline,,276.75318717956543
W4_multi_image,W4_multi_image,0,False,False,43,0,3463.376271,511,[785],1789044608.2380617,3731911.617985539,3731911.617993993,3731911.736420911,0.13243579864501953,118.42691758647561,baseline,,132.43579864501953
W3_vision_heavy,W3_vision_heavy,7,False,False,45,0,3599.499867,2363,[1986],1789044615.3044326,3731918.70231747,3731918.702329407,3731918.923464344,0.2531921863555908,221.13493690267205,baseline,,253.19218635559082
W2_standard,W2_standard,2,False,False,47,0,3446.79782,248,[2124],1789044622.3649719,3731925.741350387,3731925.741358289,3731925.855040588,0.12414216995239258,113.68229892104864,baseline,,124.14216995239258
W1_text,W1_text,0,False,False,49,0,3465.705253,2363,[14374],1789044629.2813623,3731932.663716165,3731932.663724695,3731932.774855284,0.12754440307617188,111.13058915361762,baseline,,127.54440307617188
