workload_id,request_id,iteration,warmup,instrumented,wave,driver_dp_rank,driver_wall_ms,prompt_tokens,output_tokens,arrival_time,queued_ts,scheduled_ts,first_token_ts,first_token_latency_s,scheduled_to_first_token_ms,source_run,flush,ttft_ms
W4_multi_image,W4_multi_image,8,False,False,50,0,3436.322094,511,[785],1789044632.7510705,3731936.130996294,3731936.131005451,3731936.24747948,0.13048696517944336,116.47402914240956,baseline,,130.48696517944336
W3_vision_heavy,W3_vision_heavy,9,False,False,51,0,3584.595715,2363,[1986],1789044636.1967885,3731939.59608735,3731939.596096844,3731939.825821659,0.26319360733032227,229.7248151153326,baseline,,263.19360733032227
W2_standard,W2_standard,9,False,False,52,0,3472.296251,248,[2124],1789044639.7724779,3731943.149085674,3731943.149093908,3731943.278667547,0.1402299404144287,129.57363901659846,baseline,,140.2299404144287
W4_multi_image,W4_multi_image,7,False,False,53,0,3442.936065,511,[785],1789044643.2473197,3731946.627300849,3731946.627309851,3731946.748417154,0.13524866104125977,121.10730307176709,baseline,,135.24866104125977
W2_standard,W2_standard,4,False,False,54,0,3459.191972,248,[2124],1789044646.6896372,3731950.066120862,3731950.066129405,3731950.191289585,0.13567090034484863,125.16018003225327,baseline,,135.67090034484863
W1_text,W1_text,5,False,False,55,0,3461.977086,2363,[14374],1789044650.1483781,3731953.530740304,3731953.530748865,3731953.642802629,0.12849140167236328,112.05376405268908,baseline,,128.49140167236328
W2_standard,W2_standard,8,False,False,57,0,3431.43743,248,[2124],1789044657.2034066,3731960.579731563,3731960.579739619,3731960.696343458,0.1269855499267578,116.60383874550462,baseline,,126.98554992675781
W2_standard,W2_standard,5,False,False,60,0,3439.948019,248,[2124],1789044667.5132282,3731970.889669743,3731970.889677595,3731971.013891949,0.13468432426452637,124.2143539711833,baseline,,134.68432426452637
W4_multi_image,W4_multi_image,3,False,False,64,0,3452.336085,511,[785],1789044681.43792,3731984.818097392,3731984.818111316,3731984.942728283,0.13886785507202148,124.61696704849601,baseline,,138.86785507202148
W1_text,W1_text,7,False,False,68,0,3423.889967,2363,[14374],1789044695.2239432,3731998.606349413,3731998.606357212,3731998.718148186,0.12814593315124512,111.7909736931324,baseline,,128.14593315124512
W3_vision_heavy,W3_vision_heavy,0,False,False,71,0,3555.585618,2363,[1986],1789044705.5288112,3732008.926957402,3732008.92696695,3732009.136426399,0.24163174629211426,209.45944916456938,baseline,,241.63174629211426
W4_multi_image,W4_multi_image,1,False,False,75,0,3452.704115,511,[785],1789044719.3987608,3732022.778566144,3732022.778575106,3732022.906211125,0.14142179489135742,127.63601914048195,baseline,,141.42179489135742
W4_multi_image,W4_multi_image,5,False,False,76,0,3430.762109,511,[785],1789044722.8525186,3732026.232763155,3732026.232771352,3732026.348711132,0.1302192211151123,115.93978013843298,baseline,,130.2192211151123
W3_vision_heavy,W3_vision_heavy,5,False,False,78,0,3566.059517,2363,[1986],1789044729.712142,3732033.109785236,3732033.109794524,3732033.320401653,0.24231219291687012,210.60712914913893,baseline,,242.31219291687012
W1_text,W1_text,8,False,False,79,0,3410.918758,2363,[14374],1789044733.2677882,3732036.650343463,3732036.650351403,3732036.760909656,0.1271529197692871,110.55825324729085,baseline,,127.15291976928711
W2_standard,W2_standard,1,False,False,81,0,3412.528704,248,[2124],1789044740.106333,3732043.48255421,3732043.482562146,3732043.595479333,0.12316465377807617,112.91718669235706,baseline,,123.16465377807617
W4_multi_image,W4_multi_image,9,False,False,84,0,3451.162279,511,[785],1789044750.3654091,3732053.745540094,3732053.745548306,3732053.865768366,0.13437151908874512,120.22005999460816,baseline,,134.37151908874512
W4_multi_image,W4_multi_image,6,False,False,85,0,3443.858222,511,[785],1789044753.8177457,3732057.197504037,3732057.197512595,3732057.314440547,0.13071966171264648,116.92795203998685,baseline,,130.71966171264648
W3_vision_heavy,W3_vision_heavy,2,False,False,86,0,3569.038296,2363,[1986],1789044757.2709527,3732060.668514808,3732060.668523854,3732060.886974325,0.25009703636169434,218.4504708275199,baseline,,250.09703636169434
W3_vision_heavy,W3_vision_heavy,3,False,False,87,0,3563.918346,2363,[1986],1789044760.8418236,3732064.239786027,3732064.239796025,3732064.455684298,0.2480030059814453,215.88827297091484,baseline,,248.0030059814453
W2_standard,W2_standard,0,False,False,88,0,3409.498345,248,[2124],1789044764.3959317,3732067.772274174,3732067.772282478,3732067.885611376,0.12367939949035645,113.32889785990119,baseline,,123.67939949035645
W2_standard,W2_standard,6,False,False,90,0,3442.868339,248,[2124],1789044771.23661,3732074.612990064,3732074.612998262,3732074.726319895,0.12369465827941895,113.3216330781579,baseline,,123.69465827941895
W2_standard,W2_standard,1,False,False,10,0,2758.509818,248,[2124],1789045001.315049,3732304.690688951,3732304.690699988,3732304.783181084,0.10208725929260254,92.48109580948949,baseline_v2,,102.08725929260254
W3_vision_heavy,W3_vision_heavy,1,False,False,11,0,2907.495089,2363,[1986],1789045004.0842366,3732307.481380786,3732307.481392249,3732307.678688926,0.2284221649169922,197.29667715728283,baseline_v2,,228.4221649169922
W1_text,W1_text,1,False,False,12,0,2778.709815,2363,[14374],1789045006.9815826,3732310.363290315,3732310.36329951,3732310.458113678,0.11043000221252441,94.81416782364249,baseline_v2,,110.43000221252441
W3_vision_heavy,W3_vision_heavy,0,False,False,13,0,2885.966124,2363,[1986],1789045009.7724388,3732313.169350241,3732313.169361222,3732313.364621844,0.22620534896850586,195.2606220729649,baseline_v2,,226.20534896850586
W4_multi_image,W4_multi_image,1,False,False,16,0,2770.446453,511,[785],1789045018.364342,3732321.742767434,3732321.742778727,3732321.840681456,0.11027193069458008,97.90272917598486,baseline_v2,,110.27193069458008
W2_standard,W2_standard,0,False,False,20,0,2749.251827,248,[2124],1789045029.58004,3732332.95576019,3732332.955770553,3732333.047373474,0.10126566886901855,91.60292102023959,baseline_v2,,101.26566886901855
W4_multi_image,W4_multi_image,4,False,False,21,0,2761.29891,511,[785],1789045032.3317401,3732335.711159003,3732335.711167836,3732335.80842764,0.11060190200805664,97.25980367511511,baseline_v2,,110.60190200805664
W3_vision_heavy,W3_vision_heavy,3,False,False,25,0,2867.976419,2363,[1986],1789045043.5448768,3732346.941794041,3732346.941802747,3732347.092812334,0.18190956115722656,151.0095871053636,baseline_v2,,181.90956115722656
W1_text,W1_text,3,False,False,26,0,2799.510988,2363,[14374],1789045046.4024847,3732349.784645205,3732349.784652552,3732349.889568007,0.1210482120513916,104.91545498371124,baseline_v2,,121.0482120513916
W2_standard,W2_standard,4,False,False,32,0,2789.035043,248,[2124],1789045063.3724244,3732366.748260287,3732366.748269646,3732366.840938242,0.1024019718170166,92.6685961894691,baseline_v2,,102.4019718170166
W2_standard,W2_standard,3,False,False,34,0,2780.699871,248,[2124],1789045068.958872,3732372.334528386,3732372.33453791,3732372.438665005,0.11369776725769043,104.12709508091211,baseline_v2,,113.69776725769043
W3_vision_heavy,W3_vision_heavy,5,False,False,35,0,2872.88396,2363,[1986],1789045071.750512,3732375.147815444,3732375.147824467,3732375.303027407,0.18656110763549805,155.20293964073062,baseline_v2,,186.56110763549805
W3_vision_heavy,W3_vision_heavy,4,False,False,37,0,2896.511518,2363,[1986],1789045077.4333112,3732380.830449257,3732380.830458918,3732381.018528149,0.21919488906860352,188.069230876863,baseline_v2,,219.19488906860352
W3_vision_heavy,W3_vision_heavy,2,False,False,38,0,2918.884002,2363,[1986],1789045080.330991,3732383.73536042,3732383.735370452,3732383.927057855,0.23009872436523438,191.68740278109908,baseline_v2,,230.09872436523438
W4_multi_image,W4_multi_image,3,False,False,40,0,2772.691694,511,[785],1789045086.0522387,3732389.431421242,3732389.431430215,3732389.528965335,0.11072969436645508,97.53511985763907,baseline_v2,,110.72969436645508
W1_text,W1_text,4,False,False,42,0,2794.304436,2363,[14374],1789045091.7457867,3732395.127892179,3732395.127901301,3732395.221773696,0.10988211631774902,93.87239534407854,baseline_v2,,109.88211631774902
W4_multi_image,W4_multi_image,2,False,False,43,0,2770.976003,511,[785],1789045094.5437813,3732397.922893162,3732397.922902294,3732398.020926427,0.11107349395751953,98.02413312718272,baseline_v2,,111.07349395751953
W1_text,W1_text,0,False,False,46,0,2787.554901,2363,[14374],1789045102.8830073,3732406.264538024,3732406.264547718,3732406.358943735,0.10986804962158203,94.3960165604949,baseline_v2,,109.86804962158203
W4_multi_image,W4_multi_image,5,False,False,47,0,2821.903031,511,[785],1789045105.674461,3732409.055221325,3732409.055229891,3732409.154452502,0.11393880844116211,99.22261070460081,baseline_v2,,113.93880844116211
W4_multi_image,W4_multi_image,0,False,False,48,0,2790.775077,511,[785],1789045108.497404,3732411.878525638,3732411.878536517,3732411.975785879,0.11239171028137207,97.2493621520698,baseline_v2,,112.39171028137207
W2_standard,W2_standard,5,False,False,49,0,2775.37834,248,[2124],1789045111.2876644,3732414.663377194,3732414.663385823,3732414.755945918,0.10220074653625488,92.56009524688125,baseline_v2,,102.20074653625488
W1_text,W1_text,5,False,False,52,0,2791.743436,2363,[14374],1789045119.654789,3732423.036540892,3732423.036550278,3732423.130133026,0.10925054550170898,93.58274796977639,baseline_v2,,109.25054550170898
W1_text,W1_text,2,False,False,53,0,2908.966047,2363,[14374],1789045122.4473782,3732425.828983478,3732425.828990642,3732425.92280148,0.1092996597290039,93.81083818152547,baseline_v2,,109.2996597290039
W2_standard,W2_standard,2,False,False,54,0,2787.093374,248,[2124],1789045125.3587842,3732428.73448198,3732428.734492771,3732428.827355651,0.10249972343444824,92.86288032308221,baseline_v2,,102.49972343444824
W3_vision_heavy,W3_vision_heavy,2,False,False,4,0,2959.375541,2363,[1986],1789045332.0435824,3732635.48308907,3732635.483097698,3732635.711822513,0.3022158145904541,228.72481495141983,baseline_v3,,302.2158145904541
W2_standard,W2_standard,2,False,False,5,0,2745.983799,248,[2124],1789045334.9939864,3732638.370368242,3732638.370375248,3732638.468918284,0.10892796516418457,98.54303579777479,baseline_v3,,108.92796516418457
W1_text,W1_text,2,False,False,6,0,2743.539585,2363,[14374],1789045337.7394154,3732641.121574917,3732641.121581691,3732641.216792462,0.11153721809387207,95.2107710763812,baseline_v3,,111.53721809387207
W3_vision_heavy,W3_vision_heavy,0,False,False,8,0,2860.27621,2363,[1986],1789045343.2574437,3732646.655398864,3732646.655406172,3732646.841383029,0.21792840957641602,185.97685685381293,baseline_v3,,217.92840957641602
W4_multi_image,W4_multi_image,1,False,False,12,0,2759.222755,511,[785],1789045354.9641724,3732658.343848948,3732658.343855951,3732658.446303569,0.1162409782409668,102.44761779904366,baseline_v3,,116.2409782409668
W2_standard,W2_standard,0,False,False,14,0,2733.552763,248,[2124],1789045360.64079,3732664.017048534,3732664.01705549,3732664.110970845,0.10419964790344238,93.91535492613912,baseline_v3,,104.19964790344238
W4_multi_image,W4_multi_image,0,False,False,16,0,2753.86068,511,[785],1789045366.2234888,3732669.6035067,3732669.603513835,3732669.702915016,0.11348557472229004,99.40118109807372,baseline_v3,,113.48557472229004
W3_vision_heavy,W3_vision_heavy,1,False,False,17,0,2861.290849,2363,[1986],1789045368.9866495,3732672.38399252,3732672.384006069,3732672.5351598,0.18264389038085938,151.15373115986586,baseline_v3,,182.64389038085938
W1_text,W1_text,0,False,False,20,0,2767.247484,2363,[14374],1789045377.532156,3732680.914150475,3732680.914157295,3732681.021116309,0.12287521362304688,106.95901373401284,baseline_v3,,122.87521362304688
W4_multi_image,W4_multi_image,2,False,False,21,0,2775.326961,511,[785],1789045380.303172,3732683.682781646,3732683.682788808,3732683.78203597,0.11293435096740723,99.24716223031282,baseline_v3,,112.93435096740723
W1_text,W1_text,1,False,False,25,0,2739.654886,2363,[14374],1789045391.4395733,3732694.821306718,3732694.821313416,3732694.917011359,0.11132645606994629,95.69794265553355,baseline_v3,,111.32645606994629
W2_standard,W2_standard,1,False,False,26,0,2757.940714,248,[2124],1789045394.1815884,3732697.558286919,3732697.558293639,3732697.656935991,0.10937356948852539,98.6423515714705,baseline_v3,,109.37356948852539
