request_id,iteration,wave,layer,segment,stage,duration_ms
coffee,0,1,8,tail,decoder_layer,2.316864013671875
coffee,0,1,8,tail,dispatch,0.5065600275993347
coffee,0,1,8,tail,expert,0.4216960072517395
coffee,0,1,8,tail,moe_total,1.5592960119247437
coffee,0,1,9,prefix,attention,0.7421119809150696
coffee,0,1,9,prefix,combine,0.12336000055074692
coffee,0,1,9,prefix,decoder_layer,2.270143985748291
coffee,0,1,9,prefix,dispatch,0.42374399304389954
coffee,0,1,9,prefix,expert,0.4516800045967102
coffee,0,1,9,prefix,moe_total,1.483232021331787
coffee,0,1,9,tail,attention,0.6481599807739258
coffee,0,1,9,tail,combine,0.10796800255775452
coffee,0,1,9,tail,decoder_layer,2.2095680236816406
coffee,0,1,9,tail,dispatch,0.3635199964046478
coffee,0,1,9,tail,expert,0.4537599980831146
coffee,0,1,9,tail,moe_total,1.4369280338287354
coffee,0,1,10,prefix,attention,0.7758079767227173
coffee,0,1,10,prefix,combine,0.10947199910879135
coffee,0,1,10,prefix,decoder_layer,2.3439040184020996
coffee,0,1,10,prefix,dispatch,0.4979200065135956
coffee,0,1,10,prefix,expert,0.41385599970817566
coffee,0,1,10,prefix,moe_total,1.5361920595169067
coffee,0,1,10,tail,attention,0.6787199974060059
coffee,0,1,10,tail,combine,0.13395200669765472
coffee,0,1,10,tail,decoder_layer,2.2224318981170654
coffee,0,1,10,tail,dispatch,0.37324801087379456
coffee,0,1,10,tail,expert,0.4792639911174774
coffee,0,1,10,tail,moe_total,1.454848051071167
coffee,0,1,11,prefix,attention,0.6688960194587708
coffee,0,1,11,prefix,combine,0.15244799852371216
coffee,0,1,11,prefix,decoder_layer,2.234463930130005
coffee,0,1,11,prefix,dispatch,0.39772799611091614
coffee,0,1,11,prefix,expert,0.3986240029335022
coffee,0,1,11,prefix,moe_total,1.4827519655227661
coffee,0,1,11,tail,attention,0.7158399820327759
coffee,0,1,11,tail,combine,0.12883199751377106
coffee,0,1,11,tail,decoder_layer,2.2261440753936768
coffee,0,1,11,tail,dispatch,0.4532800018787384
coffee,0,1,11,tail,expert,0.43878400325775146
coffee,0,1,11,tail,moe_total,1.48745596408844
coffee,0,1,12,prefix,attention,0.7217599749565125
coffee,0,1,12,prefix,combine,0.1327359974384308
coffee,0,1,12,prefix,decoder_layer,2.2556800842285156
coffee,0,1,12,prefix,dispatch,0.43584001064300537
coffee,0,1,12,prefix,expert,0.44492799043655396
