source_run,workload_id,median_overhead_pct,p90_overhead_pct,pairs
baseline,W1_text,-0.46327438316821623,-0.043909463935041256,10
baseline,W2_standard,-0.22733552140264401,3.7458583572354,10
baseline,W3_vision_heavy,-0.8299890430415346,5.169760736564703,10
baseline,W4_multi_image,0.12223473948145269,4.020213654616884,10
baseline_v2,W1_text,12.694540775065022,43.589200319897415,6
baseline_v2,W2_standard,13.27060367466637,18.359127270906896,6
baseline_v2,W3_vision_heavy,2.8895300506848076,16.79781599277319,6
baseline_v2,W4_multi_image,12.153332189220734,19.079150171444546,6
baseline_v3,W1_text,20.04634251134516,48.93335890418621,3
baseline_v3,W2_standard,18.079701976680806,26.538777869668365,3
baseline_v3,W3_vision_heavy,-10.068398285447966,33.058168125863276,3
baseline_v3,W4_multi_image,11.216131329662415,17.711864442257898,3
