run_id,wave,request_id,workload_id,iteration,layer,stage,tokens,duration_ms,source_run
baseline_r1,8,W1_text,W1_text,0,9,layer_total,2363,2.0415680408477783,baseline_v2
baseline_r1,8,W1_text,W1_text,0,9,moe_total,2363,1.2785919904708862,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,attention_total,2363,0.6715199947357178,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,combine,1182,0.15769599378108978,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,dispatch,1182,0.2661440074443817,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,expert,-1,0.5492159724235535,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,layer_total,2363,2.054975986480713,baseline_v2
baseline_r1,8,W1_text,W1_text,0,10,moe_total,2363,1.2942719459533691,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,attention_total,2363,0.6501439809799194,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,combine,1182,0.15520000457763672,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,dispatch,1182,0.28726398944854736,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,expert,-1,0.5535039901733398,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,layer_total,2363,2.056864023208618,baseline_v2
baseline_r1,8,W1_text,W1_text,0,11,moe_total,2363,1.3307520151138306,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,attention_total,2363,0.6778240203857422,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,combine,1182,0.15561600029468536,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,dispatch,1182,0.29660800099372864,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,expert,-1,0.5373759865760803,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,layer_total,2363,2.107743978500366,baseline_v2
baseline_r1,8,W1_text,W1_text,0,12,moe_total,2363,1.3094719648361206,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,attention_total,2363,0.6729919910430908,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,combine,1182,0.2216320037841797,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,dispatch,1182,0.30928000807762146,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,expert,-1,0.5664960145950317,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,layer_total,2363,2.1400320529937744,baseline_v2
baseline_r1,8,W1_text,W1_text,0,13,moe_total,2363,1.3546240329742432,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,attention_total,2363,0.8025280237197876,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,combine,1182,0.17929600179195404,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,dispatch,1182,0.3782399892807007,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,expert,-1,0.5952640175819397,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,layer_total,2363,2.1736960411071777,baseline_v2
baseline_r1,8,W1_text,W1_text,0,14,moe_total,2363,1.3368959426879883,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,attention_total,2363,0.6904000043869019,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,combine,1182,0.17776000499725342,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,dispatch,1182,0.3052160143852234,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,expert,-1,0.5540159940719604,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,layer_total,2363,2.1256320476531982,baseline_v2
baseline_r1,8,W1_text,W1_text,0,15,moe_total,2363,1.361407995223999,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,attention_total,2363,0.6933119893074036,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,combine,1182,0.17632000148296356,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,dispatch,1182,0.2855679988861084,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,expert,-1,0.5271679759025574,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,layer_total,2363,2.091423988342285,baseline_v2
baseline_r1,8,W1_text,W1_text,0,16,moe_total,2363,1.3004159927368164,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,attention_total,2363,0.688543975353241,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,combine,1182,0.13356800377368927,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,dispatch,1182,0.29232001304626465,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,expert,-1,0.5460159778594971,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,layer_total,2363,2.0582079887390137,baseline_v2
baseline_r1,8,W1_text,W1_text,0,17,moe_total,2363,1.306656002998352,baseline_v2
