workload_id,request_id,prompt_tokens,prefix_tokens,tail_tokens,split_fraction,layer,attention_head_ms,attention_tail_ms,moe_head_ms,moe_tail_ms,fragment_attention_ms,fragment_moe_ms,fragment_wave_ms,attention_total,moe_total,base_affected_ms,attention_fragment_ratio,moe_fragment_ratio,fragment_wave_gain_pct
W2_standard,coffee,248,1,247,0.004032258064516129,0,1.6664159893989563,3.2366878986358643,2.550831973552704,3.471567988395691,4.903103888034821,6.022399961948395,8.374671876430511,0.9577760100364684,1.4312480092048645,2.389024019241333,5.119259447569719,4.207796219254944,-250.54783078698398
W2_standard,coffee,248,1,247,0.004032258064516129,1,1.0880800187587738,1.1372640132904053,2.116367995738983,2.7813600301742554,2.225344032049179,4.8977280259132385,5.985808044672012,0.6382719874382019,1.3184159994125366,1.9566879868507385,3.486513705514358,3.714857850705378,-205.91530611408749
W2_standard,coffee,248,1,247,0.004032258064516129,2,0.9047200083732605,0.9605759978294373,1.9619359970092773,2.9740320444107056,1.8652960062026978,4.935968041419983,5.840688049793243,0.6321440041065216,1.3273280262947085,1.95947203040123,2.9507453904259124,3.7187250955582876,-198.07458127367497
W2_standard,coffee,248,1,247,0.004032258064516129,3,0.993120014667511,0.8516319990158081,2.024623930454254,2.463919997215271,1.844752013683319,4.488543927669525,5.481663942337036,0.6275520026683807,1.305728018283844,1.9332800209522247,2.9396002336688376,3.437579545523537,-183.5421606248782
W2_standard,coffee,248,1,247,0.004032258064516129,4,0.7662400007247925,0.8657599985599518,1.4575679898262024,1.8910560011863708,1.6319999992847443,3.3486239910125732,4.114863991737366,0.6305280029773712,1.3072159886360168,1.937743991613388,2.5883069293963055,2.561645527688668,-112.35333509207695
W2_standard,coffee,248,1,247,0.004032258064516129,5,0.6481919884681702,0.8050239980220795,1.428063988685608,2.0018080472946167,1.4532159864902496,3.4298720359802246,4.078064024448395,0.6324479877948761,1.3092800378799438,1.94172802567482,2.297763633586855,2.6196626670746896,-110.02241150797221
W2_standard,coffee,248,1,247,0.004032258064516129,6,0.6513600051403046,0.8610399961471558,1.4985119700431824,2.018527925014496,1.5124000012874603,3.5170398950576782,4.168399900197983,0.6242400109767914,1.3447200059890747,1.968960016965866,2.422786067366787,2.615444017634592,-111.70566513693947
W2_standard,coffee,248,1,247,0.004032258064516129,7,0.7490719854831696,0.9296480119228363,1.8587040305137634,1.9279359579086304,1.6787199974060059,3.786639988422394,4.535711973905563,0.6286239922046661,1.3264319896697998,1.955055981874466,2.6704675898839247,2.8547562316896737,-131.99908421838745
W2_standard,coffee,248,1,247,0.004032258064516129,8,0.9244639873504639,0.8255679905414581,1.6814079880714417,1.8336319327354431,1.750031977891922,3.5150399208068848,4.439503908157349,0.6150560081005096,1.3331519961357117,1.9482080042362213,2.8453213282097387,2.6366385310869402,-127.87627904741203
W2_standard,coffee,248,1,247,0.004032258064516129,9,0.8325760066509247,0.8812479972839355,1.8570240139961243,1.853808045387268,1.7138240039348602,3.7108320593833923,4.543408066034317,0.6243680119514465,1.3394240140914917,1.9637920260429382,2.7448939906103553,2.7704685150806303,-131.3589222168975
