policy,request_id,iteration,wave,prefill_cuda_ms
N0_stock,coffee,0,1,141.6591339111328
N0_stock,coffee,1,2,123.50704193115234
N0_stock,coffee,2,3,122.96268463134766
N0_stock,coffee_rocket,0,11,144.5081329345703
N0_stock,coffee_rocket,1,12,135.47219848632812
N0_stock,coffee_rocket,2,13,125.74800109863281
N0_stock,method,0,6,161.9272918701172
N0_stock,method,1,7,133.41139221191406
N0_stock,method,2,8,143.1985626220703
N1_sequential,coffee,0,1,222.09400939941406
N1_sequential,coffee,1,2,187.30419921875
N1_sequential,coffee,2,3,187.3954315185547
N1_sequential,coffee_rocket,0,11,211.25340270996094
N1_sequential,coffee_rocket,1,12,184.31680297851562
N1_sequential,coffee_rocket,2,13,178.88531494140625
N1_sequential,method,0,6,214.3416290283203
N1_sequential,method,1,7,195.0100555419922
N1_sequential,method,2,8,193.27877807617188
N2_concurrent,coffee,0,1,763.6665649414062
N2_concurrent,coffee,1,2,751.0764770507812
N2_concurrent,coffee,2,3,754.8441162109375
N2_concurrent,coffee_rocket,0,11,772.2974243164062
N2_concurrent,coffee_rocket,1,12,752.4760131835938
N2_concurrent,coffee_rocket,2,13,761.9661865234375
N2_concurrent,method,0,6,777.5723371505737
N2_concurrent,method,1,7,760.3164596557617
N2_concurrent,method,2,8,748.4293274879456
