workload_id,fragment_O1_ms,fragment_O2_ms,fragment_O3_ms,fragment_O4_ms,fragment_O2_fraction,fragment_O3_boundary,fragment_O4_fraction,base_affected_ms,clean_ttft_ms,median_attention_fragment_ratio,median_moe_fragment_ratio,fragment_O1_ttft_gain_pct,fragment_O2_ttft_gain_pct,fragment_O3_ttft_gain_pct,fragment_O4_ttft_gain_pct
W2_standard,163.61439964175224,168.4287997186184,256.5685921013355,205.56521606445312,0.5,4,0.67,93.87945610284805,123.16465377807616,2.6573633080320818,2.678561260225957,-56.6192827242107,-60.52819646624984,-132.0907671218955,-90.68004215141603
W3_vision_heavy,173.5208480656147,175.76990389823914,182.09865644574165,175.76990389823914,0.6699111299195938,4,0.67,98.81198382377625,242.3121929168701,2.6740659479826587,3.003848185904719,-30.831657021678964,-31.75982155419839,-34.371639173163075,-31.75982155419839
W4_multi_image,165.49753615260124,169.03019213676453,171.16468793153763,173.33201575279236,0.09980430528375733,494,0.67,94.94751989841461,130.2192211151123,2.216200636412541,2.1520066426005773,-54.17788222817062,-56.8907351802248,-58.52989088741969,-60.19425948269706
