workload_id,layer,attention_total,combine,dispatch,expert,layer_total,moe_total
W1_text,0,0.7599039971828461,0.1509919986128807,0.41499200463294983,0.5665599703788757,2.355760097503662,1.4176479578018188
W1_text,1,0.698415994644165,0.15699200332164764,0.3554079979658127,0.5539199709892273,2.1509119272232056,1.3572480082511902
W1_text,2,0.7004799842834473,0.1469920054078102,0.35438399016857147,0.5673919916152954,2.173743963241577,1.3881280422210693
W1_text,3,0.6857919991016388,0.1366560012102127,0.3272960036993027,0.5624639987945557,2.155344009399414,1.3617119789123535
W1_text,4,0.6740799844264984,0.1491520032286644,0.3450720012187958,0.5589439868927002,2.1403839588165283,1.3572800159454346
W1_text,5,0.6890400052070618,0.1388320028781891,0.30985599756240845,0.5700479745864868,2.111999988555908,1.3379679918289185
W1_text,6,0.6962399780750275,0.14124800264835358,0.33134400844573975,0.5614399909973145,2.136064052581787,1.334879994392395
W1_text,7,0.6795679926872253,0.141184002161026,0.3067519962787628,0.5665599703788757,2.1413919925689697,1.345471978187561
W1_text,8,0.6951200067996979,0.16654400527477264,0.3455040007829666,0.5802559852600098,2.183135986328125,1.3712000250816345
W1_text,9,0.676367998123169,0.13918399810791016,0.328015998005867,0.5714880228042603,2.1396480798721313,1.3520320057868958
W1_text,10,0.6750560104846954,0.13096000254154205,0.32678399980068207,0.5629119873046875,2.1312320232391357,1.3424959778785706
W1_text,11,0.6742720007896423,0.15620800107717514,0.3179999887943268,0.5863680243492126,2.1452319622039795,1.3805919885635376
W1_text,12,0.6755200028419495,0.15622399747371674,0.3200639933347702,0.5697919726371765,2.1196640729904175,1.347391963005066
W1_text,13,0.680431991815567,0.1623999997973442,0.3572639971971512,0.5614079833030701,2.1632959842681885,1.3850719928741455
W1_text,14,0.6755360066890717,0.16782400012016296,0.3328319936990738,0.5952640175819397,2.0940799713134766,1.3355359435081482
W1_text,15,0.6902399957180023,0.18928000330924988,0.3230400085449219,0.5547199845314026,2.129647970199585,1.3678080439567566
W1_text,16,0.6852000057697296,0.1565600037574768,0.33929599821567535,0.5494080185890198,2.1223520040512085,1.354304015636444
W1_text,17,0.6944960057735443,0.13539200276136398,0.33131200075149536,0.5581439733505249,2.1505919694900513,1.352623999118805
W1_text,18,0.6726239919662476,0.1369599997997284,0.31828801333904266,0.5564159750938416,2.122496008872986,1.3451200127601624
W1_text,19,0.6916320025920868,0.14294400066137314,0.3091839998960495,0.5536320209503174,2.1190719604492188,1.3401760458946228
W1_text,20,0.6781280040740967,0.13838399946689606,0.30878399312496185,0.5637760162353516,2.1053439378738403,1.3387359976768494
W1_text,21,0.6861279904842377,0.13708800077438354,0.3148159980773926,0.5665919780731201,2.12007999420166,1.333519995212555
W1_text,22,0.6697120070457458,0.12985599786043167,0.2836959958076477,0.5612800121307373,2.105776071548462,1.3240159749984741
W1_text,23,0.6855359971523285,0.13716799765825272,0.3279839903116226,0.5565760135650635,2.1101759672164917,1.3310720324516296
W1_text,24,0.6844319999217987,0.16206400096416473,0.36609598994255066,0.5613440275192261,2.1425440311431885,1.3807520270347595
W1_text,25,0.6901119947433472,0.1441280022263527,0.3362240046262741,0.5631359815597534,2.1230080127716064,1.3413919806480408
W1_text,26,0.6781120002269745,0.14963199943304062,0.31593599915504456,0.5994880199432373,2.1522079706192017,1.3642399907112122
W1_text,27,0.6922879815101624,0.15721599757671356,0.3341759890317917,0.5657920241355896,2.144816040992737,1.371295988559723
W1_text,28,0.7007839977741241,0.17976000159978867,0.34675200283527374,0.5541120171546936,2.1740000247955322,1.3831679821014404
W1_text,29,0.6850080192089081,0.13652800023555756,0.34993599355220795,0.5619519948959351,2.1437920331954956,1.388223946094513
W1_text,30,0.6850239932537079,0.16339199990034103,0.3325440138578415,0.567359983921051,2.1187039613723755,1.3593599796295166
W1_text,31,0.6972320079803467,0.1427839994430542,0.34190399944782257,0.5598719716072083,2.149631977081299,1.3579999804496765
W1_text,32,0.6971360146999359,0.15991999953985214,0.3598239868879318,0.5816320180892944,2.1304479837417603,1.37363201379776
W1_text,33,0.6805279850959778,0.1451679989695549,0.31625600159168243,0.5810559988021851,2.1104639768600464,1.342799961566925
W1_text,34,0.6972320079803467,0.14449600130319595,0.3317760080099106,0.5659520030021667,2.1304320096969604,1.3393440246582031
W1_text,35,0.6864319741725922,0.1268959976732731,0.3338239938020706,0.5717759728431702,2.113632082939148,1.3304479718208313
W1_text,36,0.7151360213756561,0.17814400047063828,0.33219200372695923,0.5624319911003113,2.1471199989318848,1.3605120182037354
W1_text,37,0.6785280108451843,0.13862399756908417,0.31441599130630493,0.5583999752998352,2.10972797870636,1.3479040265083313
W1_text,38,0.6857759952545166,0.16064000129699707,0.31647999584674835,0.5452799797058105,2.1133919954299927,1.33542400598526
W1_text,39,0.6796160042285919,0.16238399595022202,0.3134080022573471,0.5658239722251892,2.108832001686096,1.3519840240478516
W1_text,40,0.6668799817562103,0.15059199929237366,0.331727996468544,0.566752016544342,2.1337920427322388,1.3612160086631775
W1_text,41,0.6882879734039307,0.14265599846839905,0.3234400004148483,0.5676159858703613,2.1399840116500854,1.3594560027122498
W1_text,42,0.670960009098053,0.1417279988527298,0.305744007229805,0.5583999752998352,2.1266720294952393,1.3310400247573853
W1_text,43,0.6939359903335571,0.14217600226402283,0.3349920064210892,0.5703039765357971,2.130511999130249,1.3586080074310303
W1_text,44,0.7044639885425568,0.1441279947757721,0.32684800028800964,0.5741440057754517,2.1664960384368896,1.3674560189247131
W1_text,45,0.6854399740695953,0.1857440024614334,0.3285599946975708,0.5723519921302795,2.146463990211487,1.3659200072288513
W1_text,46,0.6850720047950745,0.1823519989848137,0.35391999781131744,0.5799679756164551,2.13862407207489,1.3704160451889038
W1_text,47,0.6968799829483032,0.16873600333929062,0.3309279978275299,0.5642240047454834,2.148128032684326,1.3849120140075684
W2_standard,0,0.9577760100364685,0.1297760009765625,0.5918720066547394,0.44441598653793335,2.6703039407730103,1.4312480092048645
W2_standard,1,0.6382719874382019,0.11087999865412712,0.34007999300956726,0.41836801171302795,2.051200032234192,1.3184159994125366
W2_standard,2,0.6321440041065216,0.10387200117111206,0.37776000797748566,0.4253759980201721,2.11406409740448,1.3273280262947083
