wave,layer,request_id,budget,strategy,base_assignments,removed_assignments,actual_removed_fraction,base_critical_rank,new_critical_rank,critical_rank_load_reduction,max_rank_load_reduction,predicted_expert_latency_reduction,pair_cosine_median,selected_critical_pair_fraction,quality_error_proxy_1_minus_cosine
6,4,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,0,0,0.11538461538461542,0.11538461538461542,0.11538461538461542,,,
6,4,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,0,0,0.2027972027972028,0.2027972027972028,0.2027972027972028,,,
6,4,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,0,0,0.2972027972027972,0.2972027972027972,0.2972027972027972,,,
6,4,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,4,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,0,0,0.04332129963898912,0.04332129963898912,0.04332129963898912,,,
6,5,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,0,0,0.09386281588447654,0.09386281588447654,0.09386281588447654,,,
6,5,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,0,0,0.19494584837545126,0.19494584837545126,0.19494584837545126,,,
6,5,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,0,0,0.296028880866426,0.296028880866426,0.296028880866426,,,
6,5,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,5,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,6,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,1,1,0.05568445475638051,0.05568445475638051,0.05568445475638051,,,
6,6,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,1,1,0.10904872389791187,0.10904872389791187,0.10904872389791187,,,
6,6,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,1,1,0.19721577726218098,0.19721577726218098,0.19721577726218098,,,
6,6,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
