wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
6,16,single_astronaut,0.25,RANDOM_MATCHED,7,2,0.0011467889908256881,0.0030030030030030463,0.5,0.9007489681243896
6,16,single_astronaut,0.25,REDUNDANCY_ONLY,7,2,0.0011467889908256881,0.0,0.0,0.9007489681243896
6,16,single_astronaut,0.25,CRITICAL_RANK_AWARE,7,2,0.0011467889908256881,0.006006006006005982,1.0,0.9007489681243896
6,16,single_astronaut,0.5,RANDOM_MATCHED,7,4,0.0022935779816513763,0.006006006006005982,0.5,0.9007489681243896
6,16,single_astronaut,0.5,REDUNDANCY_ONLY,7,4,0.0022935779816513763,0.0,0.0,0.9007489681243896
6,16,single_astronaut,0.5,CRITICAL_RANK_AWARE,7,4,0.0022935779816513763,0.006006006006005982,0.5,0.9007489681243896
6,16,single_astronaut,0.75,RANDOM_MATCHED,7,6,0.0034403669724770644,0.006006006006005982,0.3333333333333333,0.9007489681243896
6,16,single_astronaut,0.75,REDUNDANCY_ONLY,7,6,0.0034403669724770644,0.006006006006005982,0.3333333333333333,0.9007489681243896
6,16,single_astronaut,0.75,CRITICAL_RANK_AWARE,7,6,0.0034403669724770644,0.006006006006005982,0.3333333333333333,0.9007489681243896
6,16,single_astronaut,1.0,RANDOM_MATCHED,7,7,0.0040137614678899085,0.006006006006005982,0.2857142857142857,0.9007489681243896
6,16,single_astronaut,1.0,REDUNDANCY_ONLY,7,7,0.0040137614678899085,0.006006006006005982,0.2857142857142857,0.9007489681243896
6,16,single_astronaut,1.0,CRITICAL_RANK_AWARE,7,7,0.0040137614678899085,0.006006006006005982,0.2857142857142857,0.9007489681243896
6,40,single_astronaut,0.25,RANDOM_MATCHED,25,7,0.0040137614678899085,0.0034602076124568004,0.14285714285714285,0.9045541286468506
