wave,layer,expert_id,token_a,token_b,dest_rank_a,dest_rank_b,cosine,critical_pair
16,16,94,99,495,5,5,0.9456295371055603,0
16,16,94,68,464,5,5,0.9423621892929077,0
16,16,94,106,502,5,5,0.9398189783096313,0
16,16,94,43,439,5,5,0.931027352809906,0
16,16,95,122,518,5,5,0.9672045707702637,0
16,16,95,78,474,5,5,0.9654434323310852,0
16,16,95,77,473,5,5,0.9550114870071411,0
16,16,95,61,457,5,5,0.9524069428443909,0
16,16,95,104,500,5,5,0.930770754814148,0
16,16,95,126,522,5,5,0.9307056665420532,0
16,16,95,108,504,5,5,0.9161651730537415,0
16,16,95,107,503,5,5,0.9098389148712158,0
16,16,97,118,514,6,6,0.909509003162384,0
16,16,98,77,473,6,6,0.9550115466117859,0
16,16,98,108,504,6,6,0.9161654114723206,0
16,16,98,107,503,6,6,0.9098389744758606,0
