wave,layer,expert_id,token_a,token_b,dest_rank_a,dest_rank_b,cosine,critical_pair
14,40,114,86,123,7,7,0.9469951391220093,0
14,40,114,79,103,7,7,0.9278449416160583,0
14,40,114,77,101,7,7,0.9197876453399658,0
14,40,114,69,112,7,7,0.9106872081756592,0
14,40,114,605,628,7,7,0.9070073962211609,0
14,40,115,79,103,7,7,0.9278449416160583,0
14,40,117,56,58,7,7,0.9506084322929382,0
14,40,118,662,663,7,7,0.9297877550125122,0
14,40,120,659,660,7,7,0.9654282927513123,0
14,40,120,14,15,7,7,0.9630105495452881,0
14,40,120,16,17,7,7,0.9514609575271606,0
14,40,120,664,665,7,7,0.9504226446151733,0
14,40,120,18,19,7,7,0.9464020133018494,0
14,40,120,667,668,7,7,0.9353962540626526,0
14,40,120,7,8,7,7,0.9338595867156982,0
14,40,120,50,73,7,7,0.9332234859466553,0
14,40,120,12,13,7,7,0.932991087436676,0
14,40,120,26,677,7,7,0.9201705455780029,0
14,40,120,96,119,7,7,0.9183049201965332,0
14,40,120,43,68,7,7,0.9170600175857544,0
14,40,120,671,672,7,7,0.9154766798019409,0
14,40,120,5,6,7,7,0.9129852056503296,0
14,40,120,20,670,7,7,0.9116050004959106,0
14,40,123,52,53,7,7,0.9043897390365601,0
14,40,124,129,131,7,7,0.9740927815437317,0
14,40,124,4,650,7,7,0.9372079372406006,0
14,40,124,90,103,7,7,0.9093353152275085,0
14,40,125,659,660,7,7,0.9654282927513123,0
14,40,125,14,15,7,7,0.9630105495452881,0
14,40,125,78,79,7,7,0.954087495803833,0
14,40,125,16,17,7,7,0.9514609575271606,0
14,40,125,56,58,7,7,0.9506084322929382,0
14,40,125,664,665,7,7,0.9504226446151733,0
14,40,125,18,19,7,7,0.9464020133018494,0
14,40,125,69,86,7,7,0.939515233039856,0
14,40,125,667,668,7,7,0.9353962540626526,0
14,40,125,7,8,7,7,0.9338595867156982,0
14,40,125,50,73,7,7,0.9332234859466553,0
14,40,125,12,13,7,7,0.932991087436676,0
14,40,125,605,614,7,7,0.9208813309669495,0
14,40,125,26,677,7,7,0.9201705455780029,0
14,40,125,96,119,7,7,0.9183049201965332,0
14,40,125,43,68,7,7,0.9170600175857544,0
14,40,125,671,672,7,7,0.9154766798019409,0
14,40,125,5,6,7,7,0.9129852056503296,0
14,40,125,90,103,7,7,0.9093356132507324,0
14,40,126,43,68,7,7,0.9170600175857544,0
15,16,20,447,475,1,1,0.904375433921814,1
15,16,20,474,481,1,1,0.9037532806396484,1
15,16,21,447,475,1,1,0.904375433921814,1
15,16,22,81,92,1,1,0.9007489681243896,1
15,16,27,473,480,1,1,0.9130926728248596,1
15,16,27,447,475,1,1,0.904375433921814,1
15,16,27,474,481,1,1,0.9037532806396484,1
15,16,29,473,480,1,1,0.9130926728248596,1
15,16,29,447,475,1,1,0.904375433921814,1
15,16,29,474,481,1,1,0.9037532806396484,1
15,16,36,473,480,2,2,0.9130926728248596,0
15,16,36,447,475,2,2,0.904375433921814,0
15,16,36,474,481,2,2,0.9037532806396484,0
15,16,60,473,480,3,3,0.9130926728248596,0
15,16,60,447,475,3,3,0.904375433921814,0
15,16,60,474,481,3,3,0.9037532806396484,0
15,16,62,473,480,3,3,0.9130924940109253,0
15,16,77,81,92,4,4,0.9007489681243896,0
15,16,79,81,92,4,4,0.9007489681243896,0
15,16,93,473,480,5,5,0.9130926728248596,0
15,16,93,447,475,5,5,0.904375433921814,0
15,16,93,81,92,5,5,0.9007489681243896,0
15,16,108,81,92,6,6,0.9007489681243896,0
15,16,110,81,92,6,6,0.9007489681243896,0
15,16,111,447,475,6,6,0.904375433921814,0
15,16,111,474,481,6,6,0.9037532806396484,0
15,16,117,81,92,7,7,0.9007489681243896,0
15,24,22,492,493,1,1,0.9295401573181152,0
15,24,22,451,462,1,1,0.9085761308670044,0
15,24,32,492,493,2,2,0.9295401573181152,1
15,24,32,451,462,2,2,0.9085761308670044,1
15,24,52,492,493,3,3,0.9295401573181152,0
15,24,52,451,462,3,3,0.9085761308670044,0
15,24,76,492,493,4,4,0.9295400381088257,0
15,24,87,492,493,5,5,0.9295401573181152,0
15,24,105,451,462,6,6,0.9085760116577148,0
15,24,115,492,493,7,7,0.9295401573181152,0
15,40,6,86,113,0,0,0.9115833044052124,1
15,40,8,492,493,0,0,0.9372482895851135,1
15,40,10,420,436,0,0,0.9123185276985168,1
15,40,21,451,462,1,1,0.9402369260787964,0
15,40,23,86,113,1,1,0.9115833044052124,0
15,40,31,403,404,1,1,0.9015294313430786,0
15,40,32,451,492,2,2,0.9416944980621338,0
15,40,34,420,436,2,2,0.912318229675293,0
15,40,38,403,404,2,2,0.9015294313430786,0
15,40,41,451,492,2,2,0.9416947364807129,0
15,40,41,462,493,2,2,0.9333944320678711,0
15,40,46,420,436,2,2,0.912318229675293,0
15,40,47,403,404,2,2,0.9015294313430786,0
15,40,58,420,436,3,3,0.912318229675293,0
15,40,61,403,404,3,3,0.9015294313430786,0
15,40,67,451,492,4,4,0.9416947364807129,0
15,40,67,403,404,4,4,0.9015294313430786,0
15,40,70,420,436,4,4,0.912318229675293,0
15,40,80,86,113,5,5,0.9115833044052124,0
15,40,85,86,113,5,5,0.9115833044052124,0
15,40,94,86,113,5,5,0.9115833044052124,0
15,40,98,420,436,6,6,0.912318229675293,0
15,40,109,86,113,6,6,0.9115833044052124,0
15,40,114,451,492,7,7,0.9416944980621338,0
15,40,120,403,404,7,7,0.9015294313430786,0
15,40,122,420,436,7,7,0.9123185276985168,0
15,40,124,492,493,7,7,0.9372482895851135,0
15,40,125,403,404,7,7,0.9015294313430786,0
15,40,126,451,462,7,7,0.9402369260787964,0
16,16,1,47,443,0,0,0.9465185403823853,0
16,16,1,88,484,0,0,0.9445228576660156,0
16,16,2,130,526,0,0,0.9718089699745178,0
16,16,2,83,479,0,0,0.9701730012893677,0
16,16,2,63,459,0,0,0.9643860459327698,0
16,16,2,77,473,0,0,0.9550114870071411,0
16,16,2,109,505,0,0,0.9542863965034485,0
16,16,2,104,500,0,0,0.930770754814148,0
16,16,2,131,527,0,0,0.9294320344924927,0
16,16,2,108,504,0,0,0.9161651730537415,0
16,16,2,107,503,0,0,0.9098389148712158,0
16,16,2,96,492,0,0,0.9065955281257629,0
16,16,5,79,475,0,0,0.9630393385887146,0
16,16,5,36,432,0,0,0.9557017087936401,0
16,16,5,109,505,0,0,0.9542863965034485,0
16,16,5,61,457,0,0,0.9524069428443909,0
16,16,5,25,421,0,0,0.9513905644416809,0
16,16,5,114,510,0,0,0.949985146522522,0
16,16,5,80,476,0,0,0.9497517943382263,0
16,16,5,10,406,0,0,0.9436219930648804,0
16,16,5,23,419,0,0,0.923525869846344,0
16,16,5,24,420,0,0,0.920650064945221,0
16,16,5,22,418,0,0,0.9011874198913574,0
16,16,6,45,441,0,0,0.9669752717018127,0
16,16,6,31,427,0,0,0.9605236053466797,0
16,16,6,17,413,0,0,0.9567295908927917,0
16,16,7,80,476,0,0,0.9497517347335815,0
16,16,10,74,470,0,0,0.9404458999633789,0
16,16,11,38,434,0,0,0.9724600911140442,0
16,16,11,68,464,0,0,0.9423621892929077,0
16,16,11,43,439,0,0,0.931027352809906,0
16,16,11,53,449,0,0,0.9306406378746033,0
16,16,13,63,459,0,0,0.9643860459327698,0
16,16,13,79,475,0,0,0.9630393385887146,0
16,16,13,80,476,0,0,0.9497517943382263,0
16,16,13,57,453,0,0,0.9485757946968079,0
16,16,13,47,443,0,0,0.9465183019638062,0
16,16,13,88,484,0,0,0.9445227980613708,0
16,16,13,29,425,0,0,0.9356420040130615,0
16,16,13,124,520,0,0,0.9293598532676697,0
16,16,13,24,420,0,0,0.920650064945221,0
16,16,13,118,514,0,0,0.9095090627670288,0
16,16,14,39,435,0,0,0.9676557183265686,0
16,16,14,98,494,0,0,0.9649573564529419,0
16,16,14,70,466,0,0,0.9586862921714783,0
16,16,14,101,497,0,0,0.9583562016487122,0
16,16,14,56,452,0,0,0.9533066749572754,0
16,16,14,57,453,0,0,0.9485757946968079,0
16,16,14,121,517,0,0,0.9485055208206177,0
16,16,14,47,443,0,0,0.9465183019638062,0
16,16,14,99,495,0,0,0.9456295371055603,0
16,16,14,73,469,0,0,0.9435392022132874,0
16,16,14,68,464,0,0,0.9423621892929077,0
16,16,14,106,502,0,0,0.9398189783096313,0
16,16,14,44,440,0,0,0.93929523229599,0
16,16,14,105,501,0,0,0.936900794506073,0
16,16,14,84,480,0,0,0.9357660412788391,0
16,16,14,29,425,0,0,0.9356420040130615,0
16,16,14,71,467,0,0,0.9326695799827576,0
16,16,14,43,439,0,0,0.931027352809906,0
16,16,14,53,449,0,0,0.9306406378746033,0
16,16,14,124,520,0,0,0.9293598532676697,0
16,16,14,59,455,0,0,0.9220029711723328,0
16,16,14,19,415,0,0,0.9188128113746643,0
16,16,14,72,468,0,0,0.917199969291687,0
16,16,14,33,429,0,0,0.9147645831108093,0
16,16,14,28,424,0,0,0.9133017659187317,0
16,16,14,113,509,0,0,0.9124626517295837,0
16,16,14,118,514,0,0,0.9095090627670288,0
16,16,15,130,526,0,0,0.9718089699745178,0
16,16,15,122,518,0,0,0.9672045707702637,0
16,16,15,60,456,0,0,0.9656626582145691,0
16,16,15,77,473,0,0,0.9550114870071411,0
16,16,15,100,496,0,0,0.9517463445663452,0
16,16,15,64,460,0,0,0.9204559326171875,0
16,16,17,90,486,1,1,0.9589706659317017,1
16,16,17,22,418,1,1,0.9011874198913574,1
16,16,20,38,434,1,1,0.9724600911140442,1
16,16,20,100,496,1,1,0.9517463445663452,1
16,16,20,84,480,1,1,0.9357660412788391,1
16,16,21,45,441,1,1,0.9669750928878784,1
16,16,21,78,474,1,1,0.9654434323310852,1
16,16,21,63,459,1,1,0.9643860459327698,1
16,16,21,79,475,1,1,0.9630393385887146,1
16,16,21,31,427,1,1,0.9605237245559692,1
