layer,length,block,repetitions,serial_ms,same_chunk_no_overlap_ms,streaming_ms,streaming_gain_vs_same_chunk_pct,streaming_gain_vs_serial_pct,min_cosine,max_relative_l2,min_route_agreement
4,8192,1024,30,2.88155198097229,4.941263914108276,4.889871835708618,1.0400593713062714,-69.69577047361412,0.9996106028556824,0.02790585346519947,0.99468994140625
4,32768,1024,30,10.406288146972656,19.510720252990723,19.778287887573242,-1.3713877863709574,-90.06092862542,0.9997215270996094,0.023600691929459572,0.995391845703125
24,8192,64,30,2.940832018852234,55.01032066345215,55.96249580383301,-1.73090272679226,-1802.9477183696606,0.9995638132095337,0.029539452865719795,0.989501953125
24,8192,128,30,2.940832018852234,28.06596851348877,28.35862445831299,-1.0427430811217704,-864.3061649397087,0.9995794296264648,0.029001090675592422,0.9896240234375
24,8192,256,30,2.940832018852234,14.755552291870117,14.706335544586182,0.33354730687412193,-400.07397397440815,0.9996098279953003,0.027938304468989372,0.98895263671875
24,8192,512,30,2.940832018852234,8.123327732086182,8.16871976852417,-0.5587862257322835,-177.76900265498023,0.9996578693389893,0.026161907240748405,0.98956298828125
24,8192,1024,30,2.940832018852234,4.994784116744995,4.954272031784058,0.8110878070810086,-68.46497861913383,0.9996374845504761,0.026926204562187195,0.9903564453125
24,16384,64,30,4.991472005844116,109.79307174682617,111.5126724243164,-1.5662196622529083,-2134.0638652035937,0.9996317028999329,0.027138255536556244,0.989837646484375
24,16384,128,30,4.991472005844116,55.61614418029785,56.370656967163086,-1.356643467442179,-1029.3393392002035,0.9996551275253296,0.026264328509569168,0.98980712890625
24,16384,256,30,4.991472005844116,28.8963041305542,29.023935317993164,-0.4416868913834934,-481.4704616997021,0.999661386013031,0.02602398209273815,0.9901123046875
24,16384,512,30,4.991472005844116,15.808847904205322,15.983183860778809,-1.102774583131457,-220.20982672176413,0.9997028708457947,0.02437729761004448,0.990020751953125
24,16384,1024,30,4.991472005844116,9.571568012237549,9.5763521194458,-0.04998248147153447,-91.85426880554702,0.9996817111968994,0.025228658691048622,0.990478515625
24,32768,64,30,10.77670431137085,220.84136199951172,224.30913543701172,-1.5702554114422043,-1981.4260923939046,0.9996404647827148,0.02681472897529602,0.9903411865234375
24,32768,128,30,10.77670431137085,111.66989135742188,113.54520034790039,-1.6793326900231447,-953.617108415002,0.9996552467346191,0.026259547099471092,0.990509033203125
24,32768,256,30,10.77670431137085,58.13492774963379,58.975088119506836,-1.4451903569766444,-447.2460449460445,0.999668538570404,0.025746259838342667,0.990478515625
24,32768,512,30,10.77670431137085,32.4063835144043,32.671630859375,-0.8185033817574969,-203.16903865407258,0.999713659286499,0.02393268421292305,0.9906768798828125
24,32768,1024,30,10.77670431137085,19.78313636779785,19.987231254577637,-1.0316609206212728,-85.46700992332565,0.9997029304504395,0.024374812841415405,0.99072265625
47,8192,1024,30,2.848688006401062,4.881327867507935,4.84116792678833,0.8227257379477637,-69.9437746748722,0.9997323751449585,0.023139363154768944,0.966064453125
47,32768,1024,30,10.3820161819458,19.382112503051758,19.592623710632324,-1.0861107505563232,-88.716944447685,0.9997535347938538,0.02220028080046177,0.969573974609375
24,65536,1024,30,26.811055183410645,43.27782440185547,43.73948669433594,-1.0667409900130649,-63.13974364350929,0.9997307062149048,0.02321026660501957,0.9919204711914062
