layer,length,cp,repetitions,qkv_norm_ms,qkv_a2a_ms,attention_ms,return_a2a_ms,o_proj_ms,attention_path_ms
24,4096,1,30,1.0214239954948425,0.003103999886661768,0.31147199869155884,0.003103999886661768,0.09177599847316742,1.43230402469635
24,4096,2,30,0.6921760141849518,0.21078400313854218,0.2202400043606758,0.10518399998545647,0.04899200052022934,1.2404320240020752
24,4096,4,30,0.7190240025520325,0.36241599917411804,0.16518399864435196,0.09284799918532372,0.06705600023269653,1.2541120052337646
24,8192,1,30,1.8610880374908447,0.003103999886661768,0.8688479959964752,0.003103999886661768,0.17947199940681458,2.9171040058135986
24,8192,2,30,1.017199993133545,0.20923200249671936,0.4813919961452484,0.1337440013885498,0.09408000111579895,1.9224640130996704
24,8192,4,30,0.7421440184116364,0.3347039967775345,0.3087040036916733,0.12110399827361107,0.048976000398397446,1.449616014957428
24,16384,1,30,3.5600481033325195,0.00311999989207834,3.0390719175338745,0.003103999886661768,0.3493120074272156,6.957200050354004
24,16384,2,30,1.8572959899902344,0.33800001442432404,1.5702880024909973,0.24571199715137482,0.18027199804782867,4.185439825057983
24,16384,4,30,1.0231519937515259,0.2569279968738556,0.8333760201931,0.16544000059366226,0.0944640003144741,2.352911949157715
24,32768,1,30,6.928992033004761,0.003103999886661768,11.64406442642212,0.003103999886661768,0.6945759952068329,19.274864196777344
24,32768,2,30,3.570528030395508,0.6489920020103455,5.861776113510132,0.48638400435447693,0.34971199929714203,10.858736038208008
24,32768,4,30,1.8568320274353027,0.420879989862442,2.970304012298584,0.3135039955377579,0.17999999970197678,5.694911956787109
24,65536,1,30,14.490511894226074,0.0031679999083280563,49.943246841430664,0.0031679999083280563,1.5541279911994934,65.91982650756836
24,65536,2,30,7.414271831512451,1.5302240252494812,25.530367851257324,2.9554879665374756,0.7466560006141663,35.75819206237793
24,65536,4,30,3.811792016029358,0.9806880056858063,12.865472316741943,1.9335359930992126,0.3803039938211441,18.296783447265625
