active_experts,critical_rank,expert_backend,expert_load_cv,iteration,layer,max_expert_load,mean_active_expert_load,prepare_finalize_backend,rank_count,rank_cv,rank_max_mean_load,topology,total_assignments,workload
128,1,TritonExperts,0.7084331117765728,0,24,718.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07598983996468518,1.128391793514229,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,3,TritonExperts,0.719400568720116,0,25,696.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07221512440452275,1.0914956982131039,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.6833174156093287,0,26,660.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11540895428670751,1.1935804103242886,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6553506423798772,0,27,595.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11397910098932276,1.108041032428855,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7602089737250207,0,28,752.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.10125913506503888,1.0742885506287227,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7022345071649109,0,29,693.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14958533175699817,1.2309728656518861,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.6908266499377835,0,30,716.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08589156134762334,1.0719722038385175,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.7035558599386728,0,31,566.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1026679650553379,1.0929847782925215,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6532349392387328,0,32,598.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14138924721684898,1.2370946393117142,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6189420014361365,0,33,540.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08489183488738969,1.0671740569159498,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.6656388445400784,0,34,594.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.031157987839399978,1.0469887491727332,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.8046385071527435,0,35,841.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1527708755754673,1.2541363335539377,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.6262363320510388,0,36,492.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.10032722866331666,1.128722700198544,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.7231883634545978,0,37,624.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.10827546592331758,1.1045665122435473,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.7436064722111437,0,38,784.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.11581934856913037,1.1576770350761085,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,3,TritonExperts,0.760972281759633,0,39,811.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07132468865824748,1.0560886829913965,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,3,TritonExperts,0.7900278346202787,0,40,866.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.08328139626191938,1.116148246194573,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,2,TritonExperts,0.6942752662575694,0,41,735.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.0671330886080225,1.1123428193249503,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
122,2,TritonExperts,0.712588092018658,0,42,1001.0,198.1639344262295,MoEPrepareAndFinalizeNoDPEPModular,4,0.10760281989608259,1.147749834546658,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,2,TritonExperts,0.8002922148003389,0,43,914.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.13512509727091485,1.2180675049636003,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,1,TritonExperts,0.7981409804247528,0,44,768.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.13639984967102017,1.1545334215751157,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
123,0,TritonExperts,0.7767290785745764,0,45,738.0,196.5528455284553,MoEPrepareAndFinalizeNoDPEPModular,4,0.08227898387329144,1.1153209794837855,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
121,3,TritonExperts,0.7627716896070299,0,46,785.0,199.80165289256198,MoEPrepareAndFinalizeNoDPEPModular,4,0.15989377087305898,1.1977167438782264,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
120,3,TritonExperts,0.7645464314384979,0,47,667.0,201.46666666666667,MoEPrepareAndFinalizeNoDPEPModular,4,0.13668163584321305,1.1120119126406354,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7896506850561618,1,0,828.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07804576381324958,1.1308735936465917,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7323801488352785,1,1,998.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.09172175792394968,1.1386499007279947,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.9119728185655734,1,2,1294.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.16588514962875878,1.2609199205823958,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.9129789181320269,1,3,1102.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1331623448933434,1.2116148246194574,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.9899874147859559,1,4,1312.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.12861685586273405,1.1007610853739245,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,1.0746822105705982,1,5,1284.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.16735607603885436,1.2629053606882858,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,3,TritonExperts,1.1370057487219143,1,6,1393.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.14407932204886448,1.162971542025149,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0,TritonExperts,1.2410192337441182,1,7,1244.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.1531564956540489,1.2410655195234943,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.9459313549548267,1,8,884.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.13185619304713223,1.1224354731965587,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0,TritonExperts,0.9994577941591158,1,9,1502.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.31731882791636024,1.5393778954334878,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.9821852224070049,1,10,1028.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08311235376086935,1.098941098610192,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.9541563272969216,1,11,931.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08940568004806729,1.1427862342819326,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.9533836778730902,1,12,1314.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.15505322052467868,1.2677035076108538,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,3,TritonExperts,1.0012468569429374,1,13,1207.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.17480468594081158,1.156187954996691,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.8390699989505256,1,14,835.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11071561077323563,1.1819986763732628,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.9376949604512502,1,15,1159.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1745822867106916,1.1881204500330906,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.8714464677469952,1,16,872.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.02641223070196263,1.036896095301125,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,3,TritonExperts,0.6567138179136903,1,17,639.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.1274054658164055,1.1955658504301787,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.8284576656503534,1,18,643.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.16562226651243278,1.1520516214427532,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0,TritonExperts,0.8963957134732683,1,19,851.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.12767515660253798,1.1651224354731966,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6874890387904619,1,20,708.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.0930639384565542,1.1369953673064195,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.7571914313927696,1,21,1041.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.18606980989113972,1.2615817339510258,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7297797140344062,1,22,759.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.12028759519459731,1.1962276637988087,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.8316956230257375,1,23,1003.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.05142951538586204,1.0762739907346128,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.7084331117765728,1,24,718.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07598983996468518,1.128391793514229,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,3,TritonExperts,0.719400568720116,1,25,696.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07221512440452275,1.0914956982131039,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.6833174156093287,1,26,660.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11540895428670751,1.1935804103242886,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6553506423798772,1,27,595.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11397910098932276,1.108041032428855,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7602089737250207,1,28,752.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.10125913506503888,1.0742885506287227,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.7022345071649109,1,29,693.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14958533175699817,1.2309728656518861,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,2,TritonExperts,0.6908266499377835,1,30,716.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08589156134762334,1.0719722038385175,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.7035558599386728,1,31,566.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1026679650553379,1.0929847782925215,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6532349392387328,1,32,598.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14138924721684898,1.2370946393117142,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.6189420014361365,1,33,540.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08489183488738969,1.0671740569159498,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.6656388445400784,1,34,594.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.031157987839399978,1.0469887491727332,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0,TritonExperts,0.8046385071527435,1,35,841.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1527708755754673,1.2541363335539377,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,1,TritonExperts,0.6262363320510388,1,36,492.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.10032722866331666,1.128722700198544,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.7231883634545978,1,37,624.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.10827546592331758,1.1045665122435473,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,2,TritonExperts,0.7436064722111437,1,38,784.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.11581934856913037,1.1576770350761085,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,3,TritonExperts,0.760972281759633,1,39,811.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07132468865824748,1.0560886829913965,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,3,TritonExperts,0.7900278346202787,1,40,866.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.08328139626191938,1.116148246194573,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,2,TritonExperts,0.6942752662575694,1,41,735.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.0671330886080225,1.1123428193249503,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
122,2,TritonExperts,0.712588092018658,1,42,1001.0,198.1639344262295,MoEPrepareAndFinalizeNoDPEPModular,4,0.10760281989608259,1.147749834546658,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,2,TritonExperts,0.8002922148003389,1,43,914.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.13512509727091485,1.2180675049636003,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
124,1,TritonExperts,0.7981409804247528,1,44,768.0,194.96774193548387,MoEPrepareAndFinalizeNoDPEPModular,4,0.13639984967102017,1.1545334215751157,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
123,0,TritonExperts,0.7767290785745764,1,45,738.0,196.5528455284553,MoEPrepareAndFinalizeNoDPEPModular,4,0.08227898387329144,1.1153209794837855,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
121,3,TritonExperts,0.7627716896070299,1,46,785.0,199.80165289256198,MoEPrepareAndFinalizeNoDPEPModular,4,0.15989377087305898,1.1977167438782264,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
120,3,TritonExperts,0.7645464314384979,1,47,667.0,201.46666666666667,MoEPrepareAndFinalizeNoDPEPModular,4,0.13668163584321305,1.1120119126406354,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
