active_experts,combine_ms,critical_rank,dispatch_ms,expert_backend,expert_load_cv,expert_max_mean_rank,expert_ms,full_moe_mean_rank_ms,full_moe_ms,iteration,layer,max_expert_load,mean_active_expert_load,prepare_finalize_backend,rank_count,rank_cv,rank_max_mean_load,topology,total_assignments,workload
128,0.012160000391304493,2,0.026079999282956123,TritonExperts,0.7896506850561618,1.0324578654141532,0.67740797996521,5.83188009262085,5.87059211730957,0,0,828.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07804576381324958,1.1308735936465917,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01142400037497282,2,0.019519999623298645,TritonExperts,0.7323801488352785,1.0223734076948667,0.6251199841499329,5.6409759521484375,5.669856071472168,0,1,998.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.09172175792394968,1.1386499007279947,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011711999773979187,2,0.017376000061631203,TritonExperts,0.9119728185655734,1.0393845318978097,0.6333760023117065,5.593608140945435,5.619840145111084,0,2,1294.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.16588514962875878,1.2609199205823958,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01190400030463934,2,0.01744000054895878,TritonExperts,0.9129789181320269,1.0251219231534097,0.6271039843559265,5.566727876663208,5.593023777008057,0,3,1102.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1331623448933434,1.2116148246194574,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012256000190973282,1,0.019392000511288643,TritonExperts,0.9899874147859559,1.0246346537713178,0.6298879981040955,5.526375889778137,5.556735992431641,0,4,1312.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.12861685586273405,1.1007610853739245,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011935999616980553,0,0.017376000061631203,TritonExperts,1.0746822105705982,1.0249117723122894,0.6296319961547852,5.548247933387756,5.588799953460693,0,5,1284.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.16735607603885436,1.2629053606882858,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.01206399966031313,3,0.018271999433636665,TritonExperts,1.1370057487219143,1.043711738761851,0.6406720280647278,5.640712022781372,5.682720184326172,0,6,1393.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.14407932204886448,1.162971542025149,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.01206399966031313,0,0.0191040001809597,TritonExperts,1.2410192337441182,1.013647286427785,0.6227200031280518,5.624168038368225,5.650112152099609,0,7,1244.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.1531564956540489,1.2410655195234943,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01196799986064434,0,0.016607999801635742,TritonExperts,0.9459313549548267,1.0418590176763531,0.6445440053939819,5.566928029060364,5.593632221221924,0,8,884.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.13185619304713223,1.1224354731965587,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.011680000461637974,0,0.01897599920630455,TritonExperts,0.9994577941591158,1.0510903330873786,0.650111973285675,5.607583999633789,5.633791923522949,0,9,1502.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.31731882791636024,1.5393778954334878,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012160000391304493,0,0.017184000462293625,TritonExperts,0.9821852224070049,1.039070221809697,0.6408320069313049,5.607351899147034,5.63427209854126,0,10,1028.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08311235376086935,1.098941098610192,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011935999616980553,0,0.017503999173641205,TritonExperts,0.9541563272969216,1.0480843238253204,0.6436160206794739,5.597295880317688,5.6244797706604,0,11,931.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08940568004806729,1.1427862342819326,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012160000391304493,2,0.018144000321626663,TritonExperts,0.9533836778730902,1.0284387569539362,0.644864022731781,5.6213120222091675,5.647647857666016,0,12,1314.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.15505322052467868,1.2677035076108538,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01228800043463707,3,0.017023999243974686,TritonExperts,1.0012468569429374,1.0283922190674812,0.6818240284919739,5.732216119766235,5.759488105773926,0,13,1207.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.17480468594081158,1.156187954996691,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012032000347971916,2,0.02239999920129776,TritonExperts,0.8390699989505256,1.023558712012192,0.6287680268287659,5.749240040779114,5.783423900604248,0,14,835.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11071561077323563,1.1819986763732628,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011935999616980553,0,0.017184000462293625,TritonExperts,0.9376949604512502,1.0377714404203546,0.6297280192375183,5.586736083030701,5.614016056060791,0,15,1159.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1745822867106916,1.1881204500330906,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.012032000347971916,2,0.017823999747633934,TritonExperts,0.8714464677469952,1.0073843872877295,0.6111680269241333,5.700456023216248,5.730751991271973,0,16,872.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.02641223070196263,1.036896095301125,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.012768000364303589,3,0.01775999926030636,TritonExperts,0.6567138179136903,1.053232352421577,0.6584640145301819,5.789896011352539,5.816512107849121,0,17,639.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.1274054658164055,1.1955658504301787,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.01190400030463934,2,0.01724799908697605,TritonExperts,0.8284576656503534,1.0248902749601696,0.6183040142059326,5.616328001022339,5.647071838378906,0,18,643.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.16562226651243278,1.1520516214427532,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
127,0.011807999573647976,0,0.016607999801635742,TritonExperts,0.8963957134732683,1.0284636968455019,0.6370880007743835,5.6187039613723755,5.646368026733398,0,19,851.0,190.36220472440945,MoEPrepareAndFinalizeNoDPEPModular,4,0.12767515660253798,1.1651224354731966,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01228800043463707,0,0.016767999157309532,TritonExperts,0.6874890387904619,1.213826451140327,0.8110399842262268,11.220752000808716,11.249343872070312,0,20,708.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.0930639384565542,1.1369953673064195,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012000000104308128,0,0.026335999369621277,TritonExperts,0.7571914313927696,1.0947731344738079,0.7014080286026001,8.336647987365723,8.389023780822754,0,21,1041.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.18606980989113972,1.2615817339510258,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01228800043463707,2,0.022911999374628067,TritonExperts,0.7297797140344062,1.0324191084714918,0.6483839750289917,6.680456042289734,6.7215681076049805,0,22,759.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.12028759519459731,1.1962276637988087,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011680000461637974,2,0.018015999346971512,TritonExperts,0.8316956230257375,1.0205073763382615,0.6214399933815002,5.795536041259766,5.824319839477539,0,23,1003.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.05142951538586204,1.0762739907346128,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01196799986064434,1,0.017632000148296356,TritonExperts,0.7084331117765728,1.0402299277718003,0.6340159773826599,5.51091992855072,5.538047790527344,0,24,718.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07598983996468518,1.128391793514229,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012128000147640705,3,0.01894400082528591,TritonExperts,0.719400568720116,1.0126575649341445,0.6073920130729675,5.46506404876709,5.491680145263672,0,25,696.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.07221512440452275,1.0914956982131039,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012095999903976917,2,0.018464000895619392,TritonExperts,0.6833174156093287,1.027187157724972,0.6268799901008606,5.558791995048523,5.594848155975342,0,26,660.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11540895428670751,1.1935804103242886,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011648000217974186,0,0.018783999606966972,TritonExperts,0.6553506423798772,1.033929448174541,0.644320011138916,9.549015998840332,9.577631950378418,0,27,595.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.11397910098932276,1.108041032428855,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01244799979031086,2,0.01756799966096878,TritonExperts,0.7602089737250207,1.0173288838960175,0.6190080046653748,5.520615935325623,5.551136016845703,0,28,752.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.10125913506503888,1.0742885506287227,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.011935999616980553,2,0.01881599985063076,TritonExperts,0.7022345071649109,1.0243135698709298,0.6312639713287354,5.535024046897888,5.560128211975098,0,29,693.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14958533175699817,1.2309728656518861,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01190400030463934,2,0.018592000007629395,TritonExperts,0.6908266499377835,1.0632421476753697,0.7908480167388916,5.6946799755096436,5.737664222717285,0,30,716.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.08589156134762334,1.0719722038385175,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.012032000347971916,1,0.019551999866962433,TritonExperts,0.7035558599386728,1.055450364873332,0.650816023349762,5.719048023223877,5.752960205078125,0,31,566.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.1026679650553379,1.0929847782925215,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
128,0.01196799986064434,0,0.01913600042462349,TritonExperts,0.6532349392387328,1.0356393065199956,0.6234880089759827,5.493880033493042,5.52345609664917,0,32,598.0,188.875,MoEPrepareAndFinalizeNoDPEPModular,4,0.14138924721684898,1.2370946393117142,modality_aware_tp_ep_crossover_poc_20260904_final_ep4,24176,mixed
