workload,vision_token_fraction,prompt_tokens,tp_only_t_moe_ms,ep_flag_t_moe_ms,tp_only_ms_per_token,ep_flag_ms_per_token,paired_median_reduction_pct,mean_gap_pct,winner,ep_flag_effective_backend
text_heavy,0.000000,2980,393.545644,274.993596,0.132062,0.092280,22.336583,30.126344,ep_flag,MoEPrepareAndFinalizeNoDPEPModular
mixed,0.518862,3022,395.931992,279.164720,0.131015,0.092378,35.777425,29.491013,ep_flag,MoEPrepareAndFinalizeNoDPEPModular
vision_heavy,0.991464,3163,414.846932,290.664121,0.131128,0.091899,29.529208,29.930144,ep_flag,MoEPrepareAndFinalizeNoDPEPModular
