call,request_id,phase,normalized_progress,ready_requests,masked_before,accepted,accepted_per_ready_request,confidence_median,confidence_p90,threshold,policy
0,measured_0,middle,0.5030241935483871,31,493,52,1.6774193548387097,0.31601881980895996,0.8470126390457153,0.9,none
1,measured_0,middle,0.5554435483870968,31,441,86,2.774193548387097,0.48918139934539795,0.9836111664772034,0.9,none
2,measured_0,middle,0.5776209677419355,31,419,57,1.8387096774193548,0.38829106092453003,0.896181583404541,0.9,none
3,measured_0,middle,0.6028225806451613,31,394,77,2.4838709677419355,0.4431491792201996,0.9720954298973083,0.9,none
4,measured_0,middle,0.6159274193548387,31,381,68,2.193548387096774,0.482129842042923,0.9744001626968384,0.9,none
5,measured_0,middle,0.6072916666666667,30,377,67,2.2333333333333334,0.454704225063324,0.9878045320510864,0.9,none
6,measured_0,middle,0.5770833333333334,30,406,64,2.1333333333333333,0.35283568501472473,0.9192396402359009,0.9,none
7,measured_0,middle,0.64375,30,342,59,1.9666666666666666,0.41668233275413513,0.9465945363044739,0.9,none
8,measured_0,middle,0.671875,30,315,56,1.8666666666666667,0.37925583124160767,0.9498888254165649,0.9,none
9,measured_0,middle,0.49687499999999996,30,483,83,2.7666666666666666,0.3426145315170288,0.9505234360694885,0.9,none
10,measured_0,middle,0.5166666666666666,30,464,85,2.8333333333333335,0.32726116478443146,0.982998788356781,0.9,none
11,measured_0,middle,0.5770089285714286,28,379,51,1.8214285714285714,0.3136299252510071,0.891577959060669,0.9,none
12,measured_0,middle,0.4910714285714286,28,456,71,2.5357142857142856,0.35290446877479553,0.947377622127533,0.9,none
13,measured_0,middle,0.4988839285714286,28,449,47,1.6785714285714286,0.3338268995285034,0.8417854905128479,0.9,none
14,measured_0,middle,0.4799107142857143,28,466,52,1.8571428571428572,0.27870573103427887,0.8626184463500977,0.9,none
15,measured_0,middle,0.4467592592592593,27,478,74,2.740740740740741,0.3618171960115433,0.9606620669364929,0.9,none
16,measured_0,middle,0.45833333333333337,27,468,90,3.3333333333333335,0.40046124160289764,0.9566878080368042,0.9,none
17,measured_0,middle,0.5625,27,378,68,2.5185185185185186,0.3749871999025345,0.949149489402771,0.9,none
18,measured_0,middle,0.6041666666666667,27,342,62,2.2962962962962963,0.4499039053916931,0.9691482186317444,0.9,none
