call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
0,measured_0,131,middle,0.5030241935483871,31,493,992,7936,5857,0.7380292338709677,"[2086, 1557, 2827, 1466]",0.27279578985879754,3.166330575942993,190,12.0,0.32105263157894737,11.51529598236084,0.9396799802780151,1.0024000406265259,0.16143999993801117,0.03619199991226196,0.05350400134921074
1,measured_0,132,middle,0.5554435483870968,31,441,992,7936,5818,0.7331149193548387,"[2136, 1587, 2698, 1515]",0.24047014026039665,3.1733869910240173,190,14.0,0.2789473684210526,11.511167526245117,0.7941759824752808,0.9802240133285522,0.1528639942407608,0.03545600175857544,0.05289600044488907
2,measured_0,133,middle,0.5776209677419355,31,419,992,7936,5798,0.7305947580645161,"[2066, 1679, 2587, 1604]",0.19646883894015538,3.1683467030525208,191,15,0.25654450261780104,11.507231712341309,0.9096959829330444,0.978335976600647,0.142752006649971,0.03731200098991394,0.05344000086188316
3,measured_0,134,middle,0.6028225806451613,31,394,992,7936,5844,0.7363911290322581,"[1999, 1642, 2580, 1715]",0.18600873266087703,3.1461692452430725,190,17.0,0.2578947368421053,11.431167602539062,0.711679995059967,0.9516800045967102,0.09536000341176987,0.035840000957250595,0.05273599922657013
4,measured_0,135,middle,0.6159274193548387,31,381,992,7936,5916,0.7454637096774194,"[1936, 1576, 2722, 1702]",0.22441268625592772,3.1300402879714966,192,16.5,0.234375,11.551551818847656,0.8476160168647766,1.0325759649276733,0.1656319946050644,0.03699199855327606,0.05318399891257286
5,measured_0,136,middle,0.6072916666666667,30,377,960,7680,5794,0.7544270833333333,"[1876, 1489, 2684, 1631]",0.24078531140673035,3.1031251549720764,192,16.0,0.265625,11.104640007019043,0.7346559762954712,0.9961919784545898,0.14316800236701965,0.03731200098991394,0.0522879995405674
6,measured_0,137,middle,0.5770833333333334,30,406,960,7680,5734,0.7466145833333333,"[1876, 1552, 2629, 1623]",0.22223324218552828,3.122916877269745,188,15.0,0.24468085106382978,11.037792205810547,0.9137600064277649,0.9611200094223022,0.1478080004453659,0.03542400151491165,0.05100800096988678
7,measured_0,138,middle,0.64375,30,342,960,7680,5643,0.734765625,"[1878, 1481, 2647, 1674]",0.2305136196905667,3.1187500953674316,197,13,0.23857868020304568,11.060256004333496,0.7905920147895813,1.0068800449371338,0.1539199948310852,0.0352960005402565,0.0525440014898777
8,measured_0,139,middle,0.671875,30,315,960,7680,5708,0.7432291666666667,"[1837, 1425, 2682, 1736]",0.24239938088293575,3.1208335161209106,198,14.0,0.2474747474747475,11.271583557128906,0.877344012260437,1.0404479503631592,0.18054400384426117,0.03494400158524513,0.051552001386880875
9,measured_0,140,middle,0.49687499999999996,30,483,960,7680,5719,0.7446614583333333,"[1730, 1454, 2776, 1720]",0.26377933124162284,3.0875001549720764,190,15.0,0.23157894736842105,10.977696418762207,0.6344959735870361,1.0411839485168457,0.2269120067358017,0.035999998450279236,0.052191998809576035
10,measured_0,141,middle,0.5166666666666666,30,464,960,7680,5747,0.7483072916666667,"[1666, 1453, 2798, 1763]",0.270399542424544,3.0645835399627686,198,14.0,0.25757575757575757,11.035200119018555,0.8551999926567078,1.058176040649414,0.22755199670791626,0.03590400144457817,0.052191998809576035
11,measured_0,142,middle,0.5770089285714286,28,379,896,7168,5182,0.7229352678571429,"[1589, 1301, 2637, 1641]",0.2816720853119336,3.056919753551483,188,15.0,0.2553191489361702,10.350784301757812,0.707040011882782,0.9798399806022644,0.14771200716495514,0.03699199855327606,0.05164799839258194
12,measured_0,143,middle,0.4910714285714286,28,456,896,7168,5241,0.7311662946428571,"[1481, 1231, 2779, 1677]",0.33000110897333185,3.0078126788139343,188,13.5,0.25,10.426336288452148,0.82259202003479,1.0234559774398804,0.20342400670051575,0.037087999284267426,0.05145600065588951
13,measured_0,144,middle,0.4988839285714286,28,449,896,7168,5262,0.7340959821428571,"[1470, 1218, 2765, 1715]",0.32846197354702455,2.9854912161827087,195,13,0.30256410256410254,10.3854398727417,0.6073600053787231,1.0314240455627441,0.18323199450969696,0.03654399886727333,0.051263999193906784
14,measured_0,145,middle,0.4799107142857143,28,466,896,7168,5315,0.7414899553571429,"[1525, 1187, 2725, 1731]",0.3195362397320102,3.013392984867096,195,12,0.28717948717948716,10.326175689697266,0.8273599743843079,1.0612159967422485,0.21935999393463135,0.03686400130391121,0.05183999985456467
