run_id,candidate,policy,workload,restart,request_id,ttft_ms,tpot_ms,itl_p99_ms,e2e_ms,output_tokens,correctness,artifact
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0000,44.28580030798912,69.76651981120973,204.58040243946007,8904.714628122747,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0001,63.044877257198095,69.8244779216727,205.09707895107562,8930.813572369516,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0002,97.03232208266854,69.94505871571307,204.49310316704208,8980.122732929885,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0003,94.95111927390099,69.98428939951687,204.27141148596996,8983.00760332495,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0004,105.96096701920033,70.0479628349559,204.4268756173551,9002.107128035277,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0005,141.30098186433315,70.15990355147386,204.4970352202654,9051.669595763087,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0006,145.05299599841237,70.13796107828851,204.51934435404834,9052.623233292252,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0007,154.26003886386752,70.2804759379447,205.30070882290593,9079.931610263884,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0008,177.77762515470386,70.39820693623949,204.26083385944364,9118.411949835718,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_p2p0_control_v1:b0_alp:measure0_short_high_concurrency,FASTPP,alp,short_high_concurrency,b0_alp,short_high_concurrency_0009,178.91078907996416,70.45485267019647,205.98529941402367,9126.731568016112,128,SHORT_PASS_CONTINUATION_PENDING,poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_p2p0_control_v1/b0_alp/measure0_short_high_concurrency.jsonl
