scale_bucket,count,dispatch_ms_hhi_spearman,dispatch_ms_hhi_pvalue,dispatch_ms_base_r2,dispatch_ms_shape_r2,dispatch_ms_delta_r2,combine_ms_hhi_spearman,combine_ms_hhi_pvalue,combine_ms_base_r2,combine_ms_shape_r2,combine_ms_delta_r2,comm_total_ms_hhi_spearman,comm_total_ms_hhi_pvalue,comm_total_ms_base_r2,comm_total_ms_shape_r2,comm_total_ms_delta_r2
<256,288,0.05592075601130974,0.3443426163514548,0.12566835730931425,0.12708697071239616,0.0014186134030819142,0.021999928414546947,0.7100622591852555,0.05516915300654046,0.05516915729796157,4.291421107360804e-09,0.03561542435163604,0.5471899563183754,0.09895928790528297,0.09963982573826613,0.0006805378329831635
256-512,288,0.057549210641098525,0.3304529657702304,0.020448652763170316,0.020479529916587524,3.087715341720809e-05,-0.056046067332971655,0.3432608131913387,0.019881883057761285,0.023208019792852475,0.0033261367350911897,-0.01778822346279184,0.763729371122674,0.028039786618394125,0.028112493543649975,7.270692525584987e-05
512-1024,96,-0.05827330344308634,0.572781540094412,0.0004384087998635655,0.005116476722388241,0.004678067922524676,-0.03567891701904716,0.7300108161618671,0.014997108045990859,0.015474295554556705,0.00047718750856584613,-0.05804248242938906,0.5743053782995439,0.0047433034038947275,0.008430473567573316,0.003687170163678588
>=1024,96,-0.055757543197926744,0.5894910145418267,0.0682318896686055,0.10056419359371005,0.032332303925104555,0.22567636899061372,0.027049233483432668,0.00496865790425971,0.02089634659872286,0.01592768869446315,0.0930581186292405,0.3671659591348509,0.051078734545644044,0.09693864697721832,0.04585991243157428
