dataset,evidence_class,output_budget,ignore_eos,restart,run,repeat,batch_size,policy,gpu_bct_s
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,0,pool128_balanced_clean_r0,0,128,P1_vision_bucket,1.1453570793382823
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,0,pool128_balanced_clean_r0,0,128,single_multi_split,1.191034120041877
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,0,pool128_balanced_clean_r0,0,128,text_image_split,1.1484650122001767
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,P1_vision_bucket,1.5890717590227723
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,P2_lm_length_bucket,1.5936416247859597
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,single_multi_split,1.5888377488590777
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,text_image_split,1.3884472949430346
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,P0_global_fixed,1.5061919558793306
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,1,pool128_b128_balanced_clean_r1,0,128,RANDOM,1.2369242296554148
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,text_image_split,1.5596731682308018
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,P0_global_fixed,1.4227476730011404
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,RANDOM,1.199700718279928
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,P2_lm_length_bucket,1.403520081192255
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,P1_vision_bucket,1.4885044200345874
max1_b128_restart_control,caution_no_full_shape_warmup,1,True,2,pool128_b128_balanced_clean_r2,0,128,single_multi_split,1.2750982586294413
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,RANDOM,1.3175816875882447
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,single_multi_split,1.394783632364124
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,P2_lm_length_bucket,1.6511300900019705
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,P0_global_fixed,1.4945014799013734
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,text_image_split,1.3040271671488881
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,single_multi_split,1.3073022477328777
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,P2_lm_length_bucket,1.6657040040008724
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,text_image_split,1.0248849978670478
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,RANDOM,1.1086197388358414
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,text_image_split,1.2381471931003034
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,P2_lm_length_bucket,1.3435941208153963
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,RANDOM,1.2348563731648028
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,P0_global_fixed,1.1286975890398026
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,P1_vision_bucket,1.3353763329796493
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,2,128,single_multi_split,1.2041411916725338
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,P0_global_fixed,1.087127115111798
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,0,128,P1_vision_bucket,1.2105481061153114
max1_b128_warmed,primary,1,True,0,pool128_b128_warm_clean_r0,1,128,P1_vision_bucket,1.0403672461397946
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,RANDOM,2.663905678316951
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,P0_global_fixed,2.6179822334088385
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,P1_vision_bucket,2.436254001222551
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,P2_lm_length_bucket,2.7513954481109977
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,P2_lm_length_bucket,2.7929922370240092
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,single_multi_split,2.353318314999342
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,P0_global_fixed,2.504787506069988
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,P2_lm_length_bucket,2.8016892881132662
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,P1_vision_bucket,2.5542419753037393
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,text_image_split,2.514513918198645
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,P1_vision_bucket,2.528779793996364
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,2,128,RANDOM,2.6032266090624034
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,RANDOM,2.54073285497725
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,text_image_split,2.456244492903352
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,P0_global_fixed,2.5713122938759625
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,text_image_split,2.498066726140678
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,0,128,single_multi_split,2.5774624198675156
fixed16_b128,diagnostic_output_mismatch,16,True,0,pool128_b128_fixed16_clean_r0,1,128,single_multi_split,2.5546552599407732
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,P1_vision_bucket,4.031456009019166
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,text_image_split,3.976531983818859
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,P2_lm_length_bucket,4.239016729872674
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,single_multi_split,4.2031010910868645
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,RANDOM,4.146133861970156
natural32_b128,diagnostic_output_mismatch,32,False,0,pool128_b128_natural32_clean_r0,0,128,P0_global_fixed,4.204833135008812
