dataset,batch_size,policy,repetitions,bct_median_s,bct_mean_s,bct_min_s,bct_max_s,bct_cv
fixed16_b128,128,P0_global_fixed,3,2.5713122938759625,2.564694011118263,2.504787506069988,2.6179822334088385,0.022180752179816143
fixed16_b128,128,P1_vision_bucket,3,2.528779793996364,2.5064252568408847,2.436254001222551,2.5542419753037393,0.024772063980388528
fixed16_b128,128,P2_lm_length_bucket,3,2.7929922370240092,2.7820256577494242,2.7513954481109977,2.8016892881132662,0.009662242319346622
fixed16_b128,128,RANDOM,3,2.6032266090624034,2.602621714118868,2.54073285497725,2.663905678316951,0.023664076592355837
fixed16_b128,128,single_multi_split,3,2.5546552599407732,2.4951453316025436,2.353318314999342,2.5774624198675156,0.04943761637031152
fixed16_b128,128,text_image_split,3,2.498066726140678,2.4896083790808916,2.456244492903352,2.514513918198645,0.012066740453818472
max1_b128_restart_control,16,P0_global_fixed,1,2.5855310945771635,2.5855310945771635,2.5855310945771635,2.5855310945771635,0.0
max1_b128_restart_control,16,P1_vision_bucket,1,2.4782499936409295,2.4782499936409295,2.4782499936409295,2.4782499936409295,0.0
max1_b128_restart_control,16,P2_lm_length_bucket,1,2.2618185309693217,2.2618185309693217,2.2618185309693217,2.2618185309693217,0.0
max1_b128_restart_control,16,RANDOM,1,2.384177043568343,2.384177043568343,2.384177043568343,2.384177043568343,0.0
max1_b128_restart_control,16,single_multi_split,1,2.3310759500600398,2.3310759500600398,2.3310759500600398,2.3310759500600398,0.0
max1_b128_restart_control,16,text_image_split,1,2.514064840041101,2.514064840041101,2.514064840041101,2.514064840041101,0.0
max1_b128_restart_control,32,P0_global_fixed,1,1.7679559169337153,1.7679559169337153,1.7679559169337153,1.7679559169337153,0.0
max1_b128_restart_control,32,P1_vision_bucket,1,1.9213359276764095,1.9213359276764095,1.9213359276764095,1.9213359276764095,0.0
max1_b128_restart_control,32,P2_lm_length_bucket,1,1.8579130009748042,1.8579130009748042,1.8579130009748042,1.8579130009748042,0.0
max1_b128_restart_control,32,RANDOM,1,2.2397535112686455,2.2397535112686455,2.2397535112686455,2.2397535112686455,0.0
max1_b128_restart_control,32,single_multi_split,1,1.781915979925543,1.781915979925543,1.781915979925543,1.781915979925543,0.0
max1_b128_restart_control,32,text_image_split,1,1.769294978119433,1.769294978119433,1.769294978119433,1.769294978119433,0.0
max1_b128_restart_control,64,P0_global_fixed,1,1.3981546149589121,1.3981546149589121,1.3981546149589121,1.3981546149589121,0.0
max1_b128_restart_control,64,P1_vision_bucket,1,1.390406419057399,1.390406419057399,1.390406419057399,1.390406419057399,0.0
max1_b128_restart_control,64,P2_lm_length_bucket,1,1.4072454003617167,1.4072454003617167,1.4072454003617167,1.4072454003617167,0.0
max1_b128_restart_control,64,RANDOM,1,1.5409095576032996,1.5409095576032996,1.5409095576032996,1.5409095576032996,0.0
max1_b128_restart_control,64,single_multi_split,1,1.4056002106517553,1.4056002106517553,1.4056002106517553,1.4056002106517553,0.0
max1_b128_restart_control,64,text_image_split,1,1.6141141392290592,1.6141141392290592,1.6141141392290592,1.6141141392290592,0.0
max1_b128_restart_control,128,P0_global_fixed,3,1.4227476730011404,1.3827855439546208,1.2194170029833913,1.5061919558793306,0.10667229375930162
max1_b128_restart_control,128,P1_vision_bucket,3,1.4885044200345874,1.407644419465214,1.1453570793382823,1.5890717590227723,0.16527368904736855
max1_b128_restart_control,128,P2_lm_length_bucket,3,1.5936416247859597,1.6531443684361875,1.403520081192255,1.9622713993303478,0.17184727273060524
max1_b128_restart_control,128,RANDOM,3,1.2369242296554148,1.2324376641772687,1.199700718279928,1.2606880445964634,0.02494260750463132
max1_b128_restart_control,128,single_multi_split,3,1.2750982586294413,1.3516567091767986,1.191034120041877,1.5888377488590777,0.15511425573232937
max1_b128_restart_control,128,text_image_split,3,1.3884472949430346,1.3655284917913377,1.1484650122001767,1.5596731682308018,0.15126736427292495
max1_b128_warmed,128,P0_global_fixed,3,1.1286975890398026,1.2367753946843247,1.087127115111798,1.4945014799013734,0.18124799429780641
max1_b128_warmed,128,P1_vision_bucket,3,1.2105481061153114,1.1954305617449184,1.0403672461397946,1.3353763329796493,0.12387538408114028
max1_b128_warmed,128,P2_lm_length_bucket,3,1.6511300900019705,1.5534760716060798,1.3435941208153963,1.6657040040008724,0.11709810946084194
max1_b128_warmed,128,RANDOM,3,1.2348563731648028,1.220352599862963,1.1086197388358414,1.3175816875882447,0.08623186590148653
max1_b128_warmed,128,single_multi_split,3,1.3073022477328777,1.3020756905898452,1.2041411916725338,1.394783632364124,0.07328961520276754
max1_b128_warmed,128,text_image_split,3,1.2381471931003034,1.1890197860387464,1.0248849978670478,1.3040271671488881,0.1227159275788635
max1_balanced_grid,16,P0_global_fixed,1,2.5855310945771635,2.5855310945771635,2.5855310945771635,2.5855310945771635,0.0
max1_balanced_grid,16,P1_vision_bucket,1,2.4782499936409295,2.4782499936409295,2.4782499936409295,2.4782499936409295,0.0
max1_balanced_grid,16,P2_lm_length_bucket,1,2.2618185309693217,2.2618185309693217,2.2618185309693217,2.2618185309693217,0.0
max1_balanced_grid,16,RANDOM,1,2.384177043568343,2.384177043568343,2.384177043568343,2.384177043568343,0.0
max1_balanced_grid,16,single_multi_split,1,2.3310759500600398,2.3310759500600398,2.3310759500600398,2.3310759500600398,0.0
max1_balanced_grid,16,text_image_split,1,2.514064840041101,2.514064840041101,2.514064840041101,2.514064840041101,0.0
