dataset,batch_size,policy,repetitions,bct_median_s,bct_mean_s,bct_min_s,bct_max_s,bct_cv
max1_balanced_grid,32,P0_global_fixed,1,1.7679559169337153,1.7679559169337153,1.7679559169337153,1.7679559169337153,0.0
max1_balanced_grid,32,P1_vision_bucket,1,1.9213359276764095,1.9213359276764095,1.9213359276764095,1.9213359276764095,0.0
max1_balanced_grid,32,P2_lm_length_bucket,1,1.8579130009748042,1.8579130009748042,1.8579130009748042,1.8579130009748042,0.0
max1_balanced_grid,32,RANDOM,1,2.2397535112686455,2.2397535112686455,2.2397535112686455,2.2397535112686455,0.0
max1_balanced_grid,32,single_multi_split,1,1.781915979925543,1.781915979925543,1.781915979925543,1.781915979925543,0.0
max1_balanced_grid,32,text_image_split,1,1.769294978119433,1.769294978119433,1.769294978119433,1.769294978119433,0.0
max1_balanced_grid,64,P0_global_fixed,1,1.3981546149589121,1.3981546149589121,1.3981546149589121,1.3981546149589121,0.0
max1_balanced_grid,64,P1_vision_bucket,1,1.390406419057399,1.390406419057399,1.390406419057399,1.390406419057399,0.0
max1_balanced_grid,64,P2_lm_length_bucket,1,1.4072454003617167,1.4072454003617167,1.4072454003617167,1.4072454003617167,0.0
max1_balanced_grid,64,RANDOM,1,1.5409095576032996,1.5409095576032996,1.5409095576032996,1.5409095576032996,0.0
max1_balanced_grid,64,single_multi_split,1,1.4056002106517553,1.4056002106517553,1.4056002106517553,1.4056002106517553,0.0
max1_balanced_grid,64,text_image_split,1,1.6141141392290592,1.6141141392290592,1.6141141392290592,1.6141141392290592,0.0
max1_balanced_grid,128,P0_global_fixed,1,1.2194170029833913,1.2194170029833913,1.2194170029833913,1.2194170029833913,0.0
max1_balanced_grid,128,P1_vision_bucket,1,1.1453570793382823,1.1453570793382823,1.1453570793382823,1.1453570793382823,0.0
max1_balanced_grid,128,P2_lm_length_bucket,1,1.9622713993303478,1.9622713993303478,1.9622713993303478,1.9622713993303478,0.0
max1_balanced_grid,128,RANDOM,1,1.2606880445964634,1.2606880445964634,1.2606880445964634,1.2606880445964634,0.0
max1_balanced_grid,128,single_multi_split,1,1.191034120041877,1.191034120041877,1.191034120041877,1.191034120041877,0.0
max1_balanced_grid,128,text_image_split,1,1.1484650122001767,1.1484650122001767,1.1484650122001767,1.1484650122001767,0.0
natural32_b128,128,P0_global_fixed,1,4.204833135008812,4.204833135008812,4.204833135008812,4.204833135008812,0.0
natural32_b128,128,P1_vision_bucket,1,4.031456009019166,4.031456009019166,4.031456009019166,4.031456009019166,0.0
natural32_b128,128,P2_lm_length_bucket,1,4.239016729872674,4.239016729872674,4.239016729872674,4.239016729872674,0.0
natural32_b128,128,RANDOM,1,4.146133861970156,4.146133861970156,4.146133861970156,4.146133861970156,0.0
natural32_b128,128,single_multi_split,1,4.2031010910868645,4.2031010910868645,4.2031010910868645,4.2031010910868645,0.0
natural32_b128,128,text_image_split,1,3.976531983818859,3.976531983818859,3.976531983818859,3.976531983818859,0.0
