item,bytes,gib,basis
model_weights_per_gpu_runtime_log,16975858237,15.81,vLLM worker log; Qwen3-VL TP2/DP2/EP4 load
configured_kv_cache_per_gpu,2147483648,2.0,run_offline_batches.py kv_cache_memory_bytes
one_global_bf16_hidden_yield,187977728,0.17506790161132812,"45,893 prompt tokens x hidden 2,048 x BF16"
two_global_bf16_hidden_yields,375955456,0.35013580322265625,encoder and attention-to-MoE boundaries; no host spill
