sample_id,layer,strategy,granularity,wave,max_rank_assignments,predicted_window_ms,actual_window_ms,speedup,hidden_comm_per_wave_ms
cat,0,spatial,2x2,0,404,0.41837443575261557,0.4221760183572769,1.170383317280039,0.0
cat,0,spatial,2x2,1,348,0.41668996390547164,0.3771679997444153,1.170383317280039,0.0
cat,0,spatial,2x2,2,388,0.417893158082003,0.34811198711395264,1.170383317280039,0.0
cat,0,spatial,2x2,3,324,0.4159680473995528,0.3431199789047241,1.170383317280039,0.0
cat,0,sequential,2x2,0,416,0.41873539400557497,0.4206559956073761,0.9955852634479031,0.0
cat,0,sequential,2x2,1,356,0.4169306027407779,0.3857119679450989,0.9955852634479031,0.0
cat,0,sequential,2x2,2,352,0.41681028332312475,0.3426399827003479,0.9955852634479031,0.0
cat,0,sequential,2x2,3,340,0.41644932507016535,0.3462721109390259,0.9955852634479031,0.0
cat,0,generic,2x2,0,360,0.41705092215843104,0.42183998227119446,0.987394266003454,0.0
cat,0,generic,2x2,1,336,0.41632900565251224,0.37353599071502686,0.987394266003454,0.0
cat,0,generic,2x2,2,380,0.4176525192466967,0.34726405143737793,0.987394266003454,0.0
cat,0,generic,2x2,3,388,0.417893158082003,0.3524320125579834,0.987394266003454,0.0
cat,0,spatial,4x4,0,136,0.4103130347698553,0.4491199851036072,0.9981975975245235,0.0
cat,0,spatial,4x4,1,116,0.40971143768158963,0.3702080249786377,0.9981975975245235,0.0
cat,0,spatial,4x4,2,124,0.4099520765168959,0.3623521327972412,0.9981975975245235,0.0
cat,0,spatial,4x4,3,108,0.40947079884628335,0.3480480909347534,0.9981975975245235,0.0
cat,0,spatial,4x4,4,120,0.40983175709924274,0.3464158773422241,0.9981975975245235,0.0
cat,0,spatial,4x4,5,108,0.40947079884628335,0.3528478145599365,0.9981975975245235,0.0
cat,0,spatial,4x4,6,80,0.4086285629227114,0.34705615043640137,0.9981975975245235,0.0
cat,0,spatial,4x4,7,100,0.40923016001097706,0.34499192237854004,0.9981975975245235,0.0
cat,0,spatial,4x4,8,92,0.4089895211756708,0.3366079330444336,0.9981975975245235,0.0
cat,0,spatial,4x4,9,96,0.4091098405933239,0.3403041362762451,0.9981975975245235,0.0
cat,0,spatial,4x4,10,88,0.40886920175801766,0.3414876461029053,0.9981975975245235,0.0
cat,0,spatial,4x4,11,88,0.40886920175801766,0.3399357795715332,0.9981975975245235,0.0
cat,0,spatial,4x4,12,92,0.4089895211756708,0.3474564552307129,0.9981975975245235,0.0
cat,0,spatial,4x4,13,92,0.4089895211756708,0.34598350524902344,0.9981975975245235,0.0
cat,0,spatial,4x4,14,80,0.4086285629227114,0.3369441032409668,0.9981975975245235,0.0
cat,0,spatial,4x4,15,92,0.4089895211756708,0.33343982696533203,0.9981975975245235,0.0
cat,0,sequential,4x4,0,156,0.410914631858121,0.44892799854278564,1.003669890876467,0.0
cat,0,sequential,4x4,1,104,0.4093504794286302,0.37193596363067627,1.003669890876467,0.0
cat,0,sequential,4x4,2,124,0.4099520765168959,0.3569279909133911,1.003669890876467,0.0
cat,0,sequential,4x4,3,88,0.40886920175801766,0.3479999303817749,1.003669890876467,0.0
cat,0,sequential,4x4,4,104,0.4093504794286302,0.34652793407440186,1.003669890876467,0.0
cat,0,sequential,4x4,5,96,0.4091098405933239,0.35059213638305664,1.003669890876467,0.0
cat,0,sequential,4x4,6,92,0.4089895211756708,0.349776029586792,1.003669890876467,0.0
cat,0,sequential,4x4,7,88,0.40886920175801766,0.34047985076904297,1.003669890876467,0.0
cat,0,sequential,4x4,8,84,0.4087488823403645,0.34233593940734863,1.003669890876467,0.0
cat,0,sequential,4x4,9,88,0.40886920175801766,0.3432159423828125,1.003669890876467,0.0
cat,0,sequential,4x4,10,104,0.4093504794286302,0.34640026092529297,1.003669890876467,0.0
cat,0,sequential,4x4,11,92,0.4089895211756708,0.3411679267883301,1.003669890876467,0.0
cat,0,sequential,4x4,12,108,0.40947079884628335,0.3429279327392578,1.003669890876467,0.0
cat,0,sequential,4x4,13,96,0.4091098405933239,0.34408044815063477,1.003669890876467,0.0
cat,0,sequential,4x4,14,80,0.4086285629227114,0.3467521667480469,1.003669890876467,0.0
cat,0,sequential,4x4,15,80,0.4086285629227114,0.3339042663574219,1.003669890876467,0.0
cat,0,generic,4x4,0,136,0.4103130347698553,0.44275203347206116,0.9917743468898116,0.0
cat,0,generic,4x4,1,104,0.4093504794286302,0.3696320056915283,0.9917743468898116,0.0
cat,0,generic,4x4,2,132,0.41019271535220214,0.35820794105529785,0.9917743468898116,0.0
cat,0,generic,4x4,3,76,0.4085082435050582,0.35044801235198975,0.9917743468898116,0.0
cat,0,generic,4x4,4,108,0.40947079884628335,0.35011184215545654,0.9917743468898116,0.0
cat,0,generic,4x4,5,100,0.40923016001097706,0.3480961322784424,0.9917743468898116,0.0
cat,0,generic,4x4,6,76,0.4085082435050582,0.34961605072021484,0.9917743468898116,0.0
cat,0,generic,4x4,7,104,0.4093504794286302,0.34398412704467773,0.9917743468898116,0.0
cat,0,generic,4x4,8,80,0.4086285629227114,0.33948802947998047,0.9917743468898116,0.0
cat,0,generic,4x4,9,100,0.40923016001097706,0.3438718318939209,0.9917743468898116,0.0
cat,0,generic,4x4,10,92,0.4089895211756708,0.34662389755249023,0.9917743468898116,0.0
cat,0,generic,4x4,11,80,0.4086285629227114,0.33784055709838867,0.9917743468898116,0.0
cat,0,generic,4x4,12,88,0.40886920175801766,0.34068822860717773,0.9917743468898116,0.0
cat,0,generic,4x4,13,92,0.4089895211756708,0.33947181701660156,0.9917743468898116,0.0
cat,0,generic,4x4,14,88,0.40886920175801766,0.3415999412536621,0.9917743468898116,0.0
cat,0,generic,4x4,15,76,0.4085082435050582,0.33752012252807617,0.9917743468898116,0.0
cat,12,spatial,2x2,0,468,0.4202995464350658,0.4285600036382675,1.0578599441038234,0.0
cat,12,spatial,2x2,1,456,0.4199385881821064,0.36612802743911743,1.0578599441038234,0.0
cat,12,spatial,2x2,2,388,0.417893158082003,0.34483200311660767,1.0578599441038234,0.0
cat,12,spatial,2x2,3,376,0.4175321998290436,0.3475680351257324,1.0578599441038234,0.0
cat,12,sequential,2x2,0,404,0.41837443575261557,0.4201759994029999,1.0144986971118823,0.0
cat,12,sequential,2x2,1,524,0.4219840182822097,0.3575039505958557,1.0144986971118823,0.0
