sample_id,category,layer,rank,assignments,vision_assignments,nonvision_assignments,expert_ms
retina,fine_grained,15,0,15256,15088,168,0.8627519756555557
retina,fine_grained,16,0,15940,15844,96,0.858879953622818
retina,fine_grained,17,0,14220,14072,148,0.843999981880188
retina,fine_grained,18,0,17300,17144,156,0.8774239867925644
retina,fine_grained,19,0,12004,11800,204,0.7889759987592697
retina,fine_grained,20,0,17424,17244,180,0.8940639793872833
retina,fine_grained,21,0,19416,19272,144,0.9386239945888519
retina,fine_grained,22,0,12944,12832,112,0.8080640137195587
retina,fine_grained,23,0,16100,15852,248,0.8744959682226181
retina,fine_grained,24,0,13472,13300,172,0.8326239883899689
retina,fine_grained,25,0,16032,15848,184,0.8781280219554901
retina,fine_grained,26,0,15316,15124,192,0.86142398416996
retina,fine_grained,27,0,16476,16308,168,0.8791839927434921
retina,fine_grained,28,0,18280,18168,112,0.8899520188570023
retina,fine_grained,29,0,13936,13772,164,0.8196640014648438
retina,fine_grained,30,0,18080,17904,176,0.9128479957580566
retina,fine_grained,31,0,18404,18204,200,0.9213120192289352
retina,fine_grained,32,0,19728,19500,228,0.9277119934558868
retina,fine_grained,33,0,16164,16036,128,0.8832160234451294
retina,fine_grained,34,0,13988,13860,128,0.8010400533676147
retina,fine_grained,35,0,16164,15892,272,0.866896003484726
retina,fine_grained,36,0,14312,14124,188,0.8200640231370926
retina,fine_grained,37,0,16068,15852,216,0.8609280586242676
retina,fine_grained,38,0,13172,12996,176,0.8018239885568619
retina,fine_grained,39,0,15012,14872,140,0.8454400151968002
retina,fine_grained,40,0,15008,14900,108,0.8527200073003769
retina,fine_grained,41,0,15344,15196,148,0.8416799753904343
retina,fine_grained,42,0,15100,14956,144,0.8536959886550903
retina,fine_grained,43,0,12124,11992,132,0.7795199900865555
retina,fine_grained,44,0,10520,10360,160,0.7511360049247742
retina,fine_grained,45,0,17192,16996,196,0.890767976641655
retina,fine_grained,46,0,12932,12744,188,0.8090240210294724
retina,fine_grained,47,0,17956,17792,164,0.8995200395584106
microaneurysms,fine_grained,0,0,672,516,156,0.4089599996805191
microaneurysms,fine_grained,1,0,572,388,184,0.411359965801239
microaneurysms,fine_grained,2,0,640,504,136,0.3991040140390396
microaneurysms,fine_grained,3,0,716,528,188,0.41332799196243286
microaneurysms,fine_grained,4,0,704,540,164,0.4105440080165863
microaneurysms,fine_grained,5,0,984,720,264,0.41707201302051544
microaneurysms,fine_grained,6,0,912,764,148,0.40376001596450806
microaneurysms,fine_grained,7,0,472,280,192,0.41044801473617554
microaneurysms,fine_grained,8,0,600,396,204,0.414560005068779
microaneurysms,fine_grained,9,0,888,744,144,0.39828798174858093
microaneurysms,fine_grained,10,0,648,528,120,0.41044799983501434
microaneurysms,fine_grained,11,0,652,376,276,0.40761598944664
microaneurysms,fine_grained,12,0,552,440,112,0.4110720008611679
microaneurysms,fine_grained,13,0,756,572,184,0.40694399178028107
microaneurysms,fine_grained,14,0,796,596,200,0.4259680062532425
microaneurysms,fine_grained,15,0,524,348,176,0.4073920100927353
microaneurysms,fine_grained,16,0,572,464,108,0.409264013171196
microaneurysms,fine_grained,17,0,540,392,148,0.3956960141658783
microaneurysms,fine_grained,18,0,744,584,160,0.40939201414585114
microaneurysms,fine_grained,19,0,448,272,176,0.4105920195579529
microaneurysms,fine_grained,20,0,940,744,196,0.41337597370147705
microaneurysms,fine_grained,21,0,828,680,148,0.41648000478744507
microaneurysms,fine_grained,22,0,716,584,132,0.4153600037097931
microaneurysms,fine_grained,23,0,760,500,260,0.42211200296878815
microaneurysms,fine_grained,24,0,588,444,144,0.42583999037742615
microaneurysms,fine_grained,25,0,724,536,188,0.4137119799852371
microaneurysms,fine_grained,26,0,948,748,200,0.43452800810337067
microaneurysms,fine_grained,27,0,528,360,168,0.41067199409008026
microaneurysms,fine_grained,28,0,540,428,112,0.4060640186071396
microaneurysms,fine_grained,29,0,528,372,156,0.4148319810628891
microaneurysms,fine_grained,30,0,628,484,144,0.40481598675251007
microaneurysms,fine_grained,31,0,572,356,216,0.4073120206594467
microaneurysms,fine_grained,32,0,876,672,204,0.4253600090742111
microaneurysms,fine_grained,33,0,688,548,140,0.41022397577762604
microaneurysms,fine_grained,34,0,588,468,120,0.4191199988126755
microaneurysms,fine_grained,35,0,804,544,260,0.4140319973230362
microaneurysms,fine_grained,36,0,540,376,164,0.40329599380493164
microaneurysms,fine_grained,37,0,848,640,208,0.4176959842443466
microaneurysms,fine_grained,38,0,740,572,168,0.41384001076221466
microaneurysms,fine_grained,39,0,432,296,136,0.4127519726753235
microaneurysms,fine_grained,40,0,608,496,112,0.41443200409412384
microaneurysms,fine_grained,41,0,584,436,148,0.4042080044746399
microaneurysms,fine_grained,42,0,604,432,172,0.4119520038366318
microaneurysms,fine_grained,43,0,456,324,132,0.41227200627326965
microaneurysms,fine_grained,44,0,636,468,168,0.4150719940662384
microaneurysms,fine_grained,45,0,776,572,204,0.40937601029872894
microaneurysms,fine_grained,46,0,680,492,188,0.4145760089159012
microaneurysms,fine_grained,47,0,808,640,168,0.41630400717258453
model_card,chart_document,0,0,6408,6236,172,0.6004799753427505
model_card,chart_document,1,0,5172,4988,184,0.5721439868211746
model_card,chart_document,2,0,6892,6756,136,0.6090240031480789
model_card,chart_document,3,0,5968,5748,220,0.5850079953670502
model_card,chart_document,4,0,7116,7008,108,0.6067519932985306
model_card,chart_document,5,0,7412,7196,216,0.6078719794750214
model_card,chart_document,6,0,9356,9216,140,0.6383839994668961
model_card,chart_document,7,0,6892,6644,248,0.6165440082550049
model_card,chart_document,8,0,6292,6108,184,0.5787360221147537
model_card,chart_document,9,0,6488,6352,136,0.5956640243530273
model_card,chart_document,10,0,6992,6800,192,0.6052320152521133
model_card,chart_document,11,0,6800,6536,264,0.5883999764919281
model_card,chart_document,12,0,6248,6080,168,0.5856480151414871
model_card,chart_document,13,0,7140,6912,228,0.6099840104579926
model_card,chart_document,14,0,5620,5348,272,0.5800159871578217
model_card,chart_document,15,0,6052,5856,196,0.5807200074195862
model_card,chart_document,16,0,6508,6396,112,0.6172959953546524
model_card,chart_document,17,0,6432,6264,168,0.6016959995031357
model_card,chart_document,18,0,9224,9060,164,0.6366720199584961
model_card,chart_document,19,0,7008,6764,244,0.6074719876050949
model_card,chart_document,20,0,6220,6048,172,0.5761920213699341
model_card,chart_document,21,0,6388,6260,128,0.5991359949111938
model_card,chart_document,22,0,6692,6488,204,0.6072640120983124
model_card,chart_document,23,0,6516,6272,244,0.5994880050420761
model_card,chart_document,24,0,6632,6436,196,0.5909119993448257
model_card,chart_document,25,0,6052,5832,220,0.5856799930334091
model_card,chart_document,26,0,5348,5124,224,0.5807839930057526
model_card,chart_document,27,0,6524,6352,172,0.5962719917297363
model_card,chart_document,28,0,6532,6428,104,0.6139039844274521
model_card,chart_document,29,0,5708,5536,172,0.5875519663095474
model_card,chart_document,30,0,8768,8580,188,0.6228159964084625
model_card,chart_document,31,0,6440,6124,316,0.6090399920940399
model_card,chart_document,32,0,7448,7264,184,0.6130879819393158
model_card,chart_document,33,0,5832,5720,112,0.5806719958782196
model_card,chart_document,34,0,6348,6144,204,0.5992159992456436
model_card,chart_document,35,0,6872,6584,288,0.6154400259256363
model_card,chart_document,36,0,6268,6100,168,0.5861279964447021
model_card,chart_document,37,0,7100,6852,248,0.6087039858102798
model_card,chart_document,38,0,5444,5228,216,0.5828480124473572
model_card,chart_document,39,0,5388,5244,144,0.5741919875144958
model_card,chart_document,40,0,7348,7228,120,0.6170240342617035
model_card,chart_document,41,0,5792,5640,152,0.5693439692258835
model_card,chart_document,42,0,6884,6700,184,0.6024800091981888
model_card,chart_document,43,0,5876,5752,124,0.5850879997014999
model_card,chart_document,44,0,6636,6428,208,0.6112319976091385
model_card,chart_document,45,0,6868,6660,208,0.59340800344944
model_card,chart_document,46,0,8204,8052,152,0.6285279840230942
model_card,chart_document,47,0,6588,6396,192,0.5861600041389465
scanned_page,chart_document,0,0,804,624,180,0.41684800386428833
scanned_page,chart_document,1,0,732,516,216,0.4129599630832672
scanned_page,chart_document,2,0,732,608,124,0.41441600024700165
scanned_page,chart_document,3,0,648,432,216,0.41464000940322876
scanned_page,chart_document,4,0,792,668,124,0.4044640213251114
scanned_page,chart_document,5,0,780,548,232,0.4209119975566864
scanned_page,chart_document,6,0,836,696,140,0.4177119880914688
scanned_page,chart_document,7,0,864,592,272,0.4049760103225708
scanned_page,chart_document,8,0,1004,812,192,0.42449600994586945
scanned_page,chart_document,9,0,704,556,148,0.4079360067844391
scanned_page,chart_document,10,0,452,272,180,0.3978079855442047
scanned_page,chart_document,11,0,904,640,264,0.40966399013996124
scanned_page,chart_document,12,0,620,464,156,0.4232959896326065
scanned_page,chart_document,13,0,732,504,228,0.41603201627731323
scanned_page,chart_document,14,0,1008,736,272,0.42638400197029114
scanned_page,chart_document,15,0,552,344,208,0.41755200922489166
scanned_page,chart_document,16,0,376,272,104,0.4092319905757904
scanned_page,chart_document,17,0,672,500,172,0.40993599593639374
scanned_page,chart_document,18,0,820,640,180,0.4095039963722229
scanned_page,chart_document,19,0,892,644,248,0.4143199771642685
scanned_page,chart_document,20,0,936,764,172,0.41467198729515076
scanned_page,chart_document,21,0,788,636,152,0.4121599942445755
scanned_page,chart_document,22,0,596,404,192,0.41355203092098236
scanned_page,chart_document,23,0,1100,832,268,0.4062879979610443
scanned_page,chart_document,24,0,772,580,192,0.4164479821920395
scanned_page,chart_document,25,0,756,524,232,0.4090080112218857
scanned_page,chart_document,26,0,1124,868,256,0.4391999989748001
scanned_page,chart_document,27,0,540,368,172,0.407568022608757
scanned_page,chart_document,28,0,416,324,92,0.4020800143480301
scanned_page,chart_document,29,0,692,516,176,0.4137599915266037
scanned_page,chart_document,30,0,720,532,188,0.41331198811531067
scanned_page,chart_document,31,0,888,572,316,0.4116799980401993
scanned_page,chart_document,32,0,900,716,184,0.4219840168952942
scanned_page,chart_document,33,0,688,568,120,0.3978719860315323
scanned_page,chart_document,34,0,596,428,168,0.41073600947856903
scanned_page,chart_document,35,0,1020,744,276,0.4169919937849045
scanned_page,chart_document,36,0,668,500,168,0.42420800030231476
scanned_page,chart_document,37,0,716,492,224,0.41923199594020844
scanned_page,chart_document,38,0,1016,764,252,0.4143519848585129
scanned_page,chart_document,39,0,572,440,132,0.41307200491428375
scanned_page,chart_document,40,0,632,504,128,0.4061119854450226
scanned_page,chart_document,41,0,652,504,148,0.4163519889116287
scanned_page,chart_document,42,0,748,572,176,0.40835200250148773
scanned_page,chart_document,43,0,620,484,136,0.408191978931427
scanned_page,chart_document,44,0,948,740,208,0.40916797518730164
scanned_page,chart_document,45,0,972,760,212,0.41331198811531067
scanned_page,chart_document,46,0,884,720,164,0.4204320013523102
scanned_page,chart_document,47,0,888,708,180,0.4155519902706146
astronaut,natural,0,1,2500,2388,112,0.9524639844894409
astronaut,natural,1,1,2036,1956,80,0.9575839638710022
astronaut,natural,2,1,2220,2028,192,0.48734399676322937
astronaut,natural,3,1,2252,2124,128,0.46719999611377716
astronaut,natural,4,1,2204,2044,160,0.44433601200580597
astronaut,natural,5,1,2136,2004,132,0.6230560541152954
astronaut,natural,6,1,1556,1384,172,0.7252799868583679
astronaut,natural,7,1,1876,1716,160,0.4633120000362396
astronaut,natural,8,1,2564,2364,200,0.7078720033168793
astronaut,natural,9,1,2476,2324,152,0.7128960192203522
astronaut,natural,10,1,2208,2072,136,0.462784007191658
astronaut,natural,11,1,2772,2644,128,0.6041440069675446
astronaut,natural,12,1,1832,1712,120,0.6201759874820709
astronaut,natural,13,1,2056,1932,124,0.4726399779319763
astronaut,natural,14,1,2688,2592,96,0.46321599185466766
astronaut,natural,15,1,2276,2068,208,0.46460801362991333
astronaut,natural,16,1,1680,1540,140,0.45555199682712555
astronaut,natural,17,1,2860,2696,164,0.46825601160526276
astronaut,natural,18,1,1348,1192,156,0.4407680034637451
astronaut,natural,19,1,1768,1632,136,0.4631519913673401
astronaut,natural,20,1,2092,1928,164,0.4667999893426895
astronaut,natural,21,1,2328,2208,120,0.45868799090385437
astronaut,natural,22,1,1756,1616,140,0.46038395166397095
astronaut,natural,23,1,2736,2624,112,0.4769439995288849
astronaut,natural,24,1,2052,1920,132,0.4544319808483124
astronaut,natural,25,1,1972,1828,144,0.4606879949569702
astronaut,natural,26,1,2196,2068,128,0.4539039880037308
astronaut,natural,27,1,2592,2404,188,0.7444640100002289
astronaut,natural,28,1,1832,1700,132,0.6127200424671173
astronaut,natural,29,1,2532,2364,168,0.48179200291633606
astronaut,natural,30,1,1568,1396,172,0.4463200122117996
astronaut,natural,31,1,2260,2120,140,0.4596959948539734
