0, GPU-f217c8a0-1142-20f4-d84b-af29f3a47a0d, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
1, GPU-a77f3471-67d4-20b0-9fab-e502d4de5adb, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
2, GPU-24200107-8a7f-de46-1bc8-b81f8d3af13e, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
3, GPU-17488c15-2d4c-5d9e-d503-29b0d959a8a8, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
4, GPU-6076e2f2-5b63-3761-5586-56ceb7df8139, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
5, GPU-a1a1cfcf-93a1-3544-9a5e-e58144b68730, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
6, GPU-e3f3998e-0f1a-e94a-b97c-4abb0e8c2c28, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
7, GPU-4cc26b88-19fc-1988-f9e0-17858aa7a99b, NVIDIA H100 80GB HBM3, 81559 MiB, 570.211.01
