run,n,MoE_p50_ms,Dispatch_p50_ms,Expert_p50_ms,Combine_p50_ms,wait_p99_ms,dispatch_max_ms
always_sync_run1,60480,1.3438559770584106,0.3394879996776581,0.4151360094547272,0.04297599941492081,0.920946890208868,2219.533203125
always_sync_run2,39168,0.9961439967155457,0.11007999628782272,0.4065600037574768,0.04156799986958504,0.8381263894261829,2347.70068359375
always_sync_run3,39168,0.988864004611969,0.1034879982471466,0.41043201088905334,0.04185599833726883,0.5805113605922148,1328.6007080078125
comm_drain_run1,60480,1.0140479803085327,0.11011199653148651,0.4102720022201538,0.04255999997258186,0.6412384127825479,2488.470703125
comm_drain_run2,50112,1.7534399628639221,0.6173760294914246,0.41014400124549866,0.04297599941492081,1.044654716015793,776.964111328125
comm_drain_run3,50112,1.0457919836044312,0.1319040060043335,0.41231998801231384,0.04278400167822838,1.9225583581114158,5958.6572265625
online_simple_run1,39168,0.9984639883041382,0.1143999993801117,0.4053120017051697,0.04198399931192398,0.5843497381219652,1130.4697265625
online_simple_run2,39168,0.982912003993988,0.10675200074911118,0.40435200929641724,0.04118400067090988,0.5782742326753258,2213.734375
online_simple_run3,39168,0.9893760085105896,0.10435199737548828,0.4076800048351288,0.04211200028657913,0.557863347562963,1104.3519287109375
oracle_selective_run1,39168,0.9957920014858246,0.11148799955844879,0.4055039882659912,0.04185599833726883,0.7124272080045246,2113.664306640625
oracle_selective_run2,39168,1.9041279554367065,0.6577280163764954,0.4142720103263855,0.04278400167822838,0.8980585460038856,1476.3148193359375
oracle_selective_waittail_run1,39168,1.6868480443954468,0.576335996389389,0.41148799657821655,0.04262400045990944,0.9487974519748255,1679.2021484375
stock_run1,60480,0.9865919947624207,0.10470400005578995,0.4052799940109253,0.04188799858093262,0.8059059033449729,2059.774658203125
stock_run2,50112,1.0013439655303955,0.1194400005042553,0.40278398990631104,0.04156799986958504,0.838663360653445,779.12109375
stock_run3,50112,1.63508802652359,0.49879999458789825,0.4138239920139313,0.04262400045990944,0.9132444708887487,1223.993408203125
