run,n,decode_n,prefill_n,throughput_tokens_s,previous_event_present_rate,dispatch_gt_5_count,dispatch_gt_5_rate_pct,dispatch_gt_10_count,dispatch_gt_10_rate_pct,dispatch_gt_20_count,dispatch_gt_20_rate_pct,dispatch_gt_50_count,dispatch_gt_50_rate_pct,dispatch_gt_100_count,dispatch_gt_100_rate_pct,wait_proxy_0.05_n_ready,wait_proxy_0.05_n_not_ready,p_tail10_ready_0.05_pct,p_tail10_not_ready_0.05_pct,wait_proxy_0.1_n_ready,wait_proxy_0.1_n_not_ready,p_tail10_ready_0.1_pct,p_tail10_not_ready_0.1_pct,wait_proxy_0.5_n_ready,wait_proxy_0.5_n_not_ready,p_tail10_ready_0.5_pct,p_tail10_not_ready_0.5_pct,wait_proxy_1_n_ready,wait_proxy_1_n_not_ready,p_tail10_ready_1_pct,p_tail10_not_ready_1_pct,wait_dispatch_corr,moe_n,moe_p50_ms,moe_p90_ms,moe_p95_ms,moe_p99_ms,moe_p99_9_ms,moe_max_ms,moe_mean_ms,moe_cv_pct,dispatch_n,dispatch_p50_ms,dispatch_p90_ms,dispatch_p95_ms,dispatch_p99_ms,dispatch_p99_9_ms,dispatch_max_ms,dispatch_mean_ms,dispatch_cv_pct,event_wait_n,event_wait_p50_ms,event_wait_p90_ms,event_wait_p95_ms,event_wait_p99_ms,event_wait_p99_9_ms,event_wait_max_ms,event_wait_mean_ms,event_wait_cv_pct
always_sync_run1,67968,60480,7488,1.4084710063997072,0.0,287,0.47453703703703703,149,0.2463624338624339,79,0.13062169312169314,64,0.10582010582010583,50,0.08267195767195767,22848,37632,0.1094187675070028,0.32950680272108845,32177,28303,0.09634210771669205,0.41691693460057233,57763,2717,0.09175423714142271,3.5333087964666916,59956,524,0.11842017479484956,14.885496183206106,0.10061134009338057,60480,1.3438559770584106,2.37595522403717,2.6276800632476807,4.6061287164688105,60.173647674560705,2222.087890625,2.125226802459706,1087.170533827351,60480,0.3394879996776581,1.1277567625045775,1.3645456314086912,2.3280921411514273,57.401792427063306,2219.533203125,1.0395504739808126,2219.4117038115196,67968,0.08822399936616421,0.41833600383251907,0.484916804009117,1.0727248242497447,3.190249844198309,29.819168801419437,0.17398965442162714,164.26926444722986
always_sync_run2,43392,39168,4224,2.091623087862105,0.0,64,0.16339869281045752,30,0.07659313725490197,22,0.056168300653594766,18,0.04595588235294117,16,0.04084967320261438,29890,9278,0.056875209100033464,0.14011640439749945,32142,7026,0.06222388152572957,0.14232849416453175,38117,1051,0.060340530471967885,0.6660323501427212,38970,198,0.06415191172696946,2.525252525252525,0.061588729951404866,39168,0.9961439967155457,1.9343232035636904,2.631892704963684,3.331609923839572,8.696499282836946,2350.514892578125,1.4825968510939989,1346.1806040808874,39168,0.11007999628782272,0.6656351923942573,1.3712624192237854,1.7185148501396192,6.193191032409922,2347.70068359375,0.5221167344188514,3819.2047846819532,43392,0.018848000094294548,0.431036796187982,0.4726224022684618,0.9190713814739113,2.022921085625897,35.66086364071816,0.10658870721489028,284.5839948785696
always_sync_run3,43392,39168,4224,1.3603283420068886,0.0,102,0.26041666666666663,39,0.09957107843137254,34,0.08680555555555555,26,0.06638071895424837,22,0.056168300653594766,33239,5929,0.06919582418243629,0.26986001011975036,35848,3320,0.06415978576210668,0.48192771084337355,38570,598,0.0700025926886181,2.0066889632107023,38920,248,0.07451181911613566,4.032258064516129,0.09066839378938792,39168,0.988864004611969,1.1210559606552124,1.4295327842235568,3.508706259727505,11.740848315251515,1330.89111328125,1.3530126297846437,1014.4210283994704,39168,0.1034879982471466,0.1898975983262063,0.31592479646205907,1.4538294661045101,9.05378190708208,1328.6007080078125,0.42697318845175153,3209.2075449005165,43392,0.014687999617308378,0.09097279701381926,0.44439840754494064,1.1854851496033316,2.015741012662665,26.67599906027317,0.07284956710295545,382.21907349899124
comm_drain_run1,67968,60480,7488,1.337238712662798,0.0,118,0.1951058201058201,45,0.0744047619047619,26,0.04298941798941799,24,0.03968253968253968,18,0.029761904761904764,49851,10629,0.04212553409159295,0.22579734688117414,53927,6553,0.04821332542140301,0.2899435373111552,59401,1079,0.060605040319186544,0.8341056533827619,60118,362,0.061545626933697056,2.209944751381215,0.07736207866875232,60480,1.0140479803085327,1.200486385822296,1.6092592418193807,3.4763781976699817,9.131469484329482,2491.135009765625,1.3945144628494899,1603.1059468765748,60480,0.11011199653148651,0.23280320614576336,0.46796958744525896,1.5018220448493926,6.911808125019459,2488.470703125,0.45582635763794843,4899.921891763682,67968,0.01500799972563982,0.13503999616950751,0.4447679883800447,0.7856297473190365,1.9858592230081569,36.058783133514225,0.07536512424135998,471.2981682703225
comm_drain_run2,55680,50112,5568,1.3244734768134334,0.0,285,0.5687260536398467,186,0.37116858237547895,50,0.0997765006385696,42,0.08381226053639847,36,0.07183908045977011,20640,29472,0.07267441860465117,0.5802117263843648,21736,28376,0.09661391240338608,0.5814773047645898,47259,2853,0.08887196089633721,5.047318611987381,49580,532,0.10891488503428802,24.81203007518797,0.08181607343503876,50112,1.7534399628639221,2.720732831954956,2.7906383872032166,5.718730363845818,20.722513114929438,778.3217163085938,2.1364314363755543,485.3347365993255,50112,0.6173760294914246,1.4469759464263916,1.4984784185886382,3.07036420822143,17.90228825759918,776.964111328125,0.944997186718778,1093.7897596000232,55680,0.19158399803563952,0.46499200258404016,0.5517135870875789,1.4099926225654758,3.7443024232406588,39.69814536720514,0.2528618937520171,148.15603440637503
comm_drain_run3,55680,50112,5568,1.3905772054647807,0.0,593,1.1833492975734354,136,0.2713920817369093,127,0.2534323116219668,120,0.23946360153256704,108,0.21551724137931033,33864,16248,0.0502008032128514,0.7323978335795175,37806,12306,0.07406231815055811,0.8776206728425159,44130,5982,0.08157715839564922,1.671681711802073,46564,3548,0.10952667296624001,2.395715896279594,0.08246046682564882,50112,1.0457919836044312,3.476611185073853,4.388850998878478,7.92368366241455,818.2859548339856,5961.4482421875,3.924407504552483,1671.2332033570367,50112,0.1319040060043335,1.185667204856873,1.7540592253208158,5.529582419395445,815.552358520509,5958.6572265625,2.6823755438218164,2443.0411095519607,55680,0.026079999282956123,0.6185600143391639,1.375115185743197,1.9408838537521653,3.049807540353411,27.661984929349273,0.2044909431111926,229.2934210983785
online_simple_run1,43392,39168,4224,1.4597455949055977,0.0,85,0.2170138888888889,42,0.10723039215686275,34,0.08680555555555555,26,0.06638071895424837,24,0.061274509803921566,32079,7089,0.04987686648586303,0.3667654112004514,35889,3279,0.06408648889631921,0.5794449527294907,38562,606,0.07261034178725169,2.31023102310231,38925,243,0.07450224791265253,5.349794238683128,0.09154621356472581,39168,0.9984639883041382,1.1196031689643862,1.3845680236816422,3.5632272696495195,17.54296882154872,1131.762451171875,1.3817122513641378,1013.1109554929724,39168,0.1143999993801117,0.21008960008621225,0.28159840852022183,1.3922761869430549,16.44939256956407,1130.4697265625,0.45791766659029093,3051.7265000295256,43392,0.0162559999153018,0.09183999793604017,0.4393279971787706,1.1350636244191952,2.3271475849188916,53.86479820078239,0.07897181182523444,561.7728347194577
online_simple_run2,43392,39168,4224,1.8130491897709384,0.0,101,0.25786356209150324,31,0.07914624183006536,26,0.06638071895424837,24,0.061274509803921566,18,0.04595588235294117,33114,6054,0.03321857824485112,0.33036009250082593,36024,3144,0.033311125916055964,0.6043256997455471,38585,583,0.04146689127899443,2.5728987993138936,38929,239,0.05137558118626217,4.602510460251046,0.08151486853789328,39168,0.982912003993988,1.096787226200104,1.2454320073127754,3.3109971761703547,9.099700584411632,2216.01318359375,1.3725564761522524,1435.1778928711522,39168,0.10675200074911118,0.19486720114946385,0.26223840266466153,1.1440073788166119,6.478444389343714,2213.734375,0.465249112905939,4229.332359608885,43392,0.014847999904304743,0.0864928013645113,0.4417744037462398,0.9191139071900332,2.0538554227203787,27.02758317347616,0.06959069173445537,354.1257185203633
online_simple_run3,43392,39168,4224,1.4039217272723756,0.0,53,0.13531454248366012,14,0.03574346405228758,10,0.02553104575163399,10,0.02553104575163399,8,0.02042483660130719,33532,5636,0.017893355600620303,0.14194464158977999,35779,3389,0.02235948461387965,0.17704337562702863,38633,535,0.028473067067015245,0.5607476635514018,39005,163,0.030765286501730545,1.2269938650306749,0.04119298089467941,39168,0.9893760085105896,1.115667235851288,1.3680400013923648,3.2124873137474133,7.494287732124625,1105.81396484375,1.1891762358943012,819.0466238760898,39168,0.10435199737548828,0.19785599410533905,0.3416096031665803,1.2658342623710634,5.805239948749973,1104.3519287109375,0.2790875850753057,3485.051458693956,43392,0.014239999931305647,0.09558079773560171,0.4409104041056707,0.8905657356884328,3.3226278066472283,31.86796724423766,0.07441220803356048,506.6881647217392
oracle_selective_run1,43392,39168,4224,1.3096576137021725,0.0,58,0.14808006535947713,22,0.056168300653594766,16,0.04084967320261438,14,0.03574346405228758,10,0.02553104575163399,32590,6578,0.024547407180116602,0.2128306476132563,35814,3354,0.027922041659686155,0.35778175313059035,38465,703,0.04679578837904588,0.5689900426742532,38881,287,0.046295105578560224,1.3937282229965158,0.02047762622213461,39168,0.9957920014858246,1.1260992407798769,1.3686479687690738,3.6986560821533203,8.579063552856592,2115.143310546875,1.2513018246128351,1236.2778170054344,39168,0.11148799955844879,0.21766400337219238,0.3321344107389454,1.698567382097246,6.185452532291667,2113.664306640625,0.3328936983546085,4643.74158261684,43392,0.014815999893471599,0.09951359997503469,0.44201599252410234,1.195745629495869,3.259255312193701,27.42476814892143,0.07696203018156311,361.5024494300727
oracle_selective_run2,43392,39168,4224,1.3719302562304045,0.0,97,0.24765114379084965,28,0.07148692810457516,14,0.03574346405228758,10,0.02553104575163399,8,0.02042483660130719,10400,28768,0.009615384615384616,0.09385428253615127,10634,28534,0.03761519653940192,0.08411018434148734,36523,2645,0.046546012101963144,0.4158790170132325,38918,250,0.04625109203967316,4.0,0.046648027684376765,39168,1.9041279554367065,2.6686495542526245,2.7084575176239016,3.7686709499359137,9.437749360087032,1477.9427490234375,2.2447398042418913,512.640906844364,39168,0.6577280163764954,1.4175039529800415,1.4503999948501587,1.8355389142036451,7.210623641967784,1476.3148193359375,0.9716792415036763,1183.3478414500844,43392,0.3889439993072301,0.45641600862145426,0.8255183880450203,1.2227421012986295,3.4677521088980288,25.50441653188318,0.33341494323602916,101.52878626681208
oracle_selective_waittail_run1,43392,39168,4224,0.9431321072732809,0.0,163,0.416156045751634,94,0.23999183006535948,30,0.07659313725490197,22,0.056168300653594766,20,0.05106209150326798,16908,22260,0.053229240596167494,0.38185085354896675,17947,21221,0.055719618877806874,0.39583431506526556,37193,1975,0.04301884763261904,3.949367088607595,38799,369,0.06443465037758705,18.69918699186992,0.06674250142464504,39168,1.6868480443954468,2.692614340782166,2.8154719591140753,4.432060980796827,15.900153428077719,1681.786865234375,2.133661277799143,777.2811067866539,39168,0.576335996389389,1.4432320594787598,1.5299599528312686,2.3933919978141813,12.475788064004407,1679.2021484375,0.9748875122469601,1698.4358351309108,43392,0.15904000354930758,0.4470080074854195,0.5376063991803661,1.464894422776991,3.662376827534761,40.685407421551645,0.23834809293613063,164.6319605723981
stock_run1,67968,60480,7488,1.3869401575786229,0.0,208,0.3439153439153439,79,0.13062169312169314,64,0.10582010582010583,52,0.08597883597883597,44,0.07275132275132275,51067,9413,0.04699708226447608,0.5842983108467014,54885,5595,0.05465974309920743,0.8757819481680071,59292,1188,0.05902988598799164,3.7037037037037033,59991,489,0.07167741827940857,7.361963190184049,0.13639997878580118,60480,0.9865919947624207,1.1288351893424988,1.5175711929798124,4.100328049659728,30.44136244773884,2062.4560546875,1.420258230901269,1122.9342019497499,60480,0.10470400005578995,0.19939200580120087,0.3458624109625811,1.8376031935214994,29.521733552932975,2059.774658203125,0.49549507809262083,3212.1400256453667,67968,0.014448000118136406,0.10047999736852944,0.44613279479090107,1.0326909110415796,2.0619066380933084,65.73929229006171,0.0757902066657983,578.0452544635635
