lag,phase,layer_group,token_pairs,wave_pairs,ordered_expert_agreement,topk_set_agreement,destination_set_agreement,rank_load_cosine,critical_rank_persistence,topk_weight_cosine
1,all,all,0,11997,nan,nan,nan,0.9917485389478661,0.8567141785446362,nan
1,all,early_layers,0,3870,nan,nan,nan,0.9893905733625136,0.8338501291989664,nan
1,all,middle_layers,0,4257,nan,nan,nan,0.9930731682160764,0.8726802912849424,nan
1,all,late_layers,0,3870,nan,nan,nan,0.9926494123381868,0.862015503875969,nan
1,early,all,0,0,nan,nan,nan,nan,nan,nan
1,early,early_layers,0,0,nan,nan,nan,nan,nan,nan
1,early,middle_layers,0,0,nan,nan,nan,nan,nan,nan
1,early,late_layers,0,0,nan,nan,nan,nan,nan,nan
1,middle,all,0,0,nan,nan,nan,nan,nan,nan
1,middle,early_layers,0,0,nan,nan,nan,nan,nan,nan
1,middle,middle_layers,0,0,nan,nan,nan,nan,nan,nan
1,middle,late_layers,0,0,nan,nan,nan,nan,nan,nan
1,late,all,0,0,nan,nan,nan,nan,nan,nan
1,late,early_layers,0,0,nan,nan,nan,nan,nan,nan
1,late,middle_layers,0,0,nan,nan,nan,nan,nan,nan
1,late,late_layers,0,0,nan,nan,nan,nan,nan,nan
2,all,all,0,11749,nan,nan,nan,0.9851092509147678,0.8066218401566091,nan
2,all,early_layers,0,3790,nan,nan,nan,0.9797338171296277,0.7696569920844327,nan
2,all,middle_layers,0,4169,nan,nan,nan,0.9883203263867852,0.834012952746462,nan
2,all,late_layers,0,3790,nan,nan,nan,0.9869525016806886,0.8134564643799472,nan
2,early,all,0,0,nan,nan,nan,nan,nan,nan
2,early,early_layers,0,0,nan,nan,nan,nan,nan,nan
2,early,middle_layers,0,0,nan,nan,nan,nan,nan,nan
2,early,late_layers,0,0,nan,nan,nan,nan,nan,nan
2,middle,all,0,0,nan,nan,nan,nan,nan,nan
2,middle,early_layers,0,0,nan,nan,nan,nan,nan,nan
2,middle,middle_layers,0,0,nan,nan,nan,nan,nan,nan
2,middle,late_layers,0,0,nan,nan,nan,nan,nan,nan
2,late,all,0,0,nan,nan,nan,nan,nan,nan
2,late,early_layers,0,0,nan,nan,nan,nan,nan,nan
2,late,middle_layers,0,0,nan,nan,nan,nan,nan,nan
2,late,late_layers,0,0,nan,nan,nan,nan,nan,nan
4,all,all,0,11253,nan,nan,nan,0.9742564337901313,0.7424686750199947,nan
4,all,early_layers,0,3630,nan,nan,nan,0.9653039824806029,0.6953168044077135,nan
4,all,middle_layers,0,3993,nan,nan,nan,0.9798902002027223,0.7768595041322314,nan
4,all,late_layers,0,3630,nan,nan,nan,0.9770117420458098,0.7517906336088154,nan
4,early,all,0,0,nan,nan,nan,nan,nan,nan
4,early,early_layers,0,0,nan,nan,nan,nan,nan,nan
4,early,middle_layers,0,0,nan,nan,nan,nan,nan,nan
4,early,late_layers,0,0,nan,nan,nan,nan,nan,nan
4,middle,all,0,0,nan,nan,nan,nan,nan,nan
4,middle,early_layers,0,0,nan,nan,nan,nan,nan,nan
4,middle,middle_layers,0,0,nan,nan,nan,nan,nan,nan
4,middle,late_layers,0,0,nan,nan,nan,nan,nan,nan
4,late,all,0,0,nan,nan,nan,nan,nan,nan
4,late,early_layers,0,0,nan,nan,nan,nan,nan,nan
4,late,middle_layers,0,0,nan,nan,nan,nan,nan,nan
4,late,late_layers,0,0,nan,nan,nan,nan,nan,nan
8,all,all,0,10261,nan,nan,nan,0.9604532622710731,0.6637754604814345,nan
8,all,early_layers,0,3310,nan,nan,nan,0.9483051160273269,0.6021148036253776,nan
8,all,middle_layers,0,3641,nan,nan,nan,0.9674341108360865,0.7017302938753089,nan
8,all,late_layers,0,3310,nan,nan,nan,0.9649224750933044,0.6836858006042296,nan
8,early,all,0,0,nan,nan,nan,nan,nan,nan
8,early,early_layers,0,0,nan,nan,nan,nan,nan,nan
8,early,middle_layers,0,0,nan,nan,nan,nan,nan,nan
8,early,late_layers,0,0,nan,nan,nan,nan,nan,nan
8,middle,all,0,0,nan,nan,nan,nan,nan,nan
8,middle,early_layers,0,0,nan,nan,nan,nan,nan,nan
8,middle,middle_layers,0,0,nan,nan,nan,nan,nan,nan
8,middle,late_layers,0,0,nan,nan,nan,nan,nan,nan
8,late,all,0,0,nan,nan,nan,nan,nan,nan
8,late,early_layers,0,0,nan,nan,nan,nan,nan,nan
8,late,middle_layers,0,0,nan,nan,nan,nan,nan,nan
8,late,late_layers,0,0,nan,nan,nan,nan,nan,nan
