M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.361842105263158,0.9068640172481537,1.0548757296788656,8.0,0,151,0.9527680277824402,1.6655679941177368,decode,8.0,2.4375,3.1131200790405273,1.1963666316052661,8.0,online_trace_burst16,289.4339324216281,243.28411093922833
1,8.0,2.039473684210526,0.8768160045146942,1.0487580214474708,8.0,1,151,0.9099839925765991,1.8965920209884644,decode,8.0,1.875,2.3372960090637207,1.3332931178963014,8.0,online_trace_burst16,312.51769577777736,166.5663031955851
1,8.0,2.013157894736842,0.8710399866104126,1.0382875554038031,8.0,2,151,0.9094719886779785,1.7160959839820862,decode,8.0,2.0,2.5404000282287598,1.3897112882043183,8.0,online_trace_burst16,4701.679818736765,191.65136701847882
1,8.0,2.3684210526315788,0.8737600147724152,1.0439145820814661,8.0,3,151,0.9107840061187744,1.8721920251846313,decode,8.0,2.4375,2.443440079689026,1.304246211489286,8.0,online_trace_burst16,274.57415522155225,179.646589266695
1,8.0,2.0065789473684212,0.8828800022602081,1.0584698761733857,8.0,4,151,0.9196799993515015,1.7270559668540955,decode,8.0,2.0,2.1283520460128784,1.30273631680554,8.0,online_trace_burst16,227.85919083432688,141.06923257552572
1,8.0,2.5,0.8659039735794067,1.0389339731278617,8.0,5,151,0.8958079814910889,1.5354880094528198,decode,8.0,2.5,2.0004640221595764,1.262340456807952,8.0,online_trace_burst16,187.1631890752108,131.0260817823601
1,8.0,2.4210526315789473,0.8767839968204498,1.0451195855266988,8.0,6,151,0.9139840006828308,1.4362879991531372,decode,8.0,2.4375,2.190816044807434,1.2423553350061134,8.0,online_trace_burst16,159.33546723481197,149.86952918286173
1,8.0,2.3026315789473686,0.8761120140552521,1.0399414529701116,8.0,7,151,0.9070720076560974,1.3946239948272705,decode,8.0,2.4375,1.9955520033836365,1.2224914736267023,8.0,online_trace_burst16,190.79212571046682,127.77361471686304
1,8.0,2.0328947368421053,0.8762399852275848,1.0584263720396254,8.0,8,151,0.9150720238685608,1.3548319935798645,decode,8.0,2.0,1.815936028957367,1.2481945797833418,8.0,online_trace_burst16,145.6838663903333,107.24185834599223
1,8.0,2.486842105263158,0.8640320003032684,1.0367811281047794,8.0,9,151,0.9007359743118286,1.2904800176620483,decode,8.0,2.5,1.9096000790596008,1.1936256626044508,8.0,online_trace_burst16,150.72632088098572,121.01034202299638
1,8.0,2.4671052631578947,0.8703039884567261,1.040923641658356,8.0,10,151,0.9022719860076904,1.4101920127868652,decode,8.0,2.5,1.8227360248565674,1.1846560823195358,8.0,online_trace_burst16,136.21276175882096,109.43670821130615
1,8.0,2.039473684210526,0.8733759820461273,1.0447716930934856,8.0,11,151,0.9068160057067871,1.2636319994926453,decode,8.0,2.0,1.595695972442627,1.188323401931511,8.0,online_trace_burst16,110.49040845616808,82.70435702885213
