source,length,concurrency,kind,pcp,replicas,ttft_p50_ms,ttft_p90_ms,e2e_p50_ms,e2e_p90_ms,fleet_wall_ms,prompt_throughput_tok_s,repetitions
pcp1_32k_r0,32768,1,natural,1,4,555.1326274871826,555.1326274871826,555.1326274871826,555.1326274871826,600.1115017570555,54603.186081351836,3
pcp1_32k_r0,32768,4,natural,1,4,554.7832250595093,558.9229822158813,554.7832250595093,558.9229822158813,605.6769830174744,216405.7801024584,3
pcp1_content_matched_r0,8192,2,code,1,4,108.14905166625977,108.66899490356445,108.14905166625977,108.66899490356445,118.37116815149784,138412.0834140191,3
pcp1_content_matched_r0,8192,2,math,1,4,107.42008686065674,107.82434940338135,107.42008686065674,107.82434940338135,117.33750207349658,139631.40266730383,3
pcp1_content_matched_r0,8192,2,natural,1,4,107.99252986907959,108.10039043426514,107.99252986907959,108.10039043426514,119.13819937035441,137520.96377643332,3
pcp1_content_matched_r0,8192,2,repetitive,1,4,108.43825340270996,108.62057209014893,108.43825340270996,108.62057209014893,118.35893802344799,138426.38565035266,3
pcp1_content_matched_r0,16384,2,code,1,4,236.5860939025879,238.1171464920044,236.5860939025879,238.1171464920044,263.798835221678,124215.86309304237,3
pcp1_content_matched_r0,16384,2,math,1,4,234.3062162399292,235.10644435882568,234.3062162399292,235.10644435882568,257.9779247753322,127018.62001772823,3
pcp1_content_matched_r0,16384,2,natural,1,4,233.54530334472656,234.0353012084961,233.54530334472656,234.0353012084961,258.970782160759,126531.64857670663,3
pcp1_content_matched_r0,16384,2,repetitive,1,4,234.04574394226074,234.15205478668213,234.04574394226074,234.15205478668213,259.2086587101221,126415.53011022316,3
pcp1_screen_full_r0,8192,1,natural,1,4,109.02595520019531,109.02595520019531,109.02595520019531,109.02595520019531,119.59699122235179,68496.70644949282,3
pcp1_screen_full_r0,8192,4,natural,1,4,108.32679271697998,110.61882972717285,108.32679271697998,110.61882972717285,121.86835706233978,268880.2966568103,3
