configuration,e2e_p50_ms,ttft_p50_ms,tpot_p50_ms,throughput_tokens_s
vanilla,3575.9228172246367,159.55484635196626,54.22806302972492,143.86041633129767
dcp_only,6291.710861492902,284.8814553581178,95.34649851007595,81.60253545318753
spec_only,4561.325821792707,846.3205732405186,59.25516270485426,110.90496792675461
combined,3901.7009530216455,133.26512346975505,60.2017406536828,128.85123033453988
