total_rows,bytes,repetition,latency_ms,effective_gbps
64,786432,0,0.017216000705957413,45.68029552460832
64,786432,1,0.015807999297976494,49.748990063572904
64,786432,2,0.013504000380635262,58.23696518312778
64,786432,3,0.01414399966597557,55.60181126784243
64,786432,4,0.013919999822974205,56.49655244262551
64,786432,5,0.013632000423967838,57.69013905085362
64,786432,6,0.013663999736309052,57.555036239515665
64,786432,7,0.013120000250637531,59.941462269544196
64,786432,8,0.013919999822974205,56.49655244262551
64,786432,9,0.014688000082969666,53.54248335767961
64,786432,10,0.014431999996304512,54.49223948180262
64,786432,11,0.013663999736309052,57.555036239515665
64,786432,12,0.01369599997997284,57.42056083162754
64,786432,13,0.013088000006973743,60.08801952788521
64,786432,14,0.013663999736309052,57.555036239515665
64,786432,15,0.013535999692976475,58.09929209794987
64,786432,16,0.013824000023305416,56.888888792981824
64,786432,17,0.013376000337302685,58.79425689059056
64,786432,18,0.01375999953597784,57.15349029945392
64,786432,19,0.013376000337302685,58.79425689059056
64,786432,20,0.012543999589979649,62.69387960026838
64,786432,21,0.01648000068962574,47.72038635259668
64,786432,22,0.013407999649643898,58.65393948014361
64,786432,23,0.013887999579310417,56.62672982591268
64,786432,24,0.013439999893307686,58.514286178796475
64,786432,25,0.01360000018030405,57.82588158630583
64,786432,26,0.013279999606311321,59.21927886400299
64,786432,27,0.013344000093638897,58.93525138499461
64,786432,28,0.012608000077307224,62.375634135304004
64,786432,29,0.01408000010997057,55.85454501829857
64,786432,30,0.012512000277638435,62.85421855412829
64,786432,31,0.013728000223636627,57.28671235348141
64,786432,32,0.01375999953597784,57.15349029945392
64,786432,33,0.013120000250637531,59.941462269544196
64,786432,34,0.016543999314308167,47.53578533576522
64,786432,35,0.015104000456631184,52.06779503603159
64,786432,36,0.01321600005030632,59.50605304225707
64,786432,37,0.012799999676644802,61.44000155210499
64,786432,38,0.012415999546647072,63.340208498346406
64,786432,39,0.012256000190973282,64.16710082782296
128,1572864,0,0.013279999606311321,118.43855772800597
128,1572864,1,0.012736000120639801,123.49748626737498
128,1572864,2,0.012512000277638435,125.70843710825658
128,1572864,3,0.01375999953597784,114.30698059890784
128,1572864,4,0.013376000337302685,117.58851378118112
128,1572864,5,0.02550400048494339,61.67126607955329
128,1572864,6,0.01408000010997057,111.70909003659715
128,1572864,7,0.014112000353634357,111.45577951994098
128,1572864,8,0.013919999822974205,112.99310488525101
128,1572864,9,0.014047999866306782,111.96355459629612
128,1572864,10,0.014495999552309513,108.50331460926475
128,1572864,11,0.01190400030463934,132.1290288767053
128,1572864,12,0.011711999773979187,134.2950845588699
128,1572864,13,0.012191999703645706,129.00787715157796
128,1572864,14,0.012095999903976917,130.03174706399216
128,1572864,15,0.011615999974310398,135.40495897714356
128,1572864,16,0.01244799979031086,126.35475791253378
128,1572864,17,0.011711999773979187,134.2950845588699
128,1572864,18,0.017055999487638474,92.21763879272808
128,1572864,19,0.014720000326633453,106.85217154201808
128,1572864,20,0.013376000337302685,117.58851378118112
128,1572864,21,0.013887999579310417,113.25345965182537
128,1572864,22,0.012736000120639801,123.49748626737498
128,1572864,23,0.01235199999064207,127.33678766123775
128,1572864,24,0.013088000006973743,120.17603905577042
128,1572864,25,0.01369599997997284,114.84112166325508
128,1572864,26,0.013088000006973743,120.17603905577042
128,1572864,27,0.01414399966597557,111.20362253568486
128,1572864,28,0.01206399966031313,130.37666149595825
128,1572864,29,0.012160000391304493,129.34736425870025
128,1572864,30,0.012319999746978283,127.66753508950154
128,1572864,31,0.011359999887645245,138.4563393975553
128,1572864,32,0.013279999606311321,118.43855772800597
128,1572864,33,0.01283199992030859,122.57356684601469
128,1572864,34,0.012223999947309494,128.67015762268454
128,1572864,35,0.012512000277638435,125.70843710825658
128,1572864,36,0.01283199992030859,122.57356684601469
128,1572864,37,0.011872000060975552,132.48517452170177
128,1572864,38,0.01206399966031313,130.37666149595825
128,1572864,39,0.012032000347971916,130.72340047472804
256,3145728,0,0.012575999833643436,250.1374078889949
256,3145728,1,0.012256000190973282,256.66840331129185
256,3145728,2,0.012032000347971916,261.4468009494561
256,3145728,3,0.012128000147640705,259.37730554958375
256,3145728,4,0.015968000516295433,197.00199763832467
256,3145728,5,0.012703999876976013,247.61713086137016
256,3145728,6,0.012160000391304493,258.6947285174005
256,3145728,7,0.012575999833643436,250.1374078889949
256,3145728,8,0.012480000033974648,252.0615377753444
256,3145728,9,0.019007999449968338,165.4949542838523
256,3145728,10,0.013024000450968742,241.53316116984752
256,3145728,11,0.013472000136971474,233.50118527442092
256,3145728,12,0.013279999606311321,236.87711545601195
256,3145728,13,0.013120000250637531,239.76584907817679
256,3145728,14,0.013248000293970108,237.4492700933735
256,3145728,15,0.013024000450968742,241.53316116984752
256,3145728,16,0.013088000006973743,240.35207811154083
256,3145728,17,0.01958400011062622,160.62745007303883
256,3145728,18,0.019872000440955162,158.29951339558235
256,3145728,19,0.018592000007629395,169.19793452609306
256,3145728,20,0.01913600042462349,164.38795621848936
256,3145728,21,0.018400000408291817,170.96347446722893
256,3145728,22,0.018303999677300453,171.86014289003444
256,3145728,23,0.021695999428629875,144.9911542608598
256,3145728,24,0.020927999168634415,150.31193257665174
256,3145728,25,0.021247999742627144,148.0481945643631
256,3145728,26,0.025760000571608543,122.1167674765921
256,3145728,27,0.021663999184966087,145.2053230404017
256,3145728,28,0.019519999623298645,161.15410147064387
256,3145728,29,0.019168000668287277,164.11351681578802
256,3145728,30,0.019168000668287277,164.11351681578802
256,3145728,31,0.01865600049495697,168.61749123829318
256,3145728,32,0.02127999998629093,147.8255640050071
256,3145728,33,0.01894400082528591,166.05404681999232
256,3145728,34,0.020160000771284103,156.03808926836817
256,3145728,35,0.03836800158023834,81.98832022620185
256,3145728,36,0.022463999688625336,140.0341899752092
256,3145728,37,0.02223999984562397,141.44460529836584
256,3145728,38,0.02051199972629547,153.36037646136066
256,3145728,39,0.01929599978029728,163.02487747807882
512,6291456,0,0.020576000213623047,305.7667153324836
512,6291456,1,0.020096000283956528,313.07005927058685
512,6291456,2,0.019936000928282738,315.58264983196597
512,6291456,3,0.022048000246286392,285.35268186327636
512,6291456,4,0.020640000700950623,304.81859429928375
512,6291456,5,0.02006400004029274,313.5693773607172
512,6291456,6,0.01942400075495243,323.90114062345793
512,6291456,7,0.020320000126957893,309.61889570331874
512,6291456,8,0.021344000473618507,294.7646111503947
512,6291456,9,0.019999999552965164,314.57280703125014
512,6291456,10,0.022784000262618065,276.1348282778268
512,6291456,11,0.014047999866306782,447.8542183851845
512,6291456,12,0.014271999709308147,440.8251210863419
512,6291456,13,0.013887999579310417,453.01383860730147
512,6291456,14,0.02223999984562397,282.8892105967317
512,6291456,15,0.021727999672293663,289.55523264401165
512,6291456,16,0.020959999412298203,300.1648939125691
512,6291456,17,0.01852799952030182,339.5647756308617
512,6291456,18,0.017983999103307724,349.8363163754183
512,6291456,19,0.017632000148296356,356.8203236776796
512,6291456,20,0.01961600035429001,320.7308261810906
512,6291456,21,0.025919999927282333,242.72592660688514
512,6291456,22,0.020447999238967896,307.6807626249481
512,6291456,23,0.019680000841617584,319.68779120656166
512,6291456,24,0.019328000023961067,325.50993337129734
512,6291456,25,0.019680000841617584,319.68779120656166
512,6291456,26,0.019071999937295914,329.87919571543483
512,6291456,27,0.0197759997099638,318.1359269959009
512,6291456,28,0.019648000597953796,320.2084593103693
512,6291456,29,0.019392000511288643,324.43563501030036
512,6291456,30,0.0342399999499321,183.74579466120812
512,6291456,31,0.023520000278949738,267.4938743785142
512,6291456,32,0.016831999644637108,373.7794755719674
512,6291456,33,0.015200000256299973,413.9115719680576
512,6291456,34,0.014240000396966934,441.81571802062984
512,6291456,35,0.022112000733613968,284.5267633532558
512,6291456,36,0.022975999861955643,273.8272996953479
512,6291456,37,0.02208000048995018,284.9391241120482
512,6291456,38,0.017503999173641205,359.42963305632077
512,6291456,39,0.029023999348282814,216.76736980674684
1024,12582912,0,0.016575999557971954,759.1042673470907
1024,12582912,1,0.014560000039637089,864.2109866583237
1024,12582912,2,0.015263999812304974,824.3522113945761
1024,12582912,3,0.014240000396966934,883.6314360412597
1024,12582912,4,0.013376000337302685,940.708110249449
