track,run,dataset,start,end,wall_seconds,gpu_count,gpu_hours,purpose,status

baseline,clean_gsm8k_r1,gsm8k,2026-09-13T20:35:53+09:00,2026-09-13T20:37:15+09:00,82,4,0.091111,strongest EP4 clean restart,ok
baseline,clean_gsm8k_r2,gsm8k,2026-09-13T20:37:15+09:00,2026-09-13T20:38:26+09:00,71,4,0.078889,strongest EP4 clean restart,ok
baseline,clean_gsm8k_r3,gsm8k,2026-09-13T20:38:26+09:00,2026-09-13T20:39:37+09:00,71,4,0.078889,strongest EP4 clean restart,ok
baseline,clean_humaneval_r1,humaneval,2026-09-13T20:39:37+09:00,2026-09-13T20:40:59+09:00,82,4,0.091111,strongest EP4 clean restart,ok
baseline,clean_humaneval_r2,humaneval,2026-09-13T20:40:59+09:00,2026-09-13T20:42:09+09:00,70,4,0.077778,strongest EP4 clean restart,ok
baseline,clean_humaneval_r3,humaneval,2026-09-13T20:42:09+09:00,2026-09-13T20:43:20+09:00,71,4,0.078889,strongest EP4 clean restart,ok
trackA,trace_gsm8k_r1,gsm8k,2026-09-13T20:45:21+09:00,2026-09-13T20:46:45+09:00,84,4,0.093333,temporal dispatch hidden observer trace,ok
trackA,trace_humaneval_r1,humaneval,2026-09-13T20:46:45+09:00,2026-09-13T20:48:11+09:00,86,4,0.095556,temporal dispatch hidden observer trace,ok
trackA,deepep_payload_sweep,synthetic,2026-09-13T20:50:51+09:00,2026-09-13T20:52:46+09:00,115,4,0.127778,fresh DeepEP fixed versus payload cost,ok
trackA,delta_codec,synthetic,2026-09-13T20:52:46+09:00,2026-09-13T20:52:49+09:00,3,1,0.000833,FP8 and INT8 pack reconstruct cost,ok
trackB,boundary_trace_gsm8k_r1,gsm8k,2026-09-13T20:56:26+09:00,2026-09-13T20:57:46+09:00,80,4,0.088889,all-layer timing and PP boundary temporal trace,ok
trackB,boundary_trace_humaneval_r1,humaneval,2026-09-13T20:57:46+09:00,2026-09-13T20:59:12+09:00,86,4,0.095556,all-layer timing and PP boundary temporal trace,ok
trackB,async_policy_gsm8k_r3,gsm8k,2026-09-13T21:09:26+09:00,2026-09-13T21:12:20+09:00,174,4,0.193333,sequential stale-boundary full-trajectory quality sweep,ok
trackB,async_policy_humaneval_r1,humaneval,2026-09-13T21:12:51+09:00,2026-09-13T21:16:32+09:00,221,4,0.245556,sequential stale-boundary full-trajectory executable-quality sweep,ok
trackB,pp_group_and_transport_audit,synthetic,2026-09-13T21:17:54+09:00,2026-09-13T21:18:42+09:00,48,4,0.053333,PP rank groups and exact BF16 boundary transport,ok
trackB,pp2_ep2_load_audit_attempt1,load-only,2026-09-13T21:19:35+09:00,2026-09-13T21:20:24+09:00,49,4,0.054444,stage-local PP2xEP2 weight-load audit,failed-ppmissinglayer
trackB,pp2_ep2_load_audit,load-only,2026-09-13T21:22:29+09:00,2026-09-13T21:23:24+09:00,55,4,0.061111,stage-local PP2xEP2 weight-load audit,ok
trackB,pp4_load_audit,load-only,2026-09-13T21:24:49+09:00,2026-09-13T21:25:49+09:00,60,4,0.066667,stage-local PP4 weight-load audit,ok
