modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_00_coins,0,small,0,3,3,1,0.059434078338683353
text,text_00_coins,0,small,1,3,0,0,0.29669505237122257
text,text_00_coins,0,small,2,2,2,1,0.15336695647969203
text,text_00_coins,0,small,3,0,0,1,0.19739128114254123
text,text_00_coins,0,small,4,3,0,0,0.09985799243097045
text,text_00_coins,0,small,5,3,3,1,0.06542239931423526
text,text_00_coins,0,small,6,2,2,1,0.356336937719897
text,text_00_coins,0,small,7,3,3,1,0.1338425132735298
text,text_00_coins,0,small,8,1,1,1,0.34862050267133243
text,text_00_coins,0,small,9,2,2,1,0.27658622338222805
text,text_00_coins,0,small,10,3,0,0,0.15101079515685709
text,text_00_coins,0,small,11,1,1,1,0.09620008090644337
text,text_00_coins,0,small,12,3,3,1,0.2843658781160615
text,text_00_coins,0,small,13,3,3,1,0.22718462536867728
text,text_00_coins,0,small,14,0,0,1,0.1678551578114484
text,text_00_coins,0,small,15,1,1,1,0.5070833105976953
text,text_00_coins,0,small,16,2,2,1,0.2383292728247125
text,text_00_coins,0,small,17,2,2,1,0.18690906226984755
text,text_00_coins,0,small,18,2,2,1,0.20917594899203576
text,text_00_coins,0,small,19,3,2,0,0.14756114662128206
text,text_00_coins,0,small,20,1,1,1,0.2376400183477364
text,text_00_coins,0,small,21,2,2,1,0.3120480129761184
text,text_00_coins,0,small,22,3,0,0,0.1343829485294498
text,text_00_coins,0,small,23,0,0,1,0.12259652208183762
text,text_00_coins,0,small,24,3,3,1,0.31738131009259785
text,text_00_coins,0,small,25,3,0,0,0.3158511720583367
text,text_00_coins,0,small,26,3,2,0,0.11731763607563443
text,text_00_coins,0,small,27,1,0,0,0.3653649081579692
text,text_00_coins,0,small,28,2,0,0,0.28188675748067477
text,text_00_coins,0,small,29,2,2,1,0.14445204755547342
text,text_00_coins,0,small,30,2,0,0,0.36680290696584417
text,text_00_coins,0,small,31,3,0,0,0.13341430748389113
text,text_00_coins,0,small,32,0,1,0,0.3027658753772769
text,text_00_coins,0,small,33,2,0,0,0.21887203627169632
text,text_00_coins,0,small,34,3,3,1,0.10920047459761222
text,text_00_coins,0,small,35,0,0,1,0.2958968260063379
text,text_00_coins,0,small,36,3,0,0,0.2762688235951082
text,text_00_coins,0,small,37,0,0,1,0.23334735646570168
