pid,image_count,image_index,repetition,independent_file,combined_file,shape_independent,shape_combined,max_abs_error,mean_abs_error,cosine,ok
1836931,4,2,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0013_independent_2_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.5,0.002922605096816313,0.9995949231134951,True
1836931,4,2,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0024_independent_2_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.5,0.002922605096816313,0.9995949231134951,True
1836931,4,3,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0003_independent_3_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836931,4,3,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0014_independent_3_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836931,4,3,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0025_independent_3_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836931,4,4,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0004_independent_4_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
1836931,4,4,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0015_independent_4_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
1836931,4,4,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0026_independent_4_pid1836931.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836931.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
1836934,2,1,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0001_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0006_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.390625,0.002550410947077005,0.9997200981609318,True
1836934,2,1,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0012_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0017_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.390625,0.002550410947077005,0.9997200981609318,True
1836934,2,1,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0023_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0028_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.390625,0.002550410947077005,0.9997200981609318,True
1836934,2,2,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0002_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0006_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.40625,0.0027745198042664143,0.9996564903435424,True
1836934,2,2,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0013_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0017_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.40625,0.0027745198042664143,0.9996564903435424,True
1836934,2,2,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0024_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0028_multi_2_pid1836934.pt,"[196, 8192]","[392, 8192]",0.40625,0.0027745198042664143,0.9996564903435424,True
1836934,4,1,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0001_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.765625,0.0027827881747317425,0.9995812594337891,True
1836934,4,1,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0012_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.765625,0.0027827881747317425,0.9995812594337891,True
1836934,4,1,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0023_independent_1_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.765625,0.0027827881747317425,0.9995812594337891,True
1836934,4,2,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0002_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.5,0.002922605096816313,0.9995949231134951,True
1836934,4,2,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0013_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.5,0.002922605096816313,0.9995949231134951,True
1836934,4,2,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0024_independent_2_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.5,0.002922605096816313,0.9995949231134951,True
1836934,4,3,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0003_independent_3_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836934,4,3,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0014_independent_3_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836934,4,3,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0025_independent_3_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.28125,0.002838355687382151,0.9997439610676875,True
1836934,4,4,0,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0004_independent_4_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
1836934,4,4,1,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0015_independent_4_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
1836934,4,4,2,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0026_independent_4_pid1836934.pt,poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836934.pt,"[196, 8192]","[784, 8192]",0.25,0.0024835536904698084,0.9998250976632471,True
