active_id,cuda_device,duration_ms,layer,pid,rows,stage
warmup_0,0,2.2721920013427734,15,1836931,221,prefill
warmup_0,0,2.2597761154174805,16,1836931,221,prefill
warmup_0,0,2.2001280784606934,17,1836931,221,prefill
warmup_0,0,2.3844480514526367,18,1836931,221,prefill
warmup_0,0,2.225951910018921,19,1836931,221,prefill
warmup_0,0,2.150048017501831,20,1836931,221,prefill
warmup_0,0,7.899392127990723,21,1836931,221,prefill
warmup_0,0,5.084415912628174,22,1836931,221,prefill
warmup_0,0,4.390783786773682,23,1836931,221,prefill
warmup_0,0,3.7423999309539795,24,1836931,221,prefill
warmup_0,0,3.2940480709075928,25,1836931,221,prefill
warmup_0,0,2.8607358932495117,26,1836931,221,prefill
warmup_0,0,2.678431987762451,27,1836931,221,prefill
warmup_0,0,2.444159984588623,28,1836931,221,prefill
warmup_0,0,2.2615039348602295,29,1836931,221,prefill
warmup_0,0,2.1295039653778076,30,1836931,221,prefill
warmup_0,0,2.2285759449005127,31,1836931,221,prefill
warmup_0,0,2.2060799598693848,32,1836931,221,prefill
warmup_0,0,2.3177919387817383,33,1836931,221,prefill
warmup_0,0,2.256864070892334,34,1836931,221,prefill
warmup_0,0,2.242784023284912,35,1836931,221,prefill
warmup_0,0,2.038304090499878,36,1836931,221,prefill
warmup_0,0,2.0399999618530273,37,1836931,221,prefill
warmup_0,0,1.9967999458312988,38,1836931,221,prefill
warmup_0,0,2.0467519760131836,39,1836931,221,prefill
warmup_0,0,2.140223979949951,40,1836931,221,prefill
warmup_0,0,2.2669119834899902,41,1836931,221,prefill
warmup_0,0,2.250943899154663,42,1836931,221,prefill
warmup_0,0,2.2767679691314697,43,1836931,221,prefill
warmup_0,0,2.320512056350708,44,1836931,221,prefill
warmup_0,0,2.2207999229431152,45,1836931,221,prefill
warmup_0,0,2.0727040767669678,46,1836931,221,prefill
warmup_0,0,2.050879955291748,47,1836931,221,prefill
warmup_0,0,6.730527877807617,0,1836931,1,decode
warmup_0,0,2.2707839012145996,1,1836931,1,decode
warmup_0,0,2.19215989112854,2,1836931,1,decode
warmup_0,0,2.188607931137085,3,1836931,1,decode
warmup_0,0,2.1799681186676025,4,1836931,1,decode
warmup_0,0,2.238816022872925,5,1836931,1,decode
warmup_0,0,2.142496109008789,6,1836931,1,decode
warmup_0,0,2.263200044631958,7,1836931,1,decode
warmup_0,0,2.3025920391082764,8,1836931,1,decode
warmup_0,0,2.195199966430664,9,1836931,1,decode
warmup_0,0,2.1490559577941895,10,1836931,1,decode
warmup_0,0,2.1213760375976562,11,1836931,1,decode
warmup_0,0,2.126944065093994,12,1836931,1,decode
warmup_0,0,2.160799980163574,13,1836931,1,decode
warmup_0,0,2.1648640632629395,14,1836931,1,decode
warmup_0,0,2.2183361053466797,15,1836931,1,decode
warmup_0,0,2.2292799949645996,16,1836931,1,decode
warmup_0,0,2.207871913909912,17,1836931,1,decode
warmup_0,0,2.2660160064697266,18,1836931,1,decode
warmup_0,0,2.1884799003601074,19,1836931,1,decode
warmup_0,0,2.240000009536743,20,1836931,1,decode
warmup_0,0,2.1919679641723633,21,1836931,1,decode
warmup_0,0,2.0225279331207275,22,1836931,1,decode
warmup_0,0,2.0970239639282227,23,1836931,1,decode
warmup_0,0,2.2489919662475586,24,1836931,1,decode
warmup_0,0,2.2440319061279297,25,1836931,1,decode
warmup_0,0,2.12937593460083,26,1836931,1,decode
warmup_0,0,2.156480073928833,27,1836931,1,decode
warmup_0,0,2.3460800647735596,28,1836931,1,decode
warmup_0,0,6.9495038986206055,29,1836931,1,decode
warmup_0,0,2.167167901992798,30,1836931,1,decode
warmup_0,0,2.0042879581451416,31,1836931,1,decode
warmup_0,0,2.1392641067504883,32,1836931,1,decode
warmup_0,0,2.2200961112976074,33,1836931,1,decode
warmup_0,0,2.178368091583252,34,1836931,1,decode
warmup_0,0,2.204063892364502,35,1836931,1,decode
warmup_0,0,2.1975998878479004,36,1836931,1,decode
warmup_0,0,2.18937611579895,37,1836931,1,decode
warmup_0,0,2.2419519424438477,38,1836931,1,decode
warmup_0,0,2.245759963989258,39,1836931,1,decode
warmup_0,0,2.183295965194702,40,1836931,1,decode
warmup_0,0,2.1431360244750977,41,1836931,1,decode
warmup_0,0,1.9905279874801636,42,1836931,1,decode
warmup_0,0,1.9317760467529297,43,1836931,1,decode
warmup_0,0,1.9249600172042847,44,1836931,1,decode
warmup_0,0,2.1018240451812744,45,1836931,1,decode
warmup_0,0,2.188767910003662,46,1836931,1,decode
warmup_0,0,2.1948800086975098,47,1836931,1,decode
warmup_0,0,3.344736099243164,0,1836931,1,decode
warmup_0,0,2.9060161113739014,1,1836931,1,decode
warmup_0,0,2.9909439086914062,2,1836931,1,decode
warmup_0,0,2.925312042236328,3,1836931,1,decode
warmup_0,0,2.8064000606536865,4,1836931,1,decode
warmup_0,0,2.2509119510650635,5,1836931,1,decode
warmup_0,0,1.969920039176941,6,1836931,1,decode
warmup_0,0,2.0330240726470947,7,1836931,1,decode
warmup_0,0,1.931391954421997,8,1836931,1,decode
warmup_0,0,2.3523199558258057,9,1836931,1,decode
warmup_0,0,2.20796799659729,10,1836931,1,decode
warmup_0,0,2.2713279724121094,11,1836931,1,decode
warmup_0,0,2.3486719131469727,12,1836931,1,decode
warmup_0,0,2.196255922317505,13,1836931,1,decode
warmup_0,0,2.226047992706299,14,1836931,1,decode
warmup_0,0,2.2340478897094727,15,1836931,1,decode
warmup_0,0,2.5477120876312256,16,1836931,1,decode
warmup_0,0,2.2767040729522705,17,1836931,1,decode
warmup_0,0,2.2873919010162354,18,1836931,1,decode
warmup_0,0,2.182431936264038,19,1836931,1,decode
warmup_0,0,2.3013439178466797,20,1836931,1,decode
warmup_0,0,2.2003519535064697,21,1836931,1,decode
warmup_0,0,2.15993595123291,22,1836931,1,decode
warmup_0,0,2.2774078845977783,23,1836931,1,decode
warmup_0,0,2.216480016708374,24,1836931,1,decode
warmup_0,0,2.2279999256134033,25,1836931,1,decode
warmup_0,0,2.2789759635925293,26,1836931,1,decode
warmup_0,0,2.123647928237915,27,1836931,1,decode
warmup_0,0,2.564095973968506,28,1836931,1,decode
warmup_0,0,2.920639991760254,29,1836931,1,decode
warmup_0,0,2.870016098022461,30,1836931,1,decode
warmup_0,0,2.928447961807251,31,1836931,1,decode
warmup_0,0,2.233567953109741,32,1836931,1,decode
warmup_0,0,2.243295907974243,33,1836931,1,decode
warmup_0,0,2.900991916656494,34,1836931,1,decode
warmup_0,0,3.166879892349243,35,1836931,1,decode
warmup_0,0,2.9791040420532227,36,1836931,1,decode
warmup_0,0,3.0706560611724854,37,1836931,1,decode
warmup_0,0,3.1202239990234375,38,1836931,1,decode
warmup_0,0,3.1132800579071045,39,1836931,1,decode
warmup_0,0,3.123487949371338,40,1836931,1,decode
warmup_0,0,3.1149120330810547,41,1836931,1,decode
warmup_0,0,3.1300480365753174,42,1836931,1,decode
warmup_0,0,3.1708478927612305,43,1836931,1,decode
warmup_0,0,3.1063361167907715,44,1836931,1,decode
warmup_0,0,3.0980160236358643,45,1836931,1,decode
warmup_0,0,3.0843520164489746,46,1836931,1,decode
warmup_0,0,3.146048069000244,47,1836931,1,decode
warmup_0,0,3.1011838912963867,0,1836931,1,decode
warmup_0,0,3.1366078853607178,1,1836931,1,decode
warmup_0,0,3.1828160285949707,2,1836931,1,decode
warmup_0,0,3.2067201137542725,3,1836931,1,decode
warmup_0,0,3.1268160343170166,4,1836931,1,decode
warmup_0,0,3.1072640419006348,5,1836931,1,decode
warmup_0,0,3.1219840049743652,6,1836931,1,decode
warmup_0,0,3.1513280868530273,7,1836931,1,decode
warmup_0,0,3.1415040493011475,8,1836931,1,decode
warmup_0,0,3.0776638984680176,9,1836931,1,decode
warmup_0,0,2.83024001121521,10,1836931,1,decode
warmup_0,0,2.155424118041992,11,1836931,1,decode
warmup_0,0,2.196160078048706,12,1836931,1,decode
warmup_0,0,2.2591679096221924,13,1836931,1,decode
warmup_0,0,2.1289920806884766,14,1836931,1,decode
warmup_0,0,2.224735975265503,15,1836931,1,decode
warmup_0,0,1.9294079542160034,16,1836931,1,decode
warmup_0,0,1.9569599628448486,17,1836931,1,decode
warmup_0,0,1.9574400186538696,18,1836931,1,decode
warmup_0,0,2.148832082748413,19,1836931,1,decode
warmup_0,0,2.226304054260254,20,1836931,1,decode
warmup_0,0,2.1226561069488525,21,1836931,1,decode
warmup_0,0,2.2737278938293457,22,1836931,1,decode
warmup_0,0,2.2492799758911133,23,1836931,1,decode
warmup_0,0,2.1178879737854004,24,1836931,1,decode
warmup_0,0,1.9852800369262695,25,1836931,1,decode
warmup_0,0,1.9970879554748535,26,1836931,1,decode
warmup_0,0,2.0016000270843506,27,1836931,1,decode
warmup_0,0,1.9044159650802612,28,1836931,1,decode
warmup_0,0,2.1130239963531494,29,1836931,1,decode
warmup_0,0,2.1946239471435547,30,1836931,1,decode
warmup_0,0,2.208479881286621,31,1836931,1,decode
warmup_0,0,2.0937600135803223,32,1836931,1,decode
warmup_0,0,2.17411208152771,33,1836931,1,decode
warmup_0,0,2.2034881114959717,34,1836931,1,decode
warmup_0,0,2.037951946258545,35,1836931,1,decode
warmup_0,0,2.037087917327881,36,1836931,1,decode
warmup_0,0,2.0158400535583496,37,1836931,1,decode
warmup_0,0,1.9775359630584717,38,1836931,1,decode
warmup_0,0,2.1335361003875732,39,1836931,1,decode
warmup_0,0,2.3074240684509277,40,1836931,1,decode
warmup_0,0,2.32207989692688,41,1836931,1,decode
warmup_0,0,2.3954880237579346,42,1836931,1,decode
warmup_0,0,2.1531519889831543,43,1836931,1,decode
warmup_0,0,2.270143985748291,44,1836931,1,decode
warmup_0,0,4.560768127441406,45,1836931,1,decode
warmup_0,0,2.204832077026367,46,1836931,1,decode
warmup_0,0,2.227168083190918,47,1836931,1,decode
warmup_0,0,2.1495039463043213,0,1836931,1,decode
warmup_0,0,2.8828799724578857,1,1836931,1,decode
warmup_0,0,2.0166079998016357,2,1836931,1,decode
warmup_0,0,2.4703359603881836,3,1836931,1,decode
warmup_0,0,3.107583999633789,4,1836931,1,decode
warmup_0,0,3.0957438945770264,5,1836931,1,decode
warmup_0,0,3.095871925354004,6,1836931,1,decode
warmup_0,0,3.055936098098755,7,1836931,1,decode
warmup_0,0,3.0973119735717773,8,1836931,1,decode
warmup_0,0,3.0669760704040527,9,1836931,1,decode
warmup_0,0,5.109216213226318,10,1836931,1,decode
warmup_0,0,3.0485119819641113,11,1836931,1,decode
warmup_0,0,3.035360097885132,12,1836931,1,decode
warmup_0,0,3.10646390914917,13,1836931,1,decode
warmup_0,0,3.085952043533325,14,1836931,1,decode
warmup_0,0,3.132704019546509,15,1836931,1,decode
warmup_0,0,3.1277120113372803,16,1836931,1,decode
warmup_0,0,3.1441919803619385,17,1836931,1,decode
warmup_0,0,3.0665600299835205,18,1836931,1,decode
warmup_0,0,3.052095890045166,19,1836931,1,decode
warmup_0,0,3.1088640689849854,20,1836931,1,decode
warmup_0,0,3.1170880794525146,21,1836931,1,decode
warmup_0,0,3.1101760864257812,22,1836931,1,decode
warmup_0,0,3.0786240100860596,23,1836931,1,decode
warmup_0,0,3.06496000289917,24,1836931,1,decode
warmup_0,0,3.0815999507904053,25,1836931,1,decode
warmup_0,0,3.1133439540863037,26,1836931,1,decode
warmup_0,0,3.0519680976867676,27,1836931,1,decode
warmup_0,0,3.0747199058532715,28,1836931,1,decode
warmup_0,0,3.06441593170166,29,1836931,1,decode
warmup_0,0,3.1547839641571045,30,1836931,1,decode
warmup_0,0,3.066272020339966,31,1836931,1,decode
warmup_0,0,3.1090879440307617,32,1836931,1,decode
warmup_0,0,3.207103967666626,33,1836931,1,decode
warmup_0,0,3.1028800010681152,34,1836931,1,decode
warmup_0,0,3.0885438919067383,35,1836931,1,decode
warmup_0,0,3.0632638931274414,36,1836931,1,decode
warmup_0,0,3.093535900115967,37,1836931,1,decode
warmup_0,0,3.0714879035949707,38,1836931,1,decode
warmup_0,0,3.1111040115356445,39,1836931,1,decode
warmup_0,0,3.0991039276123047,40,1836931,1,decode
warmup_0,0,3.0846400260925293,41,1836931,1,decode
warmup_0,0,3.1184000968933105,42,1836931,1,decode
warmup_0,0,3.130176067352295,43,1836931,1,decode
warmup_0,0,3.065887928009033,44,1836931,1,decode
warmup_0,0,3.0873920917510986,45,1836931,1,decode
warmup_0,0,3.067647933959961,46,1836931,1,decode
warmup_0,0,3.061919927597046,47,1836931,1,decode
warmup_0,0,3.1212480068206787,0,1836931,1,decode
warmup_0,0,2.9766080379486084,1,1836931,1,decode
warmup_0,0,2.9066879749298096,2,1836931,1,decode
warmup_0,0,2.867647886276245,3,1836931,1,decode
warmup_0,0,2.149440050125122,4,1836931,1,decode
warmup_0,0,2.238879919052124,5,1836931,1,decode
warmup_0,0,2.1665918827056885,6,1836931,1,decode
warmup_0,0,2.19596791267395,7,1836931,1,decode
warmup_0,0,2.6510720252990723,8,1836931,1,decode
warmup_0,0,2.195199966430664,9,1836931,1,decode
warmup_0,0,2.1531519889831543,10,1836931,1,decode
warmup_0,0,2.1923840045928955,11,1836931,1,decode
warmup_0,0,2.271712064743042,12,1836931,1,decode
warmup_0,0,2.1582720279693604,13,1836931,1,decode
warmup_0,0,2.102047920227051,14,1836931,1,decode
warmup_0,0,2.2853119373321533,15,1836931,1,decode
warmup_0,0,2.318432092666626,16,1836931,1,decode
warmup_0,0,2.0403521060943604,17,1836931,1,decode
warmup_0,0,1.9358079433441162,18,1836931,1,decode
warmup_0,0,1.8982720375061035,19,1836931,1,decode
warmup_0,0,2.194272041320801,20,1836931,1,decode
warmup_0,0,2.120512008666992,21,1836931,1,decode
warmup_0,0,2.212735891342163,22,1836931,1,decode
warmup_0,0,2.2146880626678467,23,1836931,1,decode
warmup_0,0,2.139456033706665,24,1836931,1,decode
warmup_0,0,2.144479990005493,25,1836931,1,decode
warmup_0,0,2.1822080612182617,26,1836931,1,decode
warmup_0,0,2.2274560928344727,27,1836931,1,decode
warmup_0,0,2.1582720279693604,28,1836931,1,decode
warmup_0,0,2.0663039684295654,29,1836931,1,decode
warmup_0,0,2.1698238849639893,30,1836931,1,decode
warmup_0,0,2.1570239067077637,31,1836931,1,decode
warmup_0,0,2.1764800548553467,32,1836931,1,decode
warmup_0,0,2.169248104095459,33,1836931,1,decode
warmup_0,0,2.1361920833587646,34,1836931,1,decode
warmup_0,0,2.247231960296631,35,1836931,1,decode
warmup_0,0,2.2513599395751953,36,1836931,1,decode
warmup_0,0,2.1349759101867676,37,1836931,1,decode
warmup_0,0,2.1940479278564453,38,1836931,1,decode
warmup_0,0,2.1542398929595947,39,1836931,1,decode
warmup_0,0,2.3056960105895996,40,1836931,1,decode
warmup_0,0,2.0004160404205322,41,1836931,1,decode
warmup_0,0,2.231775999069214,42,1836931,1,decode
warmup_0,0,2.156383991241455,43,1836931,1,decode
warmup_0,0,2.127295970916748,44,1836931,1,decode
warmup_0,0,2.2094719409942627,45,1836931,1,decode
warmup_0,0,2.0679359436035156,46,1836931,1,decode
warmup_0,0,2.154400110244751,47,1836931,1,decode
warmup_0,0,3.8602559566497803,0,1836931,1,decode
warmup_0,0,2.1446080207824707,1,1836931,1,decode
warmup_0,0,2.3499839305877686,2,1836931,1,decode
warmup_0,0,2.246783971786499,3,1836931,1,decode
warmup_0,0,2.284224033355713,4,1836931,1,decode
warmup_0,0,2.1461119651794434,5,1836931,1,decode
warmup_0,0,2.1870720386505127,6,1836931,1,decode
warmup_0,0,2.2176640033721924,7,1836931,1,decode
warmup_0,0,2.2582080364227295,8,1836931,1,decode
warmup_0,0,2.4600000381469727,9,1836931,1,decode
warmup_0,0,2.247551918029785,10,1836931,1,decode
warmup_0,0,2.146559953689575,11,1836931,1,decode
warmup_0,0,2.1911680698394775,12,1836931,1,decode
warmup_0,0,2.204063892364502,13,1836931,1,decode
warmup_0,0,17.855104446411133,14,1836931,1,decode
warmup_0,0,2.1655681133270264,15,1836931,1,decode
warmup_0,0,2.1611199378967285,16,1836931,1,decode
warmup_0,0,2.305056095123291,17,1836931,1,decode
warmup_0,0,2.2033920288085938,18,1836931,1,decode
warmup_0,0,15.880703926086426,19,1836931,1,decode
warmup_0,0,2.309983968734741,20,1836931,1,decode
warmup_0,0,2.161504030227661,21,1836931,1,decode
warmup_0,0,3.0862720012664795,22,1836931,1,decode
warmup_0,0,3.3770558834075928,23,1836931,1,decode
warmup_0,0,2.9551360607147217,24,1836931,1,decode
warmup_0,0,2.9774720668792725,25,1836931,1,decode
warmup_0,0,12.452223777770996,26,1836931,1,decode
warmup_0,0,2.1773440837860107,27,1836931,1,decode
warmup_0,0,2.1055359840393066,28,1836931,1,decode
warmup_0,0,2.184096097946167,29,1836931,1,decode
warmup_0,0,2.026655912399292,30,1836931,1,decode
warmup_0,0,2.1243200302124023,31,1836931,1,decode
warmup_0,0,2.440256118774414,32,1836931,1,decode
warmup_0,0,2.1855359077453613,33,1836931,1,decode
warmup_0,0,2.253920078277588,34,1836931,1,decode
warmup_0,0,7.820352077484131,35,1836931,1,decode
warmup_0,0,2.242079973220825,36,1836931,1,decode
warmup_0,0,2.1200640201568604,37,1836931,1,decode
warmup_0,0,2.1389119625091553,38,1836931,1,decode
warmup_0,0,2.1028800010681152,39,1836931,1,decode
warmup_0,0,2.3287999629974365,40,1836931,1,decode
warmup_0,0,2.1598401069641113,41,1836931,1,decode
warmup_0,0,2.2151360511779785,42,1836931,1,decode
warmup_0,0,2.1496639251708984,43,1836931,1,decode
warmup_0,0,2.0318078994750977,44,1836931,1,decode
warmup_0,0,2.237504005432129,45,1836931,1,decode
warmup_0,0,2.197376012802124,46,1836931,1,decode
warmup_0,0,2.1381120681762695,47,1836931,1,decode
warmup_0,0,3.8792319297790527,0,1836931,1,decode
warmup_0,0,1.9934719800949097,1,1836931,1,decode
warmup_0,0,2.0153279304504395,2,1836931,1,decode
warmup_0,0,2.0050880908966064,3,1836931,1,decode
warmup_0,0,2.470207929611206,4,1836931,1,decode
warmup_0,0,2.1823999881744385,5,1836931,1,decode
warmup_0,0,2.1721279621124268,6,1836931,1,decode
warmup_0,0,2.218048095703125,7,1836931,1,decode
warmup_0,0,2.1261439323425293,8,1836931,1,decode
warmup_0,0,2.055936098098755,9,1836931,1,decode
warmup_0,0,2.014496088027954,10,1836931,1,decode
warmup_0,0,1.9379839897155762,11,1836931,1,decode
warmup_0,0,1.966271996498108,12,1836931,1,decode
warmup_0,0,2.150912046432495,13,1836931,1,decode
warmup_0,0,2.2555840015411377,14,1836931,1,decode
warmup_0,0,2.190272092819214,15,1836931,1,decode
warmup_0,0,2.2840960025787354,16,1836931,1,decode
warmup_0,0,2.2824959754943848,17,1836931,1,decode
warmup_0,0,1.9567680358886719,18,1836931,1,decode
warmup_0,0,1.9690879583358765,19,1836931,1,decode
warmup_0,0,1.91702401638031,20,1836931,1,decode
warmup_0,0,2.0067520141601562,21,1836931,1,decode
warmup_0,0,2.0542080402374268,22,1836931,1,decode
warmup_0,0,2.173504114151001,23,1836931,1,decode
warmup_0,0,2.1849920749664307,24,1836931,1,decode
warmup_0,0,2.2208640575408936,25,1836931,1,decode
warmup_0,0,2.1734719276428223,26,1836931,1,decode
warmup_0,0,2.1480319499969482,27,1836931,1,decode
warmup_0,0,2.0174720287323,28,1836931,1,decode
warmup_0,0,2.22873592376709,29,1836931,1,decode
warmup_0,0,2.194528102874756,30,1836931,1,decode
warmup_0,0,2.152895927429199,31,1836931,1,decode
warmup_0,0,2.156320095062256,32,1836931,1,decode
warmup_0,0,2.2142720222473145,33,1836931,1,decode
warmup_0,0,2.0830719470977783,34,1836931,1,decode
warmup_0,0,1.975167989730835,35,1836931,1,decode
warmup_0,0,1.9419519901275635,36,1836931,1,decode
warmup_0,0,1.941823959350586,37,1836931,1,decode
warmup_0,0,1.914720058441162,38,1836931,1,decode
warmup_0,0,2.136512041091919,39,1836931,1,decode
warmup_0,0,2.1822080612182617,40,1836931,1,decode
warmup_0,0,2.1067841053009033,41,1836931,1,decode
warmup_0,0,2.156064033508301,42,1836931,1,decode
warmup_0,0,2.1057920455932617,43,1836931,1,decode
warmup_0,0,2.1401920318603516,44,1836931,1,decode
warmup_0,0,2.0473599433898926,45,1836931,1,decode
warmup_0,0,3.1992640495300293,46,1836931,1,decode
warmup_0,0,2.244960069656372,47,1836931,1,decode
warmup_0,0,2.4061119556427,0,1836931,1,decode
warmup_0,0,2.419584035873413,1,1836931,1,decode
warmup_0,0,2.5293118953704834,2,1836931,1,decode
warmup_0,0,7.920224189758301,3,1836931,1,decode
warmup_0,0,2.083103895187378,4,1836931,1,decode
warmup_0,0,2.2016639709472656,5,1836931,1,decode
warmup_0,0,2.075808048248291,6,1836931,1,decode
warmup_0,0,2.1971840858459473,7,1836931,1,decode
warmup_0,0,2.2906880378723145,8,1836931,1,decode
warmup_0,0,2.1814401149749756,9,1836931,1,decode
warmup_0,0,2.1580159664154053,10,1836931,1,decode
warmup_0,0,2.2457919120788574,11,1836931,1,decode
warmup_0,0,2.2905919551849365,12,1836931,1,decode
warmup_0,0,2.304800033569336,13,1836931,1,decode
warmup_0,0,2.2043519020080566,14,1836931,1,decode
warmup_0,0,2.1739840507507324,15,1836931,1,decode
warmup_0,0,2.2045440673828125,16,1836931,1,decode
warmup_0,0,2.070496082305908,17,1836931,1,decode
warmup_0,0,2.205375909805298,18,1836931,1,decode
warmup_0,0,2.2423040866851807,19,1836931,1,decode
warmup_0,0,2.247744083404541,20,1836931,1,decode
warmup_0,0,2.216928005218506,21,1836931,1,decode
warmup_0,0,2.205183982849121,22,1836931,1,decode
warmup_0,0,7.5483198165893555,23,1836931,1,decode
warmup_0,0,2.47708797454834,24,1836931,1,decode
warmup_0,0,2.1942079067230225,25,1836931,1,decode
warmup_0,0,5.862880229949951,26,1836931,1,decode
warmup_0,0,2.7198400497436523,27,1836931,1,decode
warmup_0,0,2.1105599403381348,28,1836931,1,decode
warmup_0,0,2.2435200214385986,29,1836931,1,decode
warmup_0,0,2.672192096710205,30,1836931,1,decode
warmup_0,0,2.1633920669555664,31,1836931,1,decode
warmup_0,0,2.2101759910583496,32,1836931,1,decode
warmup_0,0,2.2410879135131836,33,1836931,1,decode
warmup_0,0,2.289344072341919,34,1836931,1,decode
