decode_layer_cuda_ms,decode_sample_count,image_count,images,kind,lm_plus_decode_ms,output_text,output_token_ids,prefill_layer_cuda_ms,prefill_sample_count,prompt_tokens,repetition,request_id,vision_encode_ms,visual_tokens,wall_ms
114.92984002828598,378,1,[0],independent_image,4709.970896682129,A,[32],119.6665917634964,6,221,0,independent_1,27.726463317871094,196,4737.69736
120.25854420661926,378,1,[1],independent_image,4935.707312593811,A,[32],152.0031350851059,6,221,0,independent_2,23.088080406188965,196,4958.795393
126.27231961488724,378,1,[2],independent_image,4869.864390173645,A,[32],108.49347203969955,6,221,0,independent_3,21.84607982635498,196,4891.71047
126.5700798034668,378,1,[3],independent_image,4793.020956359558,A,[32],137.05092877149582,6,221,0,independent_4,28.046223640441895,196,4821.06718
109.62644803524017,378,1,[0],single_control,4934.314305225952,A,[32],142.9493768811226,6,221,0,single_control,20.12932777404785,196,4954.443633
122.87671983242035,378,2,"[0, 1]",combined_2,5229.552973924744,The,[785],105.0869442820549,6,423,0,multi_2,27.891488075256348,392,5257.444462
132.30876803398132,378,4,"[0, 1, 2, 3]",combined_4,5238.6556652846675,The,[785],113.26185631752014,6,827,0,multi_4,38.43592071533203,784,5277.091586
110.67681539058685,378,1,[0],prefix_segment,4969.104627828369,A,[32],104.2687201499939,6,221,0,prefix_1,20.24563217163086,196,4989.35026
111.17456048727036,378,2,"[0, 1]",prefix_segment,5065.206007429443,The,[785],151.75787162780762,6,423,0,prefix_2,22.38412857055664,392,5087.590136
105.56059229373932,378,3,"[0, 1, 2]",prefix_segment,4814.95513465271,The,[785],116.04185628890991,6,625,0,prefix_3,36.05784034729004,588,4851.012975
105.33027237653732,378,4,"[0, 1, 2, 3]",prefix_segment,5048.044606763184,The,[785],106.82569569349289,6,827,0,prefix_4,20.845680236816406,784,5068.890287
114.92984002828598,378,1,[0],independent_image,4727.495613682129,A,[32],119.6665917634964,6,221,1,independent_1,27.726463317871094,196,4755.222077
120.25854420661926,378,1,[1],independent_image,5261.528996593811,A,[32],152.0031350851059,6,221,1,independent_2,23.088080406188965,196,5284.617077
126.27231961488724,378,1,[2],independent_image,5124.001037173645,A,[32],108.49347203969955,6,221,1,independent_3,21.84607982635498,196,5145.847117
126.5700798034668,378,1,[3],independent_image,4989.511140359558,A,[32],137.05092877149582,6,221,1,independent_4,28.046223640441895,196,5017.557364
109.62644803524017,378,1,[0],single_control,4903.5684332259525,A,[32],142.9493768811226,6,221,1,single_control,20.12932777404785,196,4923.697761
122.87671983242035,378,2,"[0, 1]",combined_2,4896.365680924744,The,[785],105.0869442820549,6,423,1,multi_2,27.891488075256348,392,4924.257169
132.30876803398132,378,4,"[0, 1, 2, 3]",combined_4,5475.359051284668,The,[785],113.26185631752014,6,827,1,multi_4,38.43592071533203,784,5513.794972
110.67681539058685,378,1,[0],prefix_segment,4559.0244858283695,A,[32],104.2687201499939,6,221,1,prefix_1,20.24563217163086,196,4579.270118
111.17456048727036,378,2,"[0, 1]",prefix_segment,5054.295355429444,The,[785],151.75787162780762,6,423,1,prefix_2,22.38412857055664,392,5076.679484
105.56059229373932,378,3,"[0, 1, 2]",prefix_segment,4618.04656165271,The,[785],116.04185628890991,6,625,1,prefix_3,36.05784034729004,588,4654.104402
105.33027237653732,378,4,"[0, 1, 2, 3]",prefix_segment,4260.715036763184,The,[785],106.82569569349289,6,827,1,prefix_4,20.845680236816406,784,4281.560717
114.92984002828598,378,1,[0],independent_image,4005.784225682129,A,[32],119.6665917634964,6,221,2,independent_1,27.726463317871094,196,4033.510689
120.25854420661926,378,1,[1],independent_image,4711.367419593811,A,[32],152.0031350851059,6,221,2,independent_2,23.088080406188965,196,4734.4555
126.27231961488724,378,1,[2],independent_image,4137.065227173645,A,[32],108.49347203969955,6,221,2,independent_3,21.84607982635498,196,4158.911307
126.5700798034668,378,1,[3],independent_image,4249.513532359558,A,[32],137.05092877149582,6,221,2,independent_4,28.046223640441895,196,4277.559756
109.62644803524017,378,1,[0],single_control,3456.274202225952,A,[32],142.9493768811226,6,221,2,single_control,20.12932777404785,196,3476.40353
122.87671983242035,378,2,"[0, 1]",combined_2,3550.7888559247435,The,[785],105.0869442820549,6,423,2,multi_2,27.891488075256348,392,3578.680344
132.30876803398132,378,4,"[0, 1, 2, 3]",combined_4,4073.6317732846683,The,[785],113.26185631752014,6,827,2,multi_4,38.43592071533203,784,4112.067694
110.67681539058685,378,1,[0],prefix_segment,3388.820639828369,A,[32],104.2687201499939,6,221,2,prefix_1,20.24563217163086,196,3409.066272
111.17456048727036,378,2,"[0, 1]",prefix_segment,3412.6539214294435,The,[785],151.75787162780762,6,423,2,prefix_2,22.38412857055664,392,3435.03805
105.56059229373932,378,3,"[0, 1, 2]",prefix_segment,3403.26000065271,The,[785],116.04185628890991,6,625,2,prefix_3,36.05784034729004,588,3439.317841
105.33027237653732,378,4,"[0, 1, 2, 3]",prefix_segment,3417.7948937631836,The,[785],106.82569569349289,6,827,2,prefix_4,20.845680236816406,784,3438.640574
