variant,wave,ep_rank,max_abs,mean_abs,cosine,expected_token,actual_token
A0,13,0,0.0,0.0,1.0,1986,1986
A0,27,0,0.0,0.0,1.0000001192092896,785,785
A0,41,0,0.0,0.0,1.0000001192092896,1986,1986
A0,13,2,0.0,0.0,1.0,1986,1986
A0,27,2,0.0,0.0,1.0000001192092896,785,785
A0,41,2,0.0,0.0,1.0000001192092896,1986,1986
A1,13,0,0.0,0.0,1.0,1986,1986
A1,27,0,0.0,0.0,1.0000001192092896,785,785
A1,41,0,0.0,0.0,1.0000001192092896,1986,1986
A1,13,2,0.0,0.0,1.0,1986,1986
A1,27,2,0.0,0.0,1.0000001192092896,785,785
A1,41,2,0.0,0.0,1.0000001192092896,1986,1986
A2,13,0,0.0,0.0,1.0,1986,1986
A2,27,0,0.0,0.0,1.0000001192092896,785,785
A2,41,0,0.578125,0.09086545556783676,0.9993609189987183,1986,1986
A2,13,2,0.0,0.0,1.0,1986,1986
A2,27,2,0.0,0.0,1.0000001192092896,785,785
A2,41,2,0.578125,0.09086545556783676,0.9993609189987183,1986,1986
C,13,0,0.0,0.0,1.0,1986,1986
C,27,0,0.0,0.0,1.0000001192092896,785,785
C,41,0,0.578125,0.09086545556783676,0.9993609189987183,1986,1986
C,13,2,0.0,0.0,1.0,1986,1986
C,27,2,0.0,0.0,1.0000001192092896,785,785
C,41,2,0.578125,0.09086545556783676,0.9993609189987183,1986,1986
