variant,stage,layer,critical_span_ms,critical_ep_rank,calls_per_rank
A0,attention,0,1.893312007188797,1,1
A0,attention,1,1.465951919555664,1,1
A0,attention,2,1.4224319458007812,1,1
A0,attention,3,1.4139842987060547,1,1
A0,attention,4,1.3892498016357422,1,1
A0,attention,5,1.3791999816894531,1,1
A0,attention,6,1.3608951568603516,1,1
A0,attention,7,1.3792953491210938,1,1
A0,attention,8,1.3703346252441406,1,1
A0,attention,9,1.3203849792480469,1,1
A0,attention,10,1.3221435546875,1,1
A0,attention,11,1.3567352294921875,1,1
A0,attention,12,1.3472976684570312,1,1
A0,attention,13,1.3292465209960938,1,1
A0,attention,14,1.5014724731445312,1,1
A0,attention,15,1.3279037475585938,1,1
A0,attention,16,1.3334083557128906,1,1
A0,attention,17,1.3696365356445312,1,1
A0,attention,18,1.3672027587890625,1,1
A0,attention,19,1.3349761962890625,1,1
A0,attention,20,1.3624267578125,1,1
A0,attention,21,1.3483505249023438,1,1
A0,attention,22,1.38726806640625,1,1
A0,attention,23,1.3679962158203125,1,1
A0,attention,24,1.3744964599609375,1,1
A0,attention,25,1.3644790649414062,1,1
A0,attention,26,1.3538589477539062,1,1
A0,attention,27,1.368865966796875,1,1
A0,attention,28,1.3674240112304688,1,1
A0,attention,29,1.368316650390625,1,1
A0,attention,30,1.351043701171875,1,1
A0,attention,31,1.362945556640625,1,1
A0,attention,32,1.3480300903320312,1,1
A0,attention,33,1.314788818359375,1,1
A0,attention,34,1.3101348876953125,1,1
A0,attention,35,1.378082275390625,1,1
A0,attention,36,1.3652801513671875,1,1
A0,attention,37,1.339263916015625,1,1
A0,attention,38,1.340087890625,1,1
A0,attention,39,1.3713836669921875,1,1
A0,attention,40,1.3938751220703125,1,1
A0,attention,41,1.3921966552734375,1,1
A0,attention,42,1.315460205078125,1,1
A0,attention,43,1.3569793701171875,1,1
A0,attention,44,1.379486083984375,1,1
A0,attention,45,1.3634490966796875,1,1
A0,attention,46,1.32269287109375,1,1
A0,attention,47,1.3448944091796875,1,1
A0,combine_comm,0,0.33676767349243164,1,1
A0,combine_comm,1,0.586400032043457,1,1
A0,combine_comm,2,0.3214082717895508,1,1
A0,combine_comm,3,0.6032962799072266,2,1
A0,combine_comm,4,0.36748695373535156,1,1
A0,combine_comm,5,0.31817626953125,1,1
A0,combine_comm,6,0.36415863037109375,1,1
A0,combine_comm,7,0.32889556884765625,1,1
