rank,case,rep,policy,stage,cpu_nvtx_union_ms,gpu_activity_union_ms,gpu_kernel_sum_ms,memcpy_sum_ms,activity_count
0,0,0,libra,Attention,29.002061,16.313849,16.313849,0.0,517
0,0,0,libra,Attention_first,0.534136,0.348194,0.348194,0.0,11
0,0,0,libra,Combine,13.039208,0.488165,0.488165,0.0,47
0,0,0,libra,Combine_first,0.189918,0.0,0.0,0.0,0
0,0,0,libra,Copy Buffer,5.934859,10.045447,0.0,10.045447,184
0,0,0,libra,Copy Buffer_first,0.091785,0.229793,0.0,0.229793,4
0,0,0,libra,Dispatch,41.833651,5.660978,4.002606,1.660804,748
0,0,0,libra,Dispatch_first,0.499564,0.064577,0.041281,0.023296,5
0,0,0,libra,MoE Local,28.829184,22.399478,22.399478,0.0,423
0,0,0,libra,MoE Remote,34.548158,38.230005,38.15074,0.079265,564
0,0,0,libra,MoE_first,0.827145,1.027686,1.027686,0.0,13
0,0,0,libra,Postprocess,8.261745,0.50861,0.50861,0.0,94
0,0,0,libra,Postprocess_first,0.198691,0.012544,0.012544,0.0,2
0,0,0,libra,Prefetch,31.508563,8.201025,0.0,8.201025,512
0,0,0,libra,Prefetch_first,1.148744,0.427394,0.090945,0.336449,21
0,0,0,libra,RMSNorm,11.346459,0.818181,0.731556,0.08662500000000001,235
0,0,0,libra,RMSNorm_first,0.054693,0.006016,0.006016,0.0,1
0,0,0,libra,UNATTRIBUTED,0.0,0.377153,0.358529,0.018624,49
0,0,0,libra,cub::DeviceScan::InclusiveScan,0.096355,0.013344,0.013344,0.0,8
0,0,0,libra,forward_mid,279.988804,38.436246,34.96081,3.475436,793
0,0,0,libra,forward_mid_first,3.639936,0.0,0.0,0.0,0
0,0,0,libra,ncclAllGather,1.755045,31.953081,31.953081,0.0,49
0,0,0,libra,ncclAllReduce,1.875795,39.551128,39.551128,0.0,48
0,0,0,libra,ncclReduceScatter,0.157052,0.0,0.0,0.0,0
1,0,0,libra,Attention,28.683738,16.358112,16.358112,0.0,517
1,0,0,libra,Attention_first,0.546216,0.349984,0.349984,0.0,11
1,0,0,libra,Combine,13.622175,0.533537,0.533537,0.0,47
1,0,0,libra,Combine_first,0.193166,0.0,0.0,0.0,0
1,0,0,libra,Copy Buffer,5.82717,10.182384,0.0,10.182384,184
1,0,0,libra,Copy Buffer_first,0.087992,0.209376,0.0,0.209376,4
1,0,0,libra,Dispatch,40.827972,5.792226,4.145728,1.652034,748
1,0,0,libra,Dispatch_first,0.520135,0.067456,0.044128,0.023392,5
1,0,0,libra,MoE Local,30.477862,22.34765,22.34765,0.0,423
1,0,0,libra,MoE Remote,34.621427,38.137944,38.059416,0.078528,564
1,0,0,libra,MoE_first,0.84141,1.107586,1.107586,0.0,13
1,0,0,libra,Postprocess,8.339918,0.512768,0.512768,0.0,94
1,0,0,libra,Postprocess_first,0.190311,0.010496,0.010496,0.0,2
1,0,0,libra,Prefetch,32.728219,10.209586,0.0,10.209586,638
1,0,0,libra,Prefetch_first,0.977562,0.157217,0.062752,0.09446500000000001,11
1,0,0,libra,RMSNorm,11.217586,0.838017,0.753153,0.084864,235
1,0,0,libra,RMSNorm_first,0.057244,0.006144,0.006144,0.0,1
1,0,0,libra,UNATTRIBUTED,0.0,0.31376,0.29344,0.02032,47
1,0,0,libra,cub::DeviceScan::InclusiveScan,0.096038,0.013824,0.013824,0.0,8
1,0,0,libra,forward_mid,282.686639,37.177334,33.754002,3.423332,793
1,0,0,libra,forward_mid_first,3.513061,0.0,0.0,0.0,0
1,0,0,libra,ncclAllGather,1.85184,32.929688,32.929688,0.0,49
1,0,0,libra,ncclAllReduce,2.013168,32.213559,32.213559,0.0,48
1,0,0,libra,ncclReduceScatter,0.168792,0.0,0.0,0.0,0
2,0,0,libra,Attention,29.846222,16.327946,16.327946,0.0,517
2,0,0,libra,Attention_first,0.560333,0.347745,0.34774499999999997,0.0,11
2,0,0,libra,Combine,13.54721,0.515939,0.515939,0.0,47
2,0,0,libra,Combine_first,0.186342,0.0,0.0,0.0,0
2,0,0,libra,Copy Buffer,6.276567,10.153902,0.0,10.153902,184
2,0,0,libra,Copy Buffer_first,0.09004,0.237857,0.0,0.23785699999999999,4
2,0,0,libra,Dispatch,41.979733,5.771265,4.160792,1.618441,748
2,0,0,libra,Dispatch_first,0.512894,0.066016,0.043136,0.02288,5
2,0,0,libra,MoE Local,29.323972,21.614723,21.614723,0.0,423
2,0,0,libra,MoE Remote,33.702593,39.255938,39.176738,0.07919999999999999,564
2,0,0,libra,MoE_first,0.856202,1.202373,1.2023730000000001,0.0,13
2,0,0,libra,Postprocess,7.981778,0.504741,0.504741,0.0,94
2,0,0,libra,Postprocess_first,0.181577,0.010464,0.010464,0.0,2
2,0,0,libra,Prefetch,32.607797,7.97947,0.0,7.97947,502
2,0,0,libra,Prefetch_first,0.953014,0.2832,0.13056,0.15264,13
2,0,0,libra,RMSNorm,12.33466,0.832708,0.747396,0.085312,235
2,0,0,libra,RMSNorm_first,0.057687,0.006112,0.006112,0.0,1
2,0,0,libra,UNATTRIBUTED,0.0,0.201056,0.182624,0.018432,47
2,0,0,libra,cub::DeviceScan::InclusiveScan,0.106126,0.014016,0.014016,0.0,8
2,0,0,libra,forward_mid,281.57716,36.325863,32.967228,3.358635,793
2,0,0,libra,forward_mid_first,3.491382,0.0,0.0,0.0,0
2,0,0,libra,ncclAllGather,1.798905,30.938448,30.938448,0.0,49
2,0,0,libra,ncclAllReduce,2.045488,39.665272,39.665272,0.0,48
