request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_0,0,1,[32],32,20,1,0.625,1,middle
measured_0,1,1,[32],32,19,3,0.59375,3,middle
measured_0,2,1,[32],32,16,2,0.5,2,middle
measured_0,3,1,[32],32,14,12,0.4375,12,middle
measured_0,4,1,[32],32,11,1,0.34375,1,middle
measured_0,5,1,[32],32,10,4,0.3125,4,late
measured_0,6,1,[32],32,6,1,0.1875,1,late
measured_0,7,1,[32],32,5,1,0.15625,1,late
measured_0,8,1,[32],32,4,1,0.125,1,late
measured_0,9,1,[32],32,3,1,0.09375,1,late
measured_0,10,1,[32],32,2,2,0.0625,2,late
measured_0,11,1,[32],32,2,1,0.0625,1,late
measured_0,12,1,[32],32,1,1,0.03125,1,late
measured_0,13,1,[32],32,0,0,0.0,0,late
measured_0,14,1,[64],32,32,1,1.0,1,early
measured_0,15,1,[32],32,0,0,0.0,0,late
measured_0,16,1,[64],32,32,4,1.0,4,early
measured_0,17,1,[64],32,31,5,0.96875,5,early
measured_0,18,1,[64],32,28,3,0.875,3,early
measured_0,19,1,[64],32,26,2,0.8125,2,early
measured_0,20,1,[64],32,25,1,0.78125,1,early
measured_0,21,1,[64],32,24,1,0.75,1,early
measured_0,22,1,[64],32,24,1,0.75,1,early
measured_0,23,1,[64],32,23,2,0.71875,2,early
measured_0,24,1,[64],32,23,1,0.71875,1,early
measured_0,25,1,[64],32,22,1,0.6875,1,early
measured_0,26,1,[64],32,21,1,0.65625,1,middle
measured_0,27,1,[64],32,21,1,0.65625,1,middle
measured_0,28,1,[64],32,20,1,0.625,1,middle
measured_0,29,1,[64],32,20,1,0.625,1,middle
measured_0,30,1,[64],32,19,1,0.59375,1,middle
measured_0,31,1,[64],32,19,2,0.59375,2,middle
measured_0,32,1,[64],32,18,2,0.5625,2,middle
measured_0,33,1,[64],32,17,1,0.53125,1,middle
measured_0,34,1,[64],32,16,1,0.5,1,middle
measured_0,35,1,[64],32,16,3,0.5,3,middle
measured_0,36,1,[64],32,15,1,0.46875,1,middle
measured_0,37,1,[64],32,14,1,0.4375,1,middle
measured_0,38,1,[64],32,13,13,0.40625,13,middle
measured_0,39,1,[64],32,13,1,0.40625,1,middle
measured_0,40,1,[64],32,12,4,0.375,4,middle
measured_0,41,1,[64],32,8,1,0.25,1,late
measured_0,42,1,[64],32,7,7,0.21875,7,late
