lag,phase,layer_group,token_pairs,wave_pairs,ordered_expert_agreement,topk_set_agreement,topk_expert_overlap_fraction,destination_set_agreement,destination_overlap_fraction,rank_load_cosine,critical_rank_persistence,topk_weight_cosine
1,all,all,399776,12493,0.41037918734491313,0.29106549667813975,0.7429322920835668,0.6747928840150484,0.9317544908482083,0.9941501462277628,0.8718482350116065,0.9899952652228491
1,all,early_layers,128960,4030,0.4685144618486352,0.347852047146402,0.7666446960297767,0.7028613523573201,0.9362024400330852,0.9924798599893877,0.8550868486352358,0.9930232580215035
1,all,middle_layers,141856,4433,0.3757736718926235,0.2621461200090232,0.7232413503834875,0.653268102864877,0.9277859237536656,0.9951105613094957,0.8872095646289194,0.9891968471876909
1,all,late_layers,128960,4030,0.3903099798387097,0.26609026054590573,0.7408799240074442,0.6704016749379652,0.9316719654673283,0.9947639758762316,0.871712158808933,0.9878455322628689
1,early,all,125984,3937,0.2822074628524257,0.1522018669037338,0.6538191357632716,0.56874682499365,0.9081166391499449,0.9919371838896942,0.8834137668275337,0.9880025405999758
1,early,early_layers,40640,1270,0.3441283218503937,0.21370570866141733,0.6790784940944882,0.6016732283464566,0.9138123359580052,0.9882524138578491,0.878740157480315,0.9911206269314087
1,early,middle_layers,44704,1397,0.23083504831782392,0.10974409448818898,0.608922020400859,0.5208035075161059,0.8975893283225961,0.9940708838170245,0.8890479599141017,0.9857011885397569
1,early,late_layers,40640,1270,0.2767962598425197,0.1374015748031496,0.6779466043307086,0.5885580708661418,0.9140009842519685,0.9932748840014759,0.8818897637795275,0.9874159415347838
1,middle,all,134912,4216,0.4280957216555977,0.31051351992409865,0.7560178116105313,0.6885228889943074,0.9351552617014547,0.9944478525072922,0.8681214421252372,0.9906848447288668
1,middle,early_layers,43520,1360,0.4785012637867647,0.3584558823529412,0.7701889935661764,0.7052159926470588,0.9364028033088235,0.9926693921830386,0.8352941176470589,0.9930119554498507
1,middle,middle_layers,47872,1496,0.4009833514371658,0.28941761363636365,0.7456524690842246,0.6780163770053476,0.9336633801247771,0.9953246786383013,0.893048128342246,0.9900515611323324
1,middle,late_layers,43520,1360,0.4075137867647059,0.2857766544117647,0.7532485064338236,0.6833869485294117,0.9355487898284313,0.9952618040874358,0.8735294117647059,0.9890543459640706
1,late,all,138880,4340,0.5094389040898617,0.39814228110599076,0.8110590077764976,0.7576540898617512,0.949893793202765,0.9958684188200393,0.8649769585253456,0.9911330738963242
1,late,early_layers,44800,1400,0.5716489955357142,0.4592410714285714,0.84263671875,0.7923660714285714,0.9563188244047618,0.9961306405634509,0.8528571428571429,0.994760195865695
1,late,middle_layers,49280,1540,0.4827643060064935,0.37390422077922075,0.805174512987013,0.7493912337662337,0.9494690205627705,0.9958456976296834,0.8798701298701299,0.9915376154149508
1,late,late_layers,44800,1400,0.4765708705357143,0.3637053571428571,0.7859542410714285,0.73203125,0.9439360119047618,0.9956311903860189,0.8607142857142858,0.9870609562564642
2,all,all,365056,11408,0.33757834414446003,0.21962383853436185,0.6741397210291024,0.6043428953366059,0.9147806546575501,0.990769064388719,0.8384467040673211,0.9871710882158715
2,all,early_layers,117760,3680,0.3819123641304348,0.25855978260869567,0.6887546705163043,0.6234799592391305,0.9163885586503623,0.9873370063297537,0.8097826086956522,0.9903674506334305
2,all,middle_layers,129536,4048,0.31199724400938733,0.19992897727272727,0.6617697010869565,0.5904844985177866,0.913179219161726,0.9927031277197723,0.8601778656126482,0.9870673743658239
2,all,late_layers,117760,3680,0.32138353430706523,0.20235224184782608,0.6731317934782609,0.6004500679347826,0.9149343297101449,0.9920736527835258,0.8432065217391305,0.9840888110333649
2,early,all,124992,3906,0.2279565892217102,0.10644681259600615,0.5899897593445981,0.5066164234511009,0.892558457074586,0.9879603869445149,0.8543266769073221,0.9854033468105186
2,early,early_layers,40320,1260,0.2685174851190476,0.14320436507936507,0.6014477926587302,0.5240079365079365,0.8936900628306877,0.9816265352219881,0.8373015873015873,0.9886684246908223
2,early,middle_layers,44352,1386,0.1946642766955267,0.0817099567099567,0.5594533504689755,0.47632575757575757,0.8866154100529101,0.9914808111335303,0.8672438672438673,0.9840571303081848
2,early,late_layers,40320,1260,0.22401723710317462,0.09689980158730159,0.6121217757936508,0.5225446428571429,0.8979642030423282,0.9904217720591245,0.8571428571428571,0.9836191070827818
2,middle,all,132928,4154,0.3539171581608089,0.2389338589311507,0.6814375075228696,0.6146033943187289,0.9171650567725886,0.9906136524600281,0.8257101588830044,0.9872457010637418
2,middle,early_layers,42880,1340,0.3941143889925373,0.2733208955223881,0.6869402985074626,0.6247434701492537,0.9158523787313433,0.987073554087965,0.7805970149253731,0.9898907536654664
2,middle,middle_layers,47168,1474,0.33318934447082765,0.22307496607869742,0.6786115586838535,0.6095870081411127,0.9178645126639529,0.9924869572478857,0.8534599728629579,0.9874549576294895
2,middle,late_layers,42880,1340,0.3365205223880597,0.22199160447761193,0.679043260261194,0.6099813432835821,0.9177083333333332,0.9920931155654475,0.8402985074626865,0.9843704662396948
