stage,logical_layer_invocations,median_critical_ms,p95_critical_ms,sum_critical_ms,share_of_observed_block_sum
prepare_attn,14272,0.17574399709701538,0.2620624095201492,2735.399264022708,0.04350963995459982
attention,14272,0.6476799845695496,1.008505618572235,10271.249149680138,0.16337591307579674
prepare_mlp,14272,0.2585279941558838,1.275214385986328,7463.82089304924,0.1187205699780053
mlp,14272,2.7566239833831787,3.773142397403717,42183.2918022275,0.670973288087974
postprocess,14272,0.013055999763309956,0.025536000728607178,215.0483520263806,0.0034205889036241915
block_critical_sum_ms,14272,3.9188001132570207,5.899926454480737,62868.80946100596,1.0
