ep_size,sample_id,request_id,block_id,iteration_id,nfe,layer_id,virtual_rank,active_experts,assignments,recv_unique_activation_rows,max_rows_per_expert,cv_rows_per_expert,latency_ms,p10_ms,p90_ms,split,backend
8,request3_nfe18_layer16_rank7,3,46,12,18,16,7,28,2313,977,339,1.008827815189062,0.6121919751167297,0.605292797088623,0.6246080040931702,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe16_layer7_rank6,1,46,5,16,7,6,29,1767,802,382,1.4952223599541972,0.5670400261878967,0.5583295941352844,0.5793535947799683,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe20_layer9_rank7,3,46,14,20,9,7,29,1679,777,221,0.9567449675992631,0.5582079887390137,0.5483967900276184,0.5692352175712585,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe17_layer1_rank3,1,46,6,17,1,3,30,1615,834,152,0.7448906114479632,0.5613759756088257,0.5476736068725586,0.5720064163208007,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe31_layer11_rank6,3,47,8,31,11,6,30,1298,647,158,1.0061574291292088,0.5216320157051086,0.5098688006401062,0.5359423995018006,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe36_layer6_rank3,1,47,6,36,6,3,31,2433,1190,808,1.8286875386118742,0.6624320149421692,0.6527104139328003,0.670143985748291,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe3_layer2_rank6,1,45,3,3,2,6,32,1096,554,138,0.9792998441604918,0.5090559720993042,0.49226239919662473,0.5226687908172607,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe50_layer8_rank5,3,48,9,50,8,5,32,3294,1300,445,1.0792617439466499,0.6992319822311401,0.6936831951141358,0.7115327954292298,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe0_layer15_rank4,1,45,0,0,15,4,18,227,157,33,0.8557261635452534,0.4148159921169281,0.3988479971885681,0.4368064045906067,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe7_layer6_rank5,1,45,7,7,6,5,24,493,267,110,1.5221566205408685,0.4333440065383911,0.4194559991359711,0.43969919681549074,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe21_layer6_rank0,3,46,15,21,6,0,24,754,407,137,1.091662600673954,0.4553599953651428,0.4413632094860077,0.46358399987220766,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe9_layer5_rank2,3,46,3,9,5,2,24,636,331,151,1.4945016111934228,0.4455359876155853,0.4375488042831421,0.4549503862857819,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe23_layer2_rank5,3,47,0,23,2,5,31,1483,732,163,0.9260968418242993,0.5502079725265503,0.5421887993812561,0.5635584115982055,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
