backend,layer,rows,output_cosine,output_rel_l2,output_max_abs,router_logits_max_abs
python_reference,0,32,0.9999999403953552,0.0005049555911682546,0.000244140625,0.0
vllm_fused,0,32,1.0,0.0005526478635147214,0.000244140625,0.0
