mode,moe_calls,a2a_collectives,remote_assignments,dispatch_remote_bytes,combine_remote_bytes,bidirectional_remote_bytes
baseline,1152,2304,149338,611688448,611688448,1223376896
team,768,1536,199528,817266688,817266688,1634533376
