mode,calls,physical_rows,computed_rows,assignments,local_assignments,remote_assignments_from_source,dispatch_bytes_hidden,combine_bytes_hidden,active_local_experts
baseline,1152,38400,38400,307200,157862,149338,1258291200,1258291200,32577
team,768,76800,50496,403968,204440,199528,1654652928,1654652928,18031
