stage,ms,clean_request_share_pct
router,323.5261130332947,9.693035786001957
prepare,314.7501438856125,9.430102503096974
dispatch,113.77142418920994,3.4086598937901815
expert,342.8463997542858,10.271883127957048
combine,216.6168000549078,6.489968847013504
moe_unattributed,51.54486432671547,1.5443149544224
attention,1016.0755848884583,30.44223204509347
other_decoder,800.0320006608963,23.969437086998767
lm_head,5.2470720410346985,0.1572054156266686
outside_decoder,153.3066981434822,4.593160339999032
