restart,warmup,baseline_s,team_s,speedup_x,backend
2,0,14.545825612265617,11.284144163597375,1.289049962618381,python_reference
3,0,14.686377494130284,11.589034599252045,1.2672649622668433,python_reference
4,1,12.022147157695144,7.751230371184647,1.5509985617751365,python_reference
fused_control,1,3.935979182831943,3.3377171009778976,1.1792428967927702,vllm_fused
