restart,requests,baseline_mean_s,team_mean_s,speedup_x
1,8,58.25131786498241,24.94948900002055,2.334769977250213
2,2,59.2328767508734,34.56518143415451,1.7136573364647314
3,2,59.406008081976324,32.42881434690207,1.8318896104707998
