mode,stage,ms,request_share_pct
baseline,router,354.3231680691242,3.015712277210538
baseline,prepare,476.14544010162354,4.052564943120373
baseline,dispatch,176.2670080512762,1.5002422312494659
baseline,expert,7541.579128742218,64.187822918951
baseline,combine,814.5797436535358,6.933044054358136
team,router,361.0195513367653,4.478557502733809
team,prepare,326.06172826886177,4.04489505924482
team,dispatch,120.91036799550056,1.4999299449004926
team,expert,4884.207801580429,60.59008553327462
team,combine,343.04966373741627,4.255635573344241
