mode,model_forwards,moe_layer_calls,physical_moe_rows,requested_moe_rows,token_expert_pairs,mean_active_experts_per_layer_call,expert_limited_rows
baseline,24,1152,38400,38400,307200,54.93055555555556,0
team,14,672,64512,64512,342528,46.330357142857146,0
