workload,repeat,layer,ep_rank,N,active_experts,Q,tail_count,padded_rows,padding_amplification,tail_oracle_speedup,expert_ms
L128_B1,0,0,0,225,27,27,27,3231,15.36,1.0155842944966098,0.8406080007553101
L128_B1,0,1,0,314,31,31,31,3654,12.636942675159236,1.0150761167954039,0.8125759959220886
L128_B1,0,2,0,277,25,25,25,2923,11.552346570397113,1.0186371548884205,0.756991982460022
L128_B1,0,3,0,314,28,28,28,3270,11.414012738853502,1.0126291471908004,0.7633919715881348
L128_B1,0,4,0,262,24,24,24,2810,11.725190839694656,1.0138884479137924,0.6931840181350708
L128_B1,0,5,0,263,21,21,21,2425,10.220532319391635,1.0133812776230788,0.6447359919548035
L128_B1,0,6,0,196,19,19,19,2236,12.408163265306122,1.0187838049561542,0.6091520190238953
L128_B1,0,7,0,376,20,20,20,2184,6.808510638297872,1.0156178783299195,0.6309760212898254
L128_B1,0,8,0,200,23,23,23,2744,14.72,1.0155818070490936,0.6756479740142822
L128_B1,0,9,0,111,14,14,14,1681,16.144144144144143,1.020273657457252,0.5343679785728455
L128_B1,0,10,0,361,23,23,23,2583,8.155124653739612,1.011565921964386,0.6439679861068726
L128_B1,0,11,0,229,22,22,22,2587,12.296943231441048,1.0148783876642888,0.6203839778900146
L128_B1,0,12,0,291,22,22,22,2525,9.676975945017182,1.010188991098517,0.6870719790458679
L128_B1,0,13,0,226,25,25,25,2974,14.15929203539823,1.0178171115924233,0.6713280081748962
L128_B1,0,14,0,352,24,24,24,2720,8.727272727272727,1.0132959838065385,0.6361600160598755
L128_B1,0,15,0,102,18,18,18,2202,22.58823529411765,1.0204191865356804,0.5723519921302795
L128_B1,0,16,0,255,21,21,21,2433,10.541176470588235,1.0165814965547946,0.6239359974861145
L128_B1,0,17,0,297,19,19,19,2135,8.188552188552189,1.012246548068707,0.6128960251808167
L128_B1,0,18,0,194,18,18,18,2110,11.876288659793815,1.0147056795564569,0.559328019618988
L128_B1,0,19,0,406,19,19,19,2026,5.990147783251231,1.0121786930895367,0.5776320099830627
L128_B1,0,20,0,210,14,14,14,1582,8.533333333333333,1.0125345395383152,0.5076799988746643
L128_B1,0,21,0,99,14,14,14,1693,18.1010101010101,1.0160997541981078,0.4984000027179718
L128_B1,0,22,0,290,24,24,24,2782,10.593103448275862,1.0119961160463224,0.6849920153617859
L128_B1,0,23,0,257,23,23,23,2687,11.455252918287938,1.0160996425817022,0.6349760293960571
L128_B1,0,24,0,326,22,22,22,2490,8.63803680981595,1.0108332517156207,0.6095359921455383
L128_B1,0,25,0,178,24,24,24,2894,17.258426966292134,1.0172621201755565,0.6901119947433472
L128_B1,0,26,0,316,25,25,25,2884,10.126582278481013,1.0140652172269358,0.7077760100364685
L128_B1,0,27,0,134,17,17,17,2042,16.238805970149254,1.016881857478365,0.5294399857521057
L128_B1,0,28,0,228,21,21,21,2460,11.789473684210526,1.0158385127197596,0.6144639849662781
L128_B1,0,29,0,264,20,20,20,2296,9.696969696969697,1.0122227866775322,0.5998719930648804
L128_B1,0,30,0,171,22,22,22,2645,16.46783625730994,1.0176886990533767,0.6439999938011169
L128_B1,0,31,0,401,16,16,16,1647,5.107231920199501,1.0093947519809776,0.5438399910926819
L128_B1,0,32,0,213,17,17,17,1963,10.215962441314554,1.012729268285884,0.5647040009498596
L128_B1,0,33,0,130,15,15,15,1790,14.76923076923077,1.015654419704691,0.5373119711875916
L128_B1,0,34,0,303,23,23,23,2641,9.716171617161717,1.0143797881125114,0.658623993396759
L128_B1,0,35,0,274,23,23,23,2670,10.744525547445255,1.0173182801036522,0.6621440052986145
L128_B1,0,36,0,340,22,22,22,2476,8.282352941176471,1.0106595637676614,0.6532480120658875
L128_B1,0,37,0,183,25,25,25,3017,17.48633879781421,1.0209043874019492,0.7032319903373718
L128_B1,0,38,0,248,23,23,23,2696,11.870967741935484,1.0127645711619855,0.6572480201721191
L128_B1,0,39,0,147,18,18,18,2157,15.673469387755102,1.015520117494768,0.585919976234436
L128_B1,0,40,0,226,24,24,24,2846,13.5929203539823,1.0162320045049964,0.6443520188331604
L128_B1,0,41,0,257,19,19,19,2175,9.463035019455253,1.0142516608073906,0.5848320126533508
L128_B1,0,42,0,293,20,20,20,2267,8.737201365187714,1.010479747765268,0.6090559959411621
L128_B1,0,43,0,312,21,21,21,2376,8.615384615384615,1.0145894473655652,0.6291519999504089
L128_B1,0,44,0,239,19,19,19,2193,10.175732217573222,1.011700569033928,0.6022400259971619
L128_B1,0,45,0,324,20,20,20,2236,7.901234567901234,1.0158977252844401,0.5877119898796082
L128_B1,0,46,0,339,24,24,24,2733,9.061946902654867,1.0103203207233196,0.6621760129928589
L128_B1,0,47,0,275,20,20,20,2285,9.309090909090909,1.0108799183611044,0.6056960225105286
L128_B1,1,0,0,225,27,27,27,3231,15.36,1.0155842944966098,0.7168959975242615
L128_B1,1,1,0,314,31,31,31,3654,12.636942675159236,1.0150761167954039,0.7623999714851379
L128_B1,1,2,0,277,25,25,25,2923,11.552346570397113,1.0186371548884205,0.7168959975242615
L128_B1,1,3,0,314,28,28,28,3270,11.414012738853502,1.0126291471908004,0.7028480172157288
L128_B1,1,4,0,262,24,24,24,2810,11.725190839694656,1.0138884479137924,0.6924800276756287
L128_B1,1,5,0,263,21,21,21,2425,10.220532319391635,1.0133812776230788,0.6084160208702087
L128_B1,1,6,0,196,19,19,19,2236,12.408163265306122,1.0187838049561542,0.6170880198478699
L128_B1,1,7,0,376,20,20,20,2184,6.808510638297872,1.0156178783299195,0.5938559770584106
L128_B1,1,8,0,200,23,23,23,2744,14.72,1.0155818070490936,0.6456639766693115
L128_B1,1,9,0,111,14,14,14,1681,16.144144144144143,1.020273657457252,0.5139520168304443
L128_B1,1,10,0,361,23,23,23,2583,8.155124653739612,1.011565921964386,0.6418880224227905
