request_id,source,category,budget,layer,strategy,total_tokens,vision_tokens,vision_ratio,chunks,min_chunk,max_chunk,chunk_size_cv,all_tile_sum,all_padded_rows,all_assignments,all_active_expert_sum,all_median_expert_batch,all_p10_expert_batch,all_tiny_le_1_fraction,all_tiny_le_4_fraction,vision_tile_sum,vision_padded_rows,vision_assignments,vision_active_expert_sum,vision_median_expert_batch,vision_p10_expert_batch,vision_tiny_le_1_fraction,vision_tiny_le_4_fraction
coins,short,natural,128,21,fixed,128,108,0.84375,1,128,128,0.0,104.0,5632.0,1024.0,104.0,7.0,1.0,0.16346153846153846,0.38461538461538464,92.0,5024.0,864.0,92.0,6.0,1.0,0.16304347826086957,0.41304347826086957
coins,short,natural,128,22,fixed,128,108,0.84375,1,128,128,0.0,104.0,5632.0,1024.0,104.0,5.0,1.0,0.15384615384615385,0.4807692307692308,93.0,5088.0,864.0,93.0,4.0,1.0,0.24731182795698925,0.5053763440860215
coins,short,natural,128,23,fixed,128,108,0.84375,1,128,128,0.0,109.0,5952.0,1024.0,109.0,4.0,1.0,0.1743119266055046,0.5045871559633027,94.0,5152.0,864.0,94.0,4.0,1.0,0.24468085106382978,0.5319148936170213
coins,short,natural,128,24,fixed,128,108,0.84375,1,128,128,0.0,102.0,5504.0,1024.0,102.0,7.0,1.0,0.13725490196078433,0.38235294117647056,91.0,4960.0,864.0,91.0,6.0,1.0,0.2087912087912088,0.4065934065934066
coins,short,natural,128,25,fixed,128,108,0.84375,1,128,128,0.0,102.0,5504.0,1024.0,101.0,6.0,1.0,0.1188118811881188,0.43564356435643564,87.0,4704.0,864.0,87.0,5.0,1.0,0.13793103448275862,0.47126436781609193
coins,short,natural,128,26,fixed,128,108,0.84375,1,128,128,0.0,110.0,6016.0,1024.0,110.0,6.0,1.0,0.10909090909090909,0.38181818181818183,98.0,5408.0,864.0,98.0,5.0,1.0,0.15306122448979592,0.45918367346938777
coins,short,natural,128,27,fixed,128,108,0.84375,1,128,128,0.0,110.0,6016.0,1024.0,110.0,5.0,1.0,0.15454545454545454,0.42727272727272725,94.0,5152.0,864.0,94.0,4.0,1.0,0.13829787234042554,0.5106382978723404
coins,short,natural,128,28,fixed,128,108,0.84375,1,128,128,0.0,109.0,5952.0,1024.0,109.0,6.0,1.0,0.11926605504587157,0.42201834862385323,97.0,5344.0,864.0,97.0,6.0,1.0,0.17525773195876287,0.4329896907216495
coins,short,natural,128,29,fixed,128,108,0.84375,1,128,128,0.0,111.0,6080.0,1024.0,111.0,6.0,1.0,0.13513513513513514,0.42342342342342343,95.0,5216.0,864.0,95.0,5.0,1.0,0.1368421052631579,0.45263157894736844
coins,short,natural,128,30,fixed,128,108,0.84375,1,128,128,0.0,103.0,5568.0,1024.0,103.0,7.0,1.0,0.17475728155339806,0.39805825242718446,92.0,5024.0,864.0,92.0,5.0,1.0,0.18478260869565216,0.41304347826086957
