budget,strategy,observations,median_chunks,median_chunk_cv,median_min_chunk,median_max_chunk,all_tile_reduction_vs_fixed,all_tile_ratio_vs_fixed,all_padded_reduction_vs_fixed,vision_tile_reduction_vs_fixed,vision_tile_ratio_vs_fixed,vision_padded_reduction_vs_fixed
128,fixed,576,11.5,0.09140412995889136,65.5,128.0,0.0,1.0,0.0,0.0,1.0,0.0
128,balanced,576,11.5,0.003294352401414424,124.0,124.5,-0.002728422619047599,0.9972790051977882,0.0,-0.004682275424272464,0.9953395463776875,0.0
128,same_count,576,11.5,0.08514967808767827,71.0,128.0,0.0,1.0,0.0,0.0,1.0,0.0
128,strict,576,13.0,0.3363841110683974,4.0,128.0,-0.016634447729512503,0.9836377305900906,0.002249721631744084,0.006363213237076892,1.006403963023637,0.006883444944452144
128,relaxed,576,9.5,0.07355973615941439,123.5,160.0,0.16085195520791257,1.191684845962321,0.1407304238887162,0.1358149227921207,1.1571596087337281,0.11167226801665392
256,fixed,576,6.0,0.12217857923336309,121.0,256.0,0.0,1.0,0.0,0.0,1.0,0.0
256,balanced,576,6.0,0.0019481256537811956,245.0,246.0,0.0,1.0,0.0,0.0,1.0,0.0
256,same_count,576,6.0,0.09270723718240795,142.5,256.0,0.0,1.0,0.0,0.0,1.0,0.0
256,strict,576,7.5,0.4100692180058197,10.5,256.0,-0.02238231173200922,0.9781076889326121,0.0,0.00518475956223563,1.00521178168237,0.00596431858382751
256,relaxed,576,5.0,0.07902820261648019,208.5,320.0,0.1416927675418322,1.1650839725205095,0.1452674075082182,0.13551401869158874,1.1567567567567567,0.12837947552163675
512,fixed,576,3.0,0.0746102219798215,287.0,512.0,0.0,1.0,0.0,0.0,1.0,0.0
512,balanced,576,3.0,0.000756024978135178,464.5,465.5,0.0,1.0,0.0,0.0,1.0,0.0
512,same_count,576,3.0,0.036881499602898826,298.0,511.5,0.0,1.0,0.0,0.0,1.0,0.0
512,strict,576,3.0,0.05433180518081464,197.0,511.5,0.0,1.0,0.0,0.0,1.0,0.0
512,relaxed,576,3.0,0.031656165866667155,449.0,527.5,0.05472636815920401,1.0588645071403693,-0.38112427618164324,0.05501049495565036,1.059216168423609,-0.3793647837922022
1024,fixed,576,1.5,0.023249872253449155,297.0,915.5,0.0,1.0,0.0,0.0,1.0,0.0
1024,balanced,576,1.5,0.0002063793373841115,793.5,794.5,0.0,1.0,0.0,0.0,1.0,0.0
1024,same_count,576,1.5,0.012810489305809176,395.0,871.5,0.0,1.0,0.0,0.0,1.0,0.0
1024,strict,576,2.0,0.07749305264522512,137.0,871.5,0.0,1.0,0.0,0.0,1.0,0.0
1024,relaxed,576,1.5,0.0027507405840033854,797.5,916.5,0.0,1.0,0.0,0.0,1.0,0.0
