block,policy,workload,requests,tokens_s,elapsed_s,joint_slo_fraction_ttft2_tpot02,max_arrival_lateness_ms,coalesced_requests,request_max_itl_mean_s,request_max_itl_p99_s,joint_all_token_slo_ttft1_tbt50ms,joint_all_token_slo_ttft1_tbt100ms,joint_all_token_slo_ttft1_tbt200ms,joint_all_token_slo_ttft2_tbt50ms,joint_all_token_slo_ttft2_tbt100ms,joint_all_token_slo_ttft2_tbt200ms,joint_all_token_slo_ttft5_tbt50ms,joint_all_token_slo_ttft5_tbt100ms,joint_all_token_slo_ttft5_tbt200ms,e2e_s_mean,e2e_s_p50,e2e_s_p90,e2e_s_p99,ttft_s_mean,ttft_s_p50,ttft_s_p90,ttft_s_p99,tpot_s_mean,tpot_s_p50,tpot_s_p90,tpot_s_p99
0,cost_static,heterogeneous_steady,48,201.50801698142016,35.57178571540862,1,2.029234077781439,0,0.0929047448541193,0.11302543183322995,0,0.625,1,0,0.625,1,0,0.625,1,8.251980558842964,7.053428928134963,14.087940433574841,14.59560991766397,0.5045407272700686,0.4140793744008988,0.8082685131579638,0.8390999918757007,0.05254966870358071,0.0534611543026874,0.05430610441913207,0.054575309743439514
0,cost_static,heterogeneous_bursty,48,217.4522523893702,32.96355830412358,1,2.049578949808506,0,0.11248665077922244,0.16906947610899808,0,0.125,0.9583333333333334,0,0.16666666666666666,1,0,0.16666666666666666,1,7.919628584311188,6.807378386380151,13.386455325270072,13.528169009764678,0.5591662835504394,0.566251405980438,0.898342220671475,1.0458842681348324,0.050124715971023304,0.04983678694601779,0.05363816318678714,0.05518504163154238
0,equal,heterogeneous_steady,48,209.34906280036142,34.23946543689817,1,1.5177736058831215,0,0.09594848420238122,0.1099754538340494,0,0.5208333333333334,1,0,0.5208333333333334,1,0,0.5208333333333334,1,7.181238905963255,6.1509091556072235,12.263368352362887,12.67839842112735,0.431464190138892,0.44365536351688206,0.7188729044049978,0.7305555999977514,0.04568291085258133,0.046233508989066835,0.04710463553548011,0.047300410626720135
0,equal,heterogeneous_bursty,48,225.97372969126286,31.720501360017806,1,2.1065120026477757,0,0.10621080314740539,0.16761902881320567,0,0.5,1,0,0.5,1,0,0.5,1,7.087443615785257,6.133908377261832,11.86845381334424,12.079073430350983,0.5099159801708689,0.522838314762339,0.82083413656801,0.9269628643570468,0.044824747064534126,0.04453925458417839,0.04780307597007662,0.0498944723067273
1,cost_static,heterogeneous_bursty,48,215.8537618367733,33.207667723763734,1,2.1149986609820814,0,0.11383897480360854,0.1533097687130794,0,0.020833333333333332,0.9583333333333334,0,0.0625,1,0,0.0625,1,8.06903780985158,6.9823471929412335,13.59226341242902,13.726703415461817,0.5521974356864424,0.5680725225247443,0.8863134484738112,1.0141654170351102,0.051290257511603134,0.051118052876697906,0.054998770805578384,0.056761146200421664
1,cost_static,heterogeneous_steady,48,200.93754917706534,35.67277509532869,1,1.6953302547335625,0,0.1027157749728455,0.12106805625371635,0,0.3333333333333333,1,0,0.3333333333333333,1,0,0.3333333333333333,1,8.396736892667832,7.271653100149706,14.488625968387352,14.907579054730013,0.515412411254753,0.4193740556947887,0.8319204471074044,0.8716065486008301,0.05351474290752202,0.05434457803353525,0.055625726344929204,0.05634743490472991
1,equal,heterogeneous_bursty,48,228.46678997155934,31.374362991191447,1,1.8705488927661662,0,0.10542208208547284,0.15499050055164845,0,0.3958333333333333,1,0,0.3958333333333333,1,0,0.3958333333333333,1,7.205643309571315,6.275968377944082,12.346539304172621,12.574137822315096,0.5122735635765517,0.5204197554849088,0.8097290662582965,0.9512485213950277,0.04555071835373618,0.04570031315101658,0.04862696731457487,0.05116971434788808
1,equal,heterogeneous_steady,48,209.81374621989679,34.163633837830275,1,1.9455449655652046,0,0.0905495130282361,0.10758271561935544,0,0.6875,1,0,0.6875,1,0,0.6875,1,7.143853658363999,6.128868612227961,12.214146978920327,12.617363116703928,0.43120438495922525,0.43882086919620633,0.7179459847509861,0.7416022366518155,0.04540891723801212,0.045978610969281616,0.04689261650675557,0.047033423449801166
2,equal,heterogeneous_steady,48,204.77025100205438,35.00508479587734,1,2.1236189641058445,0,0.09459611029402974,0.11071717265993357,0,0.6458333333333334,1,0,0.6458333333333334,1,0,0.6458333333333334,1,7.8771499208717914,6.792389556532726,13.692569227609784,13.98020638250746,0.4784423340655242,0.3786146591883153,0.7772048809565604,0.8248657418508083,0.050141978292168515,0.050785837193053324,0.052599197837229966,0.05342762054517968
2,equal,heterogeneous_bursty,48,227.9962080707407,31.439119363669306,1,2.1318346634515706,0,0.10696882772996712,0.15702746992465108,0,0.375,1,0,0.375,1,0,0.375,1,6.985667674763438,6.025746362982318,11.761617217818275,11.865447915052064,0.5007179065917929,0.5059371716342866,0.7835774424951526,0.9247455557342619,0.044222311795098834,0.043987543225361435,0.047776600887762415,0.04913225844088528
