context,iteration,layer,rank,n,g,q,histogram,block_m,dispatch_ms,expert_ms,combine_ms,dispatch_expert_overlap_ms,expert_combine_overlap_ms,previous_expert_ms,previous_combine_ms,static_median_ms,tail
serving,21,43,2,6392,29,65,"0,40,670,98,36,88,0,194,150,420,200,86,0,162,32,190,102,100,372,54,54,42,1370,172,294,1142,42,62,50,62,104,4",128,0.26335999369621277,0.5589439868927002,0.20732800662517548,0.0,0.12109375,0.6424959897994995,0.18563200533390045,0.5648320019245148,False
serving,21,44,2,4956,28,56,"220,30,78,56,70,30,756,86,14,98,0,0,118,26,66,16,194,20,44,56,6,4,28,0,132,20,164,1408,820,0,394,2",128,0.26185598969459534,0.5560640096664429,0.19366399943828583,0.0,0.11328125,0.5589439868927002,0.20732800662517548,0.5630239844322205,False
serving,21,45,2,6112,29,64,"166,168,220,66,0,8,252,484,4,52,14,724,240,118,0,60,134,0,760,208,1352,22,28,290,102,8,20,200,36,38,18,320",128,0.28787198662757874,0.5564799904823303,0.1918720006942749,0.0,0.1171875,0.5560640096664429,0.19366399943828583,0.5654560029506683,False
serving,21,46,2,4806,25,52,"50,0,14,48,242,24,42,244,0,2,30,584,272,276,0,160,44,210,126,468,30,124,0,0,0,0,38,1160,98,74,444,2",128,0.338591992855072,0.5427839756011963,0.19420799612998962,0.0,0.0859375,0.5564799904823303,0.1918720006942749,0.5520159900188446,False
serving,21,47,2,3744,25,44,"12,12,168,42,0,68,0,108,62,372,948,0,186,156,0,10,74,0,194,12,32,0,22,460,164,32,208,0,240,24,22,116",128,0.30291199684143066,0.5220159888267517,0.2202879935503006,0.0,0.06640625,0.5427839756011963,0.19420799612998962,0.5156159996986389,False
serving,21,0,3,5532,32,55,"216,70,342,124,174,116,118,72,28,160,90,52,72,360,88,96,254,72,242,108,78,346,204,256,152,472,152,160,214,122,146,376",128,0.2778880000114441,0.574720025062561,0.17071999609470367,0.0,0.09765625,0.0,0.0,0.5638560056686401,False
serving,21,1,3,5442,32,55,"618,254,106,172,34,238,48,158,248,226,172,114,150,154,106,118,168,98,198,124,66,84,54,252,84,68,484,42,116,162,82,444",128,0.26976001262664795,0.5833280086517334,0.1905599981546402,0.0,0.1171875,0.574720025062561,0.17071999609470367,0.5683840215206146,False
serving,21,2,3,3704,31,46,"162,88,10,172,54,6,16,356,64,0,4,162,12,60,78,628,354,38,22,118,118,58,114,190,26,146,76,164,80,70,122,136",128,0.2643199861049652,0.6628479957580566,0.16179199516773224,0.0,0.06640625,0.5833280086517334,0.1905599981546402,0.5376479923725128,True
serving,21,3,3,3846,31,44,"0,116,14,118,32,128,86,512,494,46,98,122,152,58,80,118,32,12,162,214,88,130,148,84,50,128,38,66,174,76,190,80",128,0.33580800890922546,0.5086399912834167,0.2093760073184967,0.0,0.09375,0.6628479957580566,0.16179199516773224,0.5161440074443817,False
serving,21,4,3,4252,32,53,"198,142,202,94,106,148,46,322,320,44,316,26,42,16,24,112,172,6,34,258,62,34,140,98,314,34,6,148,6,214,486,82",128,0.31164801120758057,0.5398079752922058,0.22537599503993988,0.0,0.11328125,0.5086399912834167,0.2093760073184967,0.5453120172023773,False
serving,21,5,3,4286,31,52,"292,142,484,128,112,36,44,40,258,114,44,50,56,134,30,74,556,144,52,246,0,96,4,102,16,20,196,156,50,292,60,258",128,0.4687039852142334,0.5476800203323364,0.1892479956150055,0.0,0.0859375,0.5398079752922058,0.22537599503993988,0.5515200197696686,False
serving,21,6,3,4652,32,55,"62,22,126,216,54,28,832,260,318,312,4,164,74,2,20,632,56,150,12,178,108,14,240,68,110,30,74,104,178,16,168,20",128,0.37065601348876953,0.5583040118217468,0.19203199446201324,0.0,0.1171875,0.5476800203323364,0.1892479956150055,0.5508320033550262,False
serving,21,7,3,5496,29,61,"58,298,4,0,28,154,0,594,72,658,26,422,90,48,18,50,180,126,56,24,2,768,308,22,870,0,36,46,172,176,32,158",128,0.26707199215888977,0.5700799822807312,0.18857599794864655,0.0,0.10546875,0.5583040118217468,0.19203199446201324,0.55103999376297,False
serving,21,8,3,4044,29,49,"48,394,176,140,48,82,234,140,0,2,62,0,58,50,2,246,10,104,218,2,160,368,70,18,0,270,184,222,22,630,78,6",128,0.2717759907245636,0.5288959741592407,0.23366400599479675,0.0,0.109375,0.5700799822807312,0.18857599794864655,0.5432800054550171,False
serving,21,9,3,4476,31,55,"258,64,266,12,594,100,318,10,140,72,280,96,8,12,302,204,544,8,210,68,400,42,80,0,2,118,74,2,8,110,2,72",128,0.3218879997730255,0.5612800121307373,0.1921280026435852,0.0,0.1015625,0.5288959741592407,0.23366400599479675,0.5446719825267792,False
serving,21,10,3,4970,32,59,"4,14,180,848,448,222,12,42,166,260,2,156,80,282,246,316,70,164,96,8,86,18,56,284,178,22,6,84,244,52,182,142",128,0.2687999904155731,0.5457599759101868,0.20601600408554077,0.0,0.1171875,0.5612800121307373,0.1921280026435852,0.5517920255661011,False
serving,21,11,3,3824,30,50,"142,400,84,482,168,2,18,244,24,32,54,4,36,54,26,82,0,0,150,266,136,48,16,12,126,94,366,24,4,52,650,28",128,0.3738560080528259,0.5681599974632263,0.20047999918460846,0.0,0.1015625,0.5457599759101868,0.20601600408554077,0.5466720163822174,False
serving,21,12,3,6304,30,66,"96,96,0,294,90,4,466,402,0,32,28,324,82,24,62,82,304,12,202,28,254,452,104,1288,38,180,36,82,70,40,518,614",128,0.2890560030937195,0.5569279789924622,0.24956800043582916,0.0,0.109375,0.5681599974632263,0.20047999918460846,0.5617920160293579,False
serving,21,13,3,5762,29,60,"0,82,138,0,16,294,210,108,164,0,492,320,12,368,8,110,500,208,38,584,4,132,40,72,518,34,50,382,126,380,36,336",128,0.455487996339798,0.5670400261878967,0.16342400014400482,0.0,0.08984375,0.5569279789924622,0.24956800043582916,0.5537279844284058,False
serving,21,14,3,5124,30,59,"144,20,56,0,182,156,192,0,48,72,58,452,252,12,30,432,1388,24,12,38,44,38,40,516,36,56,30,164,210,116,284,22",128,0.26815998554229736,0.5650879740715027,0.19513599574565887,0.0,0.109375,0.5670400261878967,0.16342400014400482,0.5549600124359131,False
