case_id,rank,M,fanout,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness
balanced_fanout_F1_M128,0,128,1,1.6467519998550415,0.03097599931061268,0.20409600343555212,0.48499202728271484,0.11484789848327637,True
balanced_fanout_F2_M128,0,128,2,1.5161919593811035,0.026655999943614006,0.1592320054769516,0.44118398427963257,0.075935959815979,True
balanced_fanout_F4_M128,0,128,4,2.091264009475708,0.025855999439954758,0.17404799815267324,0.8906879425048828,0.14355206489562988,True
balanced_fanout_F1_M512,0,512,1,2.22108793258667,0.028351999819278717,0.1721280049532652,1.0317760705947876,0.18768000602722168,True
balanced_fanout_F2_M512,0,512,2,1.9677759408950806,0.024768000468611717,0.19167999550700188,0.7013759613037109,0.7327040433883667,True
balanced_fanout_F4_M512,0,512,4,1.8695039749145508,0.02630399912595749,0.20860799308866262,0.6654720306396484,0.789728045463562,True
balanced_fanout_F1_M1024,0,1024,1,1.83571195602417,0.02844800055027008,0.2182080065831542,0.4885759949684143,1.006592035293579,True
balanced_fanout_F2_M1024,0,1024,2,1.8861759901046753,0.02723200060427189,0.24473599158227444,0.5356159806251526,1.0127360224723816,True
balanced_fanout_F4_M1024,0,1024,4,1.893183946609497,0.026847999542951584,0.27203200943768024,0.6625599563121796,0.8893120288848877,True
balanced_fanout_F1_M128,1,128,1,1.7768640518188477,0.030559999868273735,0.3287039874121547,0.45129597187042236,0.20172810554504395,True
balanced_fanout_F2_M128,1,128,2,1.5425280332565308,0.02537599951028824,0.18483200296759605,0.44569605588912964,0.1579200029373169,True
balanced_fanout_F4_M128,1,128,4,2.1106879711151123,0.02566399984061718,0.19401600025594234,1.0398080348968506,0.09187197685241699,True
balanced_fanout_F1_M512,1,512,1,2.2709760665893555,0.02550400048494339,0.20300800073891878,0.9927680492401123,0.15737593173980713,True
balanced_fanout_F2_M512,1,512,2,1.9831680059432983,0.024671999737620354,0.20688000041991472,0.9165120720863342,0.14342403411865234,True
balanced_fanout_F4_M512,1,512,4,1.873471975326538,0.024480000138282776,0.23692799638956785,0.7894079685211182,0.3152639865875244,True
balanced_fanout_F1_M1024,1,1024,1,1.8534079790115356,0.028384000062942505,0.21756799705326557,0.7972480654716492,0.17292797565460205,True
balanced_fanout_F2_M1024,1,1024,2,1.8888640403747559,0.027168000116944313,0.2427199874073267,0.8562880158424377,0.10726392269134521,True
balanced_fanout_F4_M1024,1,1024,4,1.8986560106277466,0.024831999093294144,0.2972159879282117,0.8165439665317535,0.17852795124053955,True
balanced_fanout_F1_M128,2,128,1,1.723904013633728,0.030559999868273735,0.22483200579881668,0.4846079349517822,0.14240002632141113,True
balanced_fanout_F2_M128,2,128,2,1.531615972518921,0.026815999299287796,0.16908800322562456,0.44016003608703613,0.12559998035430908,True
balanced_fanout_F4_M128,2,128,4,2.0920639038085938,0.025631999596953392,0.18406400550156832,0.9329279661178589,0.1542719602584839,True
balanced_fanout_F1_M512,2,512,1,2.244256019592285,0.025855999439954758,0.19059199281036854,0.9171839952468872,0.19209599494934082,True
balanced_fanout_F2_M512,2,512,2,1.9587839841842651,0.024800000712275505,0.1829760055989027,0.896992027759552,0.13235199451446533,True
balanced_fanout_F4_M512,2,512,4,1.8521920442581177,0.0261439997702837,0.2163839964196086,0.8226239681243896,0.10979199409484863,True
balanced_fanout_F1_M1024,2,1024,1,1.8447680473327637,0.027904000133275986,0.20502399932593107,0.8572799563407898,0.13113605976104736,True
balanced_fanout_F2_M1024,2,1024,2,1.8765439987182617,0.026528000831604004,0.22764799743890762,0.7961599230766296,0.1839359998703003,True
balanced_fanout_F4_M1024,2,1024,4,1.877344012260437,0.025696000084280968,0.26579199358820915,0.8629439473152161,0.14751994609832764,True
balanced_fanout_F1_M128,3,128,1,1.7678719758987427,0.031007999554276466,0.319199999794364,0.47017598152160645,0.17907202243804932,True
balanced_fanout_F2_M128,3,128,2,1.5239039659500122,0.02687999978661537,0.15804799925535917,0.44672006368637085,0.10944008827209473,True
balanced_fanout_F4_M128,3,128,4,2.0895678997039795,0.025728000327944756,0.1825600042939186,0.9667519330978394,0.1167680025100708,True
balanced_fanout_F1_M512,3,512,1,2.2321600914001465,0.025472000241279602,0.1726400051265955,1.0048320293426514,0.12099194526672363,True
balanced_fanout_F2_M512,3,512,2,1.9631999731063843,0.029184000566601753,0.18259199988096952,0.8563839793205261,0.1701120138168335,True
balanced_fanout_F4_M512,3,512,4,1.8287359476089478,0.028063999488949776,0.20121599920094013,0.8548480272293091,0.13702404499053955,True
balanced_fanout_F1_M1024,3,1024,1,1.8270399570465088,0.029759999364614487,0.19148799311369658,0.9159360527992249,0.10313606262207031,True
balanced_fanout_F2_M1024,3,1024,2,1.8527040481567383,0.02812799997627735,0.21097599435597658,0.8592320084571838,0.13695991039276123,True
balanced_fanout_F4_M1024,3,1024,4,1.8550080060958862,0.02537599951028824,0.2529279952868819,0.8497920036315918,0.21555209159851074,True
